Atlas de Distribución de Renta de los Hogares
Albacete
Indicadores de renta media
Unidades:   Euros

	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
02001 Abengibre	9690.0	9290.0	23206.0	22345.0	
0200101 Abengibre distrito 01	9690.0	9290.0	23206.0	22345.0	
0200101001 Abengibre sección 01001	9690.0	9290.0	23206.0	22345.0	
02002 Alatoz	8008.0	7880.0	18223.0	17940.0	
0200201 Alatoz distrito 01	8008.0	7880.0	18223.0	17940.0	
0200201001 Alatoz sección 01001	8008.0	7880.0	18223.0	17940.0	
02003 Albacete	10795.0	10518.0	29160.0	28505.0	
0200305 Albacete distrito 05	10198.0	9903.0	26716.0	26118.0	
0200305002 Albacete sección 05002	11383.0	11283.0	29441.0	28792.0	
0200305005 Albacete sección 05005	8897.0	8478.0	22842.0	21680.0	
0200305013 Albacete sección 05013	8321.0	8180.0	23179.0	23174.0	
0200305007 Albacete sección 05007	9333.0	9060.0	24770.0	24180.0	
0200305001 Albacete sección 05001	14633.0	13755.0	37285.0	35908.0	
0200305009 Albacete sección 05009	9247.0	8979.0	24563.0	24020.0	
0200305010 Albacete sección 05010	13540.0	12896.0	35361.0	34152.0	
0200305008 Albacete sección 05008	8094.0	7669.0	21067.0	20147.0	
0200305003 Albacete sección 05003	12752.0	12774.0	32825.0	32893.0	
0200305006 Albacete sección 05006	8620.0	8287.0	21885.0	21326.0	
0200305004 Albacete sección 05004	8753.0	8546.0	23738.0	23509.0	
0200305012 Albacete sección 05012	8763.0	8801.0	23944.0	23621.0	
0200305011 Albacete sección 05011	9936.0	9765.0	24698.0	24312.0	
0200308 Albacete distrito 08	9812.0	9361.0	27907.0	26623.0	
0200308002 Albacete sección 08002	8437.0	8214.0	21735.0	21271.0	
0200308001 Albacete sección 08001	11803.0	10814.0	35187.0	32026.0	
0200308003 Albacete sección 08003	9089.0	8902.0	23681.0	23302.0	
0200308006 Albacete sección 08006	9528.0	9266.0	29523.0	28721.0	
0200303 Albacete distrito 03	9652.0	9336.0	25924.0	25248.0	
0200303010 Albacete sección 03010	12624.0	12126.0	30456.0	29685.0	
0200303002 Albacete sección 03002	11923.0	11472.0	30200.0	28680.0	
0200303003 Albacete sección 03003	10099.0	9533.0	25333.0	24432.0	
0200303009 Albacete sección 03009	8205.0	8041.0	22788.0	22872.0	
0200303011 Albacete sección 03011	16945.0	16290.0	46240.0	45862.0	
0200303008 Albacete sección 03008	7846.0	7629.0	22246.0	21552.0	
0200303012 Albacete sección 03012	8067.0	7968.0	21157.0	20917.0	
0200303014 Albacete sección 03014	7455.0	7363.0	23327.0	22727.0	
