Atlas de Distribución de Renta de los Hogares
Alicante
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
03002 Agost	8312.0	8036.0	22081.0	21296.0	
0300201 Agost distrito 01	8312.0	8036.0	22081.0	21296.0	
0300201001 Agost sección 01001	7598.0	7554.0	19363.0	19171.0	
0300201002 Agost sección 01002	8955.0	8648.0	23807.0	22773.0	
0300201003 Agost sección 01003	8364.0	7834.0	23458.0	22108.0	
03003 Agres	10171.0	9920.0	22234.0	21673.0	
0300301 Agres distrito 01	10171.0	9920.0	22234.0	21673.0	
0300301001 Agres sección 01001	10171.0	9920.0	22234.0	21673.0	
03004 Aigües	10008.0	10220.0	24326.0	24794.0	
0300401 Aigües distrito 01	10008.0	10220.0	24326.0	24794.0	
0300401001 Aigües sección 01001	10008.0	10220.0	24326.0	24794.0	
03005 Albatera	7750.0	7601.0	21470.0	20770.0	
0300501 Albatera distrito 01	8152.0	7961.0	22098.0	21295.0	
0300501001 Albatera sección 01001	9202.0	8964.0	23062.0	21491.0	
0300501002 Albatera sección 01002	9127.0	9216.0	23593.0	23648.0	
0300501003 Albatera sección 01003	7477.0	7081.0	22026.0	20704.0	
0300501004 Albatera sección 01004	7296.0	7171.0	19960.0	19604.0	
0300502 Albatera distrito 02	7450.0	7331.0	20981.0	20361.0	
0300502001 Albatera sección 02001	6756.0	6556.0	19965.0	19207.0	
0300502002 Albatera sección 02002	7384.0	7309.0	20744.0	20162.0	
0300502003 Albatera sección 02003	8338.0	8227.0	22435.0	21884.0	
03006 Alcalalí	8646.0	8828.0	18658.0	19658.0	
0300601 Alcalalí distrito 01	8646.0	8828.0	18658.0	19658.0	
0300601001 Alcalalí sección 01001	8646.0	8828.0	18658.0	19658.0	
03007 Alcocer de Planes	10772.0	11175.0	24952.0	25053.0	
0300701 Alcocer de Planes distrito 01	10772.0	11175.0	24952.0	25053.0	
0300701001 Alcocer de Planes sección 01001	10772.0	11175.0	24952.0	25053.0	
03008 Alcoleja	9892.0	9631.0	21470.0	20214.0	
0300801 Alcoleja distrito 01	9892.0	9631.0	21470.0	20214.0	
0300801001 Alcoleja sección 01001	9892.0	9631.0	21470.0	20214.0	
03009 Alcoy/Alcoi	9859.0	9609.0	24402.0	23650.0	
0300901 Alcoy/Alcoi distrito 01	10974.0	11020.0	25317.0	24654.0	
0300901001 Alcoy/Alcoi sección 01001	9605.0	10341.0	22912.0	23630.0	
0300901003 Alcoy/Alcoi sección 01003	12047.0	11365.0	25176.0	22784.0	
0300901004 Alcoy/Alcoi sección 01004	14560.0	14859.0	37335.0	36929.0	
0300901006 Alcoy/Alcoi sección 01006	8908.0	8739.0	20774.0	20336.0	
0300902 Alcoy/Alcoi distrito 02	9414.0	9156.0	22445.0	21659.0	
0300902001 Alcoy/Alcoi sección 02001	9382.0	8899.0	24258.0	22772.0	
0300902002 Alcoy/Alcoi sección 02002	9383.0	8864.0	23638.0	22460.0	
0300902003 Alcoy/Alcoi sección 02003	10541.0	10833.0	23907.0	23888.0	
0300902004 Alcoy/Alcoi sección 02004	8256.0	7932.0	19160.0	18109.0	
0300902005 Alcoy/Alcoi sección 02005	10890.0	10790.0	22276.0	21968.0	
0300902007 Alcoy/Alcoi sección 02007	8787.0	8585.0	21379.0	20822.0	
0300903 Alcoy/Alcoi distrito 03	9315.0	9003.0	22926.0	22117.0	
0300903001 Alcoy/Alcoi sección 03001	9266.0	8895.0	22466.0	21676.0	
0300903002 Alcoy/Alcoi sección 03002	10210.0	9681.0	26299.0	24743.0	
0300903003 Alcoy/Alcoi sección 03003	8513.0	8147.0	20159.0	19059.0	
0300903004 Alcoy/Alcoi sección 03004	10813.0	10726.0	27607.0	27429.0	
0300903005 Alcoy/Alcoi sección 03005	8119.0	7739.0	20401.0	19293.0	
0300903006 Alcoy/Alcoi sección 03006	7915.0	7809.0	17919.0	18032.0	
0300904 Alcoy/Alcoi distrito 04	9984.0	9700.0	24486.0	23898.0	
0300904001 Alcoy/Alcoi sección 04001	11938.0	10884.0	31525.0	29208.0	
0300904002 Alcoy/Alcoi sección 04002	10812.0	10473.0	26493.0	25774.0	
0300904003 Alcoy/Alcoi sección 04003	9111.0	8881.0	22611.0	21950.0	
0300904004 Alcoy/Alcoi sección 04004	9721.0	9464.0	22662.0	22257.0	
0300904005 Alcoy/Alcoi sección 04005	8809.0	8422.0	20281.0	19328.0	
0300904006 Alcoy/Alcoi sección 04006	8111.0	7834.0	18926.0	18461.0	
0300904007 Alcoy/Alcoi sección 04007	7955.0	8379.0	19909.0	20461.0	
0300904008 Alcoy/Alcoi sección 04008	12212.0	11877.0	31702.0	31560.0	
0300905 Alcoy/Alcoi distrito 05	10169.0	10011.0	25861.0	25401.0	
0300905001 Alcoy/Alcoi sección 05001	12014.0	11903.0	29119.0	28842.0	
0300905002 Alcoy/Alcoi sección 05002	9175.0	9343.0	21991.0	22246.0	
0300905003 Alcoy/Alcoi sección 05003	9736.0	9193.0	24068.0	22765.0	
0300905004 Alcoy/Alcoi sección 05004	8507.0	8409.0	20245.0	19780.0	
0300905005 Alcoy/Alcoi sección 05005	9005.0	8966.0	22674.0	22189.0	
0300905006 Alcoy/Alcoi sección 05006	12060.0	11820.0	38189.0	38022.0	
0300906 Alcoy/Alcoi distrito 06	10892.0	10616.0	26665.0	25865.0	
0300906001 Alcoy/Alcoi sección 06001	10455.0	10227.0	26146.0	24707.0	
0300906002 Alcoy/Alcoi sección 06002	9144.0	8779.0	22063.0	21325.0	
0300906003 Alcoy/Alcoi sección 06003	11829.0	11295.0	27691.0	26663.0	
0300906004 Alcoy/Alcoi sección 06004	10171.0	10049.0	25693.0	25383.0	
0300906005 Alcoy/Alcoi sección 06005	13570.0	13623.0	33071.0	33498.0	
0300907 Alcoy/Alcoi distrito 07	8750.0	8548.0	22144.0	21569.0	
0300907001 Alcoy/Alcoi sección 07001	11189.0	10836.0	29961.0	29287.0	
0300907002 Alcoy/Alcoi sección 07002	8800.0	8833.0	23021.0	22669.0	
0300907003 Alcoy/Alcoi sección 07003	8235.0	7874.0	21246.0	20372.0	
0300907005 Alcoy/Alcoi sección 07005	7688.0	7424.0	17545.0	17348.0	
0300907007 Alcoy/Alcoi sección 07007	8765.0	8486.0	21879.0	20840.0	
0300907008 Alcoy/Alcoi sección 07008	7697.0	7610.0	19573.0	19092.0	
0300908 Alcoy/Alcoi distrito 08	10039.0	9673.0	25933.0	24766.0	
0300908001 Alcoy/Alcoi sección 08001	9035.0	8968.0	23252.0	22954.0	
