Atlas de Distribución de Renta de los Hogares
Almería
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
04001 Abla	8639.0	8788.0	19716.0	19546.0	
0400101 Abla distrito 01	8639.0	8788.0	19716.0	19546.0	
0400101001 Abla sección 01001	8639.0	8788.0	19716.0	19546.0	
04002 Abrucena	8463.0	8107.0	17713.0	17115.0	
0400201 Abrucena distrito 01	8463.0	8107.0	17713.0	17115.0	
0400201001 Abrucena sección 01001	8463.0	8107.0	17713.0	17115.0	
04003 Adra	7112.0	6826.0	20603.0	19770.0	
0400301 Adra distrito 01	7763.0	7495.0	22146.0	21338.0	
0400301001 Adra sección 01001	8590.0	8267.0	26243.0	24688.0	
0400301002 Adra sección 01002	8013.0	7941.0	24095.0	23400.0	
0400301003 Adra sección 01003	7621.0	7150.0	20952.0	19687.0	
0400301004 Adra sección 01004	6521.0	6477.0	19159.0	18790.0	
0400301005 Adra sección 01005	7824.0	7454.0	20821.0	19856.0	
0400301006 Adra sección 01006	8829.0	8439.0	24896.0	24184.0	
0400301007 Adra sección 01007	8160.0	7832.0	23880.0	23569.0	
0400302 Adra distrito 02	6382.0	6148.0	18433.0	17886.0	
0400302001 Adra sección 02001	6866.0	6616.0	19870.0	19062.0	
0400302002 Adra sección 02002	6483.0	6184.0	18727.0	18212.0	
0400302003 Adra sección 02003	5629.0	5507.0	16216.0	15914.0	
0400303 Adra distrito 03	6498.0	6198.0	18902.0	18110.0	
0400303001 Adra sección 03001	6736.0	6477.0	18454.0	17537.0	
0400303002 Adra sección 03002	5460.0	5157.0	17291.0	16132.0	
0400303003 Adra sección 03003	6940.0	6625.0	19906.0	19404.0	
0400304 Adra distrito 04	7301.0	7025.0	18110.0	17203.0	
0400304001 Adra sección 04001	7301.0	7025.0	18110.0	17203.0	
0400305 Adra distrito 05	6555.0	6209.0	20543.0	19365.0	
0400305001 Adra sección 05001	6310.0	5969.0	19434.0	18380.0	
0400305002 Adra sección 05002	6730.0	6383.0	21355.0	20095.0	
04004 Albanchez	8130.0	8372.0	16003.0	16986.0	
0400401 Albanchez distrito 01	8130.0	8372.0	16003.0	16986.0	
0400401001 Albanchez sección 01001	8130.0	8372.0	16003.0	16986.0	
04005 Alboloduy	8939.0	9010.0	19404.0	19048.0	
0400501 Alboloduy distrito 01	8939.0	9010.0	19404.0	19048.0	
0400501001 Alboloduy sección 01001	8939.0	9010.0	19404.0	19048.0	
04006 Albox	7499.0	7520.0	20551.0	19932.0	
0400601 Albox distrito 01	8866.0	8877.0	22455.0	22003.0	
0400601001 Albox sección 01001	8042.0	7899.0	21194.0	20317.0	
0400601002 Albox sección 01002	9553.0	9676.0	23433.0	23293.0	
0400602 Albox distrito 02	7213.0	6976.0	21397.0	20244.0	
0400602001 Albox sección 02001	7611.0	7312.0	22137.0	20936.0	
0400602002 Albox sección 02002	6172.0	6081.0	19310.0	18305.0	
0400603 Albox distrito 03	7268.0	7587.0	18109.0	18171.0	
0400603001 Albox sección 03001	7268.0	7587.0	18109.0	18171.0	
0400604 Albox distrito 04	6016.0	6355.0	16737.0	16408.0	
0400604001 Albox sección 04001	6016.0	6355.0	16737.0	16408.0	
04007 Alcolea	7958.0	7876.0	15743.0	15970.0	
0400701 Alcolea distrito 01	7958.0	7876.0	15743.0	15970.0	
0400701001 Alcolea sección 01001	7958.0	7876.0	15743.0	15970.0	
04008 Alcóntar	9391.0	9261.0	21427.0	21261.0	
0400801 Alcóntar distrito 01	9391.0	9261.0	21427.0	21261.0	
0400801001 Alcóntar sección 01001	9391.0	9261.0	21427.0	21261.0	
04009 Alcudia de Monteagud	12143.0	11461.0	24123.0	22776.0	
0400901 Alcudia de Monteagud distrito 01	12143.0	11461.0	24123.0	22776.0	
0400901001 Alcudia de Monteagud sección 01001	12143.0	11461.0	24123.0	22776.0	
04010 Alhabia	7319.0	7084.0	15485.0	15352.0	
0401001 Alhabia distrito 01	7319.0	7084.0	15485.0	15352.0	
0401001001 Alhabia sección 01001	7319.0	7084.0	15485.0	15352.0	
04011 Alhama de Almería	7397.0	7424.0	18719.0	18608.0	
0401101 Alhama de Almería distrito 01	7397.0	7424.0	18719.0	18608.0	
0401101001 Alhama de Almería sección 01001	7573.0	7563.0	19275.0	19051.0	
0401101002 Alhama de Almería sección 01002	7047.0	7154.0	17631.0	17764.0	
04012 Alicún	8924.0	9146.0	17131.0	18045.0	
0401201 Alicún distrito 01	8924.0	9146.0	17131.0	18045.0	
0401201001 Alicún sección 01001	8924.0	9146.0	17131.0	18045.0	
04013 Almería	9724.0	9495.0	26510.0	25863.0	
0401301 Almería distrito 01	9120.0	8713.0	22400.0	21490.0	
0401301001 Almería sección 01001	9241.0	8631.0	22457.0	21141.0	
0401301003 Almería sección 01003	8951.0	8833.0	22317.0	22015.0	
0401302 Almería distrito 02	15459.0	15001.0	37646.0	36964.0	
0401302001 Almería sección 02001	10581.0	10171.0	25431.0	24550.0	
0401302002 Almería sección 02002	15555.0	14768.0	37206.0	35341.0	
0401302003 Almería sección 02003	16661.0	16627.0	36108.0	36649.0	
0401302004 Almería sección 02004	16124.0	15375.0	42207.0	41140.0	
0401302005 Almería sección 02005	17950.0	17545.0	43323.0	42562.0	
0401302006 Almería sección 02006	17285.0	17167.0	43267.0	43858.0	
0401303 Almería distrito 03	5982.0	5864.0	17777.0	17476.0	
0401303001 Almería sección 03001	11369.0	11111.0	29590.0	29388.0	
0401303002 Almería sección 03002	5528.0	5497.0	15352.0	15187.0	
0401303003 Almería sección 03003	2897.0	2946.0	10892.0	11082.0	
0401303006 Almería sección 03006	5081.0	4993.0	15299.0	15195.0	
0401303007 Almería sección 03007	4541.0	4509.0	14688.0	14267.0	
0401303008 Almería sección 03008	6444.0	6274.0	18667.0	17985.0	
0401303009 Almería sección 03009	7390.0	7067.0	18963.0	18329.0	
0401303010 Almería sección 03010	3180.0	2994.0	10888.0	10399.0	
0401303011 Almería sección 03011	7747.0	7373.0	20245.0	19592.0	
0401304 Almería distrito 04	12409.0	12264.0	30681.0	30335.0	
0401304001 Almería sección 04001	13998.0	14535.0	39726.0	40706.0	
0401304002 Almería sección 04002	13059.0	13118.0	34400.0	34426.0	
0401304003 Almería sección 04003	11939.0	11680.0	27978.0	27652.0	
0401304004 Almería sección 04004	10978.0	10668.0	25009.0	24923.0	
0401304005 Almería sección 04005	9741.0	9640.0	24033.0	23495.0	
0401304006 Almería sección 04006	12835.0	12586.0	29994.0	28720.0	
0401304007 Almería sección 04007	13487.0	12685.0	32986.0	31484.0	
0401305 Almería distrito 05	8070.0	7750.0	21782.0	20769.0	
0401305002 Almería sección 05002	8916.0	8741.0	21554.0	20944.0	
0401305003 Almería sección 05003	7717.0	7325.0	21395.0	20597.0	
0401305004 Almería sección 05004	5498.0	5374.0	17823.0	17147.0	
0401305005 Almería sección 05005	5785.0	5586.0	16774.0	15970.0	
0401305006 Almería sección 05006	10084.0	9731.0	24900.0	23909.0	
0401305007 Almería sección 05007	11094.0	11154.0	25591.0	25136.0	
0401305008 Almería sección 05008	10820.0	10699.0	26366.0	25611.0	
0401305009 Almería sección 05009	10875.0	9233.0	28347.0	23233.0	
0401305010 Almería sección 05010	12208.0	11661.0	27590.0	27316.0	
0401305011 Almería sección 05011	4517.0	4362.0	14916.0	14292.0	
0401306 Almería distrito 06	8373.0	8186.0	23584.0	23015.0	
0401306001 Almería sección 06001	6265.0	6487.0	15655.0	15563.0	
0401306002 Almería sección 06002	8357.0	8148.0	20988.0	20684.0	
0401306003 Almería sección 06003	8152.0	8299.0	22580.0	22764.0	
0401306004 Almería sección 06004	11229.0	10931.0	29573.0	29243.0	
0401306005 Almería sección 06005	9619.0	9215.0	26055.0	24884.0	
0401306006 Almería sección 06006	6294.0	6257.0	18467.0	18175.0	
0401306007 Almería sección 06007	7982.0	7829.0	22102.0	21461.0	
