Atlas de Distribución de Renta de los Hogares
Araba/Álava
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
01051 Agurain/Salvatierra	12374.0	12083.0	30235.0	29511.0	
0105101 Agurain/Salvatierra distrito 01	""	""	""	""	
0105101001 Agurain/Salvatierra sección 01001	""	""	""	""	
0105101002 Agurain/Salvatierra sección 01002	""	""	""	""	
0105101003 Agurain/Salvatierra sección 01003	""	""	""	""	
01001 Alegría-Dulantzi	13086.0	12936.0	34373.0	33702.0	
0100101 Alegría-Dulantzi distrito 01	""	""	""	""	
0100101001 Alegría-Dulantzi sección 01001	""	""	""	""	
0100101002 Alegría-Dulantzi sección 01002	""	""	""	""	
01002 Amurrio	13691.0	13800.0	33936.0	34421.0	
0100201 Amurrio distrito 01	""	""	""	""	
0100201001 Amurrio sección 01001	""	""	""	""	
0100201002 Amurrio sección 01002	""	""	""	""	
0100201003 Amurrio sección 01003	""	""	""	""	
0100201004 Amurrio sección 01004	""	""	""	""	
0100201005 Amurrio sección 01005	""	""	""	""	
0100201006 Amurrio sección 01006	""	""	""	""	
0100201007 Amurrio sección 01007	""	""	""	""	
01049 Añana	15548.0	13922.0	29580.0	26353.0	
0104901 Añana distrito 01	""	""	""	""	
0104901001 Añana sección 01001	""	""	""	""	
01003 Aramaio	17194.0	15786.0	46567.0	43199.0	
0100301 Aramaio distrito 01	""	""	""	""	
0100301001 Aramaio sección 01001	""	""	""	""	
01006 Armiñón	11330.0	13040.0	28266.0	30699.0	
0100601 Armiñón distrito 01	""	""	""	""	
0100601001 Armiñón sección 01001	""	""	""	""	
01037 Arraia-Maeztu	14052.0	15193.0	31356.0	33591.0	
0103701 Arraia-Maeztu distrito 01	""	""	""	""	
0103701001 Arraia-Maeztu sección 01001	""	""	""	""	
01008 Arratzua-Ubarrundia	18089.0	17674.0	47872.0	46745.0	
0100801 Arratzua-Ubarrundia distrito 01	""	""	""	""	
0100801001 Arratzua-Ubarrundia sección 01001	""	""	""	""	
01004 Artziniega	13185.0	12722.0	32680.0	32269.0	
0100401 Artziniega distrito 01	""	""	""	""	
0100401001 Artziniega sección 01001	""	""	""	""	
01009 Asparrena	14134.0	13218.0	31889.0	30412.0	
0100901 Asparrena distrito 01	""	""	""	""	
0100901001 Asparrena sección 01001	""	""	""	""	
01010 Ayala/Aiara	13635.0	13317.0	36970.0	36309.0	
0101001 Ayala/Aiara distrito 01	""	""	""	""	
0101001001 Ayala/Aiara sección 01001	""	""	""	""	
0101001002 Ayala/Aiara sección 01002	""	""	""	""	
01011 Baños de Ebro/Mañueta	11794.0	10690.0	29932.0	27540.0	
0101101 Baños de Ebro/Mañueta distrito 01	""	""	""	""	
0101101001 Baños de Ebro/Mañueta sección 01001	""	""	""	""	
01013 Barrundia	15419.0	15493.0	39003.0	38648.0	
0101301 Barrundia distrito 01	""	""	""	""	
0101301001 Barrundia sección 01001	""	""	""	""	
01014 Berantevilla	12836.0	12833.0	31761.0	31583.0	
0101401 Berantevilla distrito 01	""	""	""	""	
0101401001 Berantevilla sección 01001	""	""	""	""	
01016 Bernedo	14151.0	14125.0	27697.0	26951.0	
0101601 Bernedo distrito 01	""	""	""	""	
0101601001 Bernedo sección 01001	""	""	""	""	
01017 Campezo/Kanpezu	12850.0	12392.0	27313.0	26377.0	
0101701 Campezo/Kanpezu distrito 01	""	""	""	""	
0101701001 Campezo/Kanpezu sección 01001	""	""	""	""	
01021 Elburgo/Burgelu	15751.0	16868.0	43139.0	46504.0	
0102101 Elburgo/Burgelu distrito 01	""	""	""	""	
0102101001 Elburgo/Burgelu sección 01001	""	""	""	""	
01022 Elciego	13760.0	13874.0	33407.0	33074.0	
0102201 Elciego distrito 01	""	""	""	""	
0102201001 Elciego sección 01001	""	""	""	""	
01023 Elvillar/Bilar	11837.0	11330.0	29762.0	28936.0	
0102301 Elvillar/Bilar distrito 01	""	""	""	""	
0102301001 Elvillar/Bilar sección 01001	""	""	""	""	
01046 Erriberagoitia/Ribera Alta	15458.0	14751.0	34865.0	33964.0	
0104601 Erriberagoitia/Ribera Alta distrito 01	""	""	""	""	
0104601001 Erriberagoitia/Ribera Alta sección 01001	""	""	""	""	
01056 Harana/Valle de Arana	13325.0	13175.0	26199.0	26917.0	
0105601 Harana/Valle de Arana distrito 01	""	""	""	""	
0105601001 Harana/Valle de Arana sección 01001	""	""	""	""	
01901 Iruña Oka/Iruña de Oca	13394.0	12867.0	34892.0	33979.0	
0190101 Iruña Oka/Iruña de Oca distrito 01	""	""	""	""	
0190101001 Iruña Oka/Iruña de Oca sección 01001	""	""	""	""	
0190101002 Iruña Oka/Iruña de Oca sección 01002	""	""	""	""	
01027 Iruraiz-Gauna	13754.0	13435.0	36700.0	36156.0	
0102701 Iruraiz-Gauna distrito 01	""	""	""	""	
0102701001 Iruraiz-Gauna sección 01001	""	""	""	""	
01019 Kripan	11121.0	10422.0	29233.0	27303.0	
0101901 Kripan distrito 01	""	""	""	""	
0101901001 Kripan sección 01001	""	""	""	""	
01020 Kuartango	18204.0	17452.0	33464.0	31654.0	
0102001 Kuartango distrito 01	""	""	""	""	
0102001001 Kuartango sección 01001	""	""	""	""	
01028 Labastida/Bastida	11880.0	10935.0	28644.0	26641.0	
0102801 Labastida/Bastida distrito 01	""	""	""	""	
0102801001 Labastida/Bastida sección 01001	""	""	""	""	
01030 Lagrán	14949.0	15552.0	27882.0	28711.0	
0103001 Lagrán distrito 01	""	""	""	""	
0103001001 Lagrán sección 01001	""	""	""	""	
01031 Laguardia	13299.0	13146.0	29964.0	29985.0	
0103101 Laguardia distrito 01	""	""	""	""	
0103101001 Laguardia sección 01001	""	""	""	""	
01032 Lanciego/Lantziego	10392.0	10349.0	24589.0	24579.0	
0103201 Lanciego/Lantziego distrito 01	""	""	""	""	
0103201001 Lanciego/Lantziego sección 01001	""	""	""	""	
01902 Lantarón	13067.0	11910.0	32868.0	30218.0	
0190201 Lantarón distrito 01	""	""	""	""	
0190201001 Lantarón sección 01001	""	""	""	""	
01033 Lapuebla de Labarca	10967.0	10861.0	26168.0	26163.0	
0103301 Lapuebla de Labarca distrito 01	""	""	""	""	
0103301001 Lapuebla de Labarca sección 01001	""	""	""	""	
01036 Laudio/Llodio	13777.0	13625.0	32889.0	32864.0	
0103601 Laudio/Llodio distrito 01	""	""	""	""	
0103601001 Laudio/Llodio sección 01001	""	""	""	""	
0103601002 Laudio/Llodio sección 01002	""	""	""	""	
0103601003 Laudio/Llodio sección 01003	""	""	""	""	
0103601004 Laudio/Llodio sección 01004	""	""	""	""	
0103601005 Laudio/Llodio sección 01005	""	""	""	""	
0103601006 Laudio/Llodio sección 01006	""	""	""	""	
0103601007 Laudio/Llodio sección 01007	""	""	""	""	
0103601008 Laudio/Llodio sección 01008	""	""	""	""	
0103601009 Laudio/Llodio sección 01009	""	""	""	""	
0103601010 Laudio/Llodio sección 01010	""	""	""	""	
0103601011 Laudio/Llodio sección 01011	""	""	""	""	
0103601012 Laudio/Llodio sección 01012	""	""	""	""	
0103601013 Laudio/Llodio sección 01013	""	""	""	""	
01058 Legutio	14794.0	14132.0	35673.0	34357.0	
0105801 Legutio distrito 01	""	""	""	""	
0105801001 Legutio sección 01001	""	""	""	""	
01034 Leza	18343.0	13773.0	41374.0	31208.0	
0103401 Leza distrito 01	""	""	""	""	
0103401001 Leza sección 01001	""	""	""	""	
01039 Moreda de Álava/Moreda Araba	12687.0	12668.0	27790.0	28165.0	
0103901 Moreda de Álava/Moreda Araba distrito 01	""	""	""	""	
0103901001 Moreda de Álava/Moreda Araba sección 01001	""	""	""	""	
01041 Navaridas	11017.0	11651.0	26853.0	27380.0	
0104101 Navaridas distrito 01	""	""	""	""	
0104101001 Navaridas sección 01001	""	""	""	""	
01042 Okondo	12274.0	11915.0	31048.0	30692.0	
0104201 Okondo distrito 01	""	""	""	""	
0104201001 Okondo sección 01001	""	""	""	""	
01043 Oyón-Oion	11169.0	10718.0	28289.0	27423.0	
0104301 Oyón-Oion distrito 01	""	""	""	""	
0104301001 Oyón-Oion sección 01001	""	""	""	""	
0104301002 Oyón-Oion sección 01002	""	""	""	""	
01044 Peñacerrada-Urizaharra	18025.0	16953.0	34235.0	32808.0	
0104401 Peñacerrada-Urizaharra distrito 01	""	""	""	""	
0104401001 Peñacerrada-Urizaharra sección 01001	""	""	""	""	
01047 Erriberabeitia	12480.0	13316.0	34032.0	35804.0	
0104701 Ribera Baja/Erribera Beitia distrito 01	""	""	""	""	
0104701001 Erriberabeitia sección 01001	""	""	""	""	
01052 Samaniego	13334.0	13483.0	31220.0	31424.0	
0105201 Samaniego distrito 01	""	""	""	""	
0105201001 Samaniego sección 01001	""	""	""	""	
01053 San Millán/Donemiliaga	14467.0	14221.0	35864.0	35778.0	
0105301 San Millán/Donemiliaga distrito 01	""	""	""	""	
0105301001 San Millán/Donemiliaga sección 01001	""	""	""	""	
01054 Urkabustaiz	13821.0	13480.0	34869.0	34831.0	
0105401 Urkabustaiz distrito 01	""	""	""	""	
0105401001 Urkabustaiz sección 01001	""	""	""	""	
01055 Valdegovía/Gaubea	14325.0	13667.0	29030.0	28005.0	
0105501 Valdegovía/Gaubea distrito 01	""	""	""	""	
0105501001 Valdegovía/Gaubea sección 01001	""	""	""	""	
01057 Villabuena de Álava/Eskuernaga	11623.0	12178.0	27547.0	27781.0	
0105701 Villabuena de Álava/Eskuernaga distrito 01	""	""	""	""	
0105701001 Villabuena de Álava/Eskuernaga sección 01001	""	""	""	""	
01059 Vitoria-Gasteiz	14226.0	14025.0	33264.0	32848.0	
0105901 Vitoria-Gasteiz distrito 01	""	""	""	""	
0105901001 Vitoria-Gasteiz sección 01001	""	""	""	""	
0105901003 Vitoria-Gasteiz sección 01003	""	""	""	""	
0105901004 Vitoria-Gasteiz sección 01004	""	""	""	""	
0105901005 Vitoria-Gasteiz sección 01005	""	""	""	""	
0105901007 Vitoria-Gasteiz sección 01007	""	""	""	""	
0105901008 Vitoria-Gasteiz sección 01008	""	""	""	""	
0105901009 Vitoria-Gasteiz sección 01009	""	""	""	""	
0105901010 Vitoria-Gasteiz sección 01010	""	""	""	""	
0105901012 Vitoria-Gasteiz sección 01012	""	""	""	""	
0105901013 Vitoria-Gasteiz sección 01013	""	""	""	""	
0105901014 Vitoria-Gasteiz sección 01014	""	""	""	""	
0105901015 Vitoria-Gasteiz sección 01015	""	""	""	""	
0105901016 Vitoria-Gasteiz sección 01016	""	""	""	""	
0105901017 Vitoria-Gasteiz sección 01017	""	""	""	""	
0105901018 Vitoria-Gasteiz sección 01018	""	""	""	""	
0105901019 Vitoria-Gasteiz sección 01019	""	""	""	""	
0105901020 Vitoria-Gasteiz sección 01020	""	""	""	""	
0105901021 Vitoria-Gasteiz sección 01021	""	""	""	""	
0105901022 Vitoria-Gasteiz sección 01022	""	""	""	""	
0105901023 Vitoria-Gasteiz sección 01023	""	""	""	""	
0105901024 Vitoria-Gasteiz sección 01024	""	""	""	""	
0105901025 Vitoria-Gasteiz sección 01025	""	""	""	""	
0105901026 Vitoria-Gasteiz sección 01026	""	""	""	""	
0105901027 Vitoria-Gasteiz sección 01027	""	""	""	""	
0105901029 Vitoria-Gasteiz sección 01029	""	""	""	""	
0105901030 Vitoria-Gasteiz sección 01030	""	""	""	""	
0105901031 Vitoria-Gasteiz sección 01031	""	""	""	""	
0105901032 Vitoria-Gasteiz sección 01032	""	""	""	""	
0105901033 Vitoria-Gasteiz sección 01033	""	""	""	""	
0105901034 Vitoria-Gasteiz sección 01034	""	""	""	""	
0105901035 Vitoria-Gasteiz sección 01035	""	""	""	""	
0105901036 Vitoria-Gasteiz sección 01036	""	""	""	""	
0105901037 Vitoria-Gasteiz sección 01037	""	""	""	""	
0105901038 Vitoria-Gasteiz sección 01038	""	""	""	""	
0105901039 Vitoria-Gasteiz sección 01039	""	""	""	""	
0105902 Vitoria-Gasteiz distrito 02	""	""	""	""	
0105902001 Vitoria-Gasteiz sección 02001	""	""	""	""	
0105902002 Vitoria-Gasteiz sección 02002	""	""	""	""	
0105902003 Vitoria-Gasteiz sección 02003	""	""	""	""	
0105902004 Vitoria-Gasteiz sección 02004	""	""	""	""	
0105902005 Vitoria-Gasteiz sección 02005	""	""	""	""	
0105902006 Vitoria-Gasteiz sección 02006	""	""	""	""	
0105902008 Vitoria-Gasteiz sección 02008	""	""	""	""	
0105902009 Vitoria-Gasteiz sección 02009	""	""	""	""	
0105902010 Vitoria-Gasteiz sección 02010	""	""	""	""	
