Atlas de Distribución de Renta de los Hogares
Asturias
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
33001 Allande	9392.0	9253.0	21618.0	21522.0	
3300101 Allande distrito 01	9392.0	9253.0	21618.0	21522.0	
3300101001 Allande sección 01001	9420.0	9267.0	20337.0	20272.0	
3300101002 Allande sección 01002	9333.0	9225.0	24904.0	24745.0	
33002 Aller	12492.0	12313.0	27296.0	27160.0	
3300201 Aller distrito 01	12429.0	12241.0	28364.0	28167.0	
3300201001 Aller sección 01001	11930.0	11707.0	29551.0	29164.0	
3300201002 Aller sección 01002	13092.0	12995.0	30987.0	30921.0	
3300201003 Aller sección 01003	12750.0	12532.0	25631.0	25623.0	
3300202 Aller distrito 02	12788.0	12554.0	28184.0	27942.0	
3300202001 Aller sección 02001	13373.0	13052.0	27530.0	27337.0	
3300202002 Aller sección 02002	12229.0	12075.0	28902.0	28602.0	
3300203 Aller distrito 03	12455.0	12291.0	26645.0	26561.0	
3300203001 Aller sección 03001	12539.0	12370.0	25711.0	25734.0	
3300203002 Aller sección 03002	13200.0	13050.0	29392.0	29496.0	
3300203003 Aller sección 03003	12520.0	12396.0	25908.0	25947.0	
3300203004 Aller sección 03004	11990.0	11794.0	26758.0	26423.0	
3300203006 Aller sección 03006	11187.0	11118.0	23806.0	23685.0	
3300203007 Aller sección 03007	12502.0	12174.0	25193.0	24805.0	
33003 Amieva	9143.0	9201.0	19612.0	19513.0	
3300301 Amieva distrito 01	9143.0	9201.0	19612.0	19513.0	
3300301001 Amieva sección 01001	9143.0	9201.0	19612.0	19513.0	
33004 Avilés	12123.0	11933.0	28193.0	27856.0	
3300401 Avilés distrito 01	12123.0	11933.0	28193.0	27856.0	
3300401001 Avilés sección 01001	13594.0	13765.0	29311.0	29179.0	
3300401002 Avilés sección 01002	12403.0	12018.0	27844.0	26980.0	
3300401003 Avilés sección 01003	11480.0	11128.0	27265.0	26444.0	
3300401004 Avilés sección 01004	11907.0	11650.0	26513.0	25941.0	
3300401005 Avilés sección 01005	11928.0	11943.0	26930.0	27019.0	
3300401006 Avilés sección 01006	11759.0	12049.0	26062.0	26284.0	
3300401007 Avilés sección 01007	10350.0	10161.0	25563.0	25387.0	
3300401008 Avilés sección 01008	12053.0	11588.0	26972.0	26322.0	
3300401009 Avilés sección 01009	9300.0	9196.0	21452.0	21645.0	
3300401011 Avilés sección 01011	9917.0	10234.0	23286.0	24115.0	
3300401012 Avilés sección 01012	8468.0	8382.0	20364.0	20357.0	
3300401013 Avilés sección 01013	9878.0	9614.0	21965.0	21663.0	
3300401014 Avilés sección 01014	9394.0	9412.0	21697.0	22048.0	
3300401015 Avilés sección 01015	13781.0	13435.0	29753.0	29603.0	
3300401016 Avilés sección 01016	13880.0	13742.0	31600.0	31253.0	
3300401017 Avilés sección 01017	15714.0	15685.0	35092.0	34964.0	
3300401018 Avilés sección 01018	14506.0	14499.0	35006.0	34805.0	
3300401019 Avilés sección 01019	8728.0	8691.0	19123.0	19112.0	
3300401020 Avilés sección 01020	9314.0	9451.0	19980.0	20927.0	
3300401021 Avilés sección 01021	13337.0	13403.0	32274.0	32043.0	
3300401022 Avilés sección 01022	13252.0	13512.0	28793.0	29424.0	
3300401023 Avilés sección 01023	13897.0	13319.0	32376.0	31101.0	
3300401024 Avilés sección 01024	14273.0	13923.0	32838.0	31710.0	
3300401025 Avilés sección 01025	16706.0	16671.0	38946.0	38426.0	
3300401026 Avilés sección 01026	18663.0	16708.0	38707.0	35329.0	
3300401027 Avilés sección 01027	13774.0	13754.0	30384.0	30221.0	
3300401028 Avilés sección 01028	13678.0	13511.0	35456.0	35389.0	
3300401029 Avilés sección 01029	13748.0	13574.0	31720.0	31373.0	
3300401030 Avilés sección 01030	14868.0	15044.0	33603.0	33652.0	
3300401031 Avilés sección 01031	12899.0	12898.0	30548.0	30401.0	
3300401032 Avilés sección 01032	13350.0	13218.0	31553.0	31615.0	
3300401033 Avilés sección 01033	14225.0	13972.0	29744.0	29556.0	
3300401034 Avilés sección 01034	13520.0	13124.0	30959.0	30040.0	
3300401035 Avilés sección 01035	12743.0	12354.0	30702.0	30079.0	
3300401036 Avilés sección 01036	11035.0	10876.0	25566.0	25459.0	
3300401038 Avilés sección 01038	10770.0	10962.0	24118.0	24866.0	
3300401039 Avilés sección 01039	13848.0	13412.0	34911.0	33459.0	
3300401040 Avilés sección 01040	9541.0	9584.0	22163.0	22092.0	
3300401042 Avilés sección 01042	10247.0	9876.0	23393.0	23179.0	
3300401044 Avilés sección 01044	9669.0	9262.0	22652.0	21544.0	
3300401045 Avilés sección 01045	9508.0	8961.0	22944.0	22065.0	
3300401046 Avilés sección 01046	""	10408.0	""	23711.0	
3300401047 Avilés sección 01047	11056.0	10859.0	21591.0	21548.0	
3300401049 Avilés sección 01049	10268.0	9869.0	22531.0	22122.0	
3300401050 Avilés sección 01050	11525.0	11287.0	28084.0	27438.0	
3300401051 Avilés sección 01051	11457.0	11150.0	26854.0	26460.0	
3300401052 Avilés sección 01052	12899.0	12911.0	30317.0	30645.0	
3300401053 Avilés sección 01053	10821.0	10709.0	23426.0	23125.0	
3300401054 Avilés sección 01054	10060.0	9924.0	23586.0	23125.0	
3300401055 Avilés sección 01055	9533.0	9278.0	22794.0	22068.0	
3300401056 Avilés sección 01056	8299.0	8339.0	18474.0	18498.0	
3300401058 Avilés sección 01058	9252.0	9065.0	20214.0	20227.0	
3300401060 Avilés sección 01060	10647.0	10598.0	25399.0	25421.0	
3300401061 Avilés sección 01061	11310.0	11007.0	25137.0	23892.0	
3300401062 Avilés sección 01062	7777.0	7408.0	17586.0	16525.0	
3300401063 Avilés sección 01063	8533.0	8512.0	18401.0	18612.0	
3300401064 Avilés sección 01064	10633.0	10429.0	24366.0	24035.0	
3300401066 Avilés sección 01066	12841.0	12659.0	32372.0	31953.0	
3300401067 Avilés sección 01067	13368.0	13102.0	34700.0	34329.0	
3300401068 Avilés sección 01068	13432.0	13208.0	32270.0	32310.0	
3300401069 Avilés sección 01069	11821.0	11512.0	22867.0	22554.0	
3300401070 Avilés sección 01070	12486.0	12326.0	28808.0	28180.0	
3300401071 Avilés sección 01071	12919.0	12901.0	32659.0	32952.0	
3300401072 Avilés sección 01072	14545.0	14226.0	39312.0	38713.0	
3300401073 Avilés sección 01073	15272.0	14908.0	40895.0	40639.0	
3300401074 Avilés sección 01074	13091.0	12912.0	27837.0	27413.0	
3300401075 Avilés sección 01075	11418.0	11102.0	26701.0	26204.0	
3300401076 Avilés sección 01076	12464.0	12360.0	28669.0	29176.0	
3300401077 Avilés sección 01077	15195.0	14940.0	42739.0	42426.0	
3300401078 Avilés sección 01078	14090.0	13566.0	33051.0	31405.0	
33005 Belmonte de Miranda	11175.0	10949.0	22663.0	21927.0	
3300501 Belmonte de Miranda distrito 01	11175.0	10949.0	22663.0	21927.0	
3300501001 Belmonte de Miranda sección 01001	11175.0	10949.0	22663.0	21927.0	
33006 Bimenes	11339.0	11381.0	24665.0	24788.0	
3300601 Bimenes distrito 01	11339.0	11381.0	24665.0	24788.0	
3300601001 Bimenes sección 01001	11582.0	11927.0	25066.0	25427.0	
3300601002 Bimenes sección 01002	11161.0	10984.0	24367.0	24305.0	
33007 Boal	10370.0	9945.0	22783.0	22140.0	
3300701 Boal distrito 01	10370.0	9945.0	22783.0	22140.0	
3300701001 Boal sección 01001	10370.0	9945.0	22783.0	22140.0	
33008 Cabrales	8975.0	8930.0	19136.0	19170.0	
3300801 Cabrales distrito 01	8975.0	8930.0	19136.0	19170.0	
3300801001 Cabrales sección 01001	8779.0	8640.0	19573.0	19097.0	
3300801002 Cabrales sección 01002	9126.0	9150.0	18822.0	19222.0	
33009 Cabranes	9281.0	9113.0	20348.0	19696.0	
3300901 Cabranes distrito 01	9281.0	9113.0	20348.0	19696.0	
3300901001 Cabranes sección 01001	9281.0	9113.0	20348.0	19696.0	
33010 Candamo	11116.0	10935.0	27412.0	26735.0	
3301001 Candamo distrito 01	11116.0	10935.0	27412.0	26735.0	
3301001001 Candamo sección 01001	11751.0	11305.0	28709.0	27922.0	
3301001002 Candamo sección 01002	11135.0	11224.0	30289.0	30472.0	
3301001003 Candamo sección 01003	10584.0	10403.0	24560.0	23445.0	
33012 Cangas de Onís	9147.0	9190.0	22483.0	22367.0	
3301201 Cangas de Onís distrito 01	9147.0	9190.0	22483.0	22367.0	
3301201001 Cangas de Onís sección 01001	9826.0	10116.0	24181.0	24450.0	
3301201002 Cangas de Onís sección 01002	8810.0	8830.0	22582.0	22230.0	
3301201003 Cangas de Onís sección 01003	8863.0	8652.0	21384.0	20937.0	
3301201004 Cangas de Onís sección 01004	8733.0	8659.0	20833.0	20699.0	
33011 Cangas del Narcea	11221.0	11023.0	30079.0	29818.0	
3301101 Cangas del Narcea distrito 01	11543.0	11317.0	29361.0	29048.0	
3301101001 Cangas del Narcea sección 01001	11131.0	11111.0	28542.0	29162.0	
3301101002 Cangas del Narcea sección 01002	12421.0	12147.0	29889.0	29536.0	
3301101003 Cangas del Narcea sección 01003	11351.0	11029.0	27471.0	26848.0	
3301101004 Cangas del Narcea sección 01004	10218.0	9877.0	26608.0	26065.0	
3301101005 Cangas del Narcea sección 01005	12527.0	12421.0	33194.0	32955.0	
3301102 Cangas del Narcea distrito 02	12277.0	12111.0	33236.0	32629.0	
3301102001 Cangas del Narcea sección 02001	11811.0	11353.0	33315.0	32089.0	
3301102002 Cangas del Narcea sección 02002	12790.0	12939.0	33155.0	33162.0	
3301103 Cangas del Narcea distrito 03	10040.0	9782.0	28924.0	28362.0	
3301103002 Cangas del Narcea sección 03002	9600.0	9376.0	26461.0	26033.0	
3301103004 Cangas del Narcea sección 03004	10626.0	10340.0	32564.0	31913.0	
3301104 Cangas del Narcea distrito 04	10557.0	10498.0	31071.0	31282.0	
3301104001 Cangas del Narcea sección 04001	9952.0	9862.0	31015.0	31153.0	
3301104003 Cangas del Narcea sección 04003	11373.0	11350.0	31137.0	31434.0	
3301105 Cangas del Narcea distrito 05	9377.0	9189.0	28376.0	28900.0	
3301105001 Cangas del Narcea sección 05001	9377.0	9189.0	28376.0	28900.0	
33013 Caravia	11513.0	10306.0	25766.0	23392.0	
3301301 Caravia distrito 01	11513.0	10306.0	25766.0	23392.0	
3301301001 Caravia sección 01001	11513.0	10306.0	25766.0	23392.0	
33014 Carreño	12226.0	11981.0	29102.0	28721.0	
3301401 Carreño distrito 01	12152.0	11902.0	28478.0	28087.0	
3301401001 Carreño sección 01001	12731.0	12509.0	26892.0	26034.0	
3301401002 Carreño sección 01002	12793.0	12378.0	29188.0	28842.0	
3301401003 Carreño sección 01003	12177.0	12301.0	27916.0	28165.0	
3301401004 Carreño sección 01004	12569.0	12221.0	30648.0	30198.0	
3301401005 Carreño sección 01005	11220.0	10931.0	27484.0	27071.0	
3301401006 Carreño sección 01006	11542.0	11310.0	28256.0	27598.0	
3301402 Carreño distrito 02	12687.0	12502.0	30202.0	29653.0	
3301402001 Carreño sección 02001	12904.0	12836.0	31830.0	31225.0	
3301402002 Carreño sección 02002	12543.0	12288.0	29186.0	28689.0	
3301403 Carreño distrito 03	12031.0	11745.0	31252.0	31136.0	
3301403001 Carreño sección 03001	12315.0	12173.0	32341.0	32901.0	
3301403002 Carreño sección 03002	11663.0	11192.0	29876.0	28960.0	
33015 Caso	12925.0	12538.0	24331.0	24041.0	
3301501 Caso distrito 01	12925.0	12538.0	24331.0	24041.0	
3301501001 Caso sección 01001	13200.0	12753.0	24895.0	24105.0	
3301501003 Caso sección 01003	12598.0	12289.0	23663.0	23963.0	
33016 Castrillón	13250.0	12953.0	32160.0	31563.0	
3301601 Castrillón distrito 01	13250.0	12953.0	32160.0	31563.0	
3301601001 Castrillón sección 01001	13471.0	12890.0	31957.0	30598.0	
3301601002 Castrillón sección 01002	11987.0	11354.0	28131.0	26967.0	
3301601003 Castrillón sección 01003	12592.0	12426.0	30811.0	30722.0	
3301601004 Castrillón sección 01004	12814.0	12588.0	33193.0	32403.0	
3301601005 Castrillón sección 01005	17854.0	19030.0	41056.0	43109.0	
3301601006 Castrillón sección 01006	18901.0	18999.0	40796.0	41124.0	
3301601007 Castrillón sección 01007	12250.0	12052.0	30146.0	29553.0	
3301601008 Castrillón sección 01008	12370.0	11968.0	31717.0	30748.0	
3301601010 Castrillón sección 01010	12595.0	12017.0	29336.0	27626.0	
3301601011 Castrillón sección 01011	12272.0	12113.0	29498.0	29368.0	
3301601012 Castrillón sección 01012	12052.0	11962.0	29151.0	29460.0	
3301601013 Castrillón sección 01013	14470.0	14258.0	35666.0	35396.0	
3301601014 Castrillón sección 01014	15615.0	14971.0	34833.0	34346.0	
3301601015 Castrillón sección 01015	23585.0	20536.0	59057.0	52902.0	
3301601016 Castrillón sección 01016	10350.0	10033.0	24520.0	23813.0	
