Atlas de Distribución de Renta de los Hogares
Avila
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
05001 Adanero	10343.0	10411.0	22775.0	22162.0	
0500101 Adanero distrito 01	10343.0	10411.0	22775.0	22162.0	
0500101001 Adanero sección 01001	10343.0	10411.0	22775.0	22162.0	
05002 Adrada, La	7969.0	7730.0	18930.0	18513.0	
0500201 Adrada, La distrito 01	7969.0	7730.0	18930.0	18513.0	
0500201001 Adrada, La sección 01001	7811.0	7725.0	18430.0	18363.0	
0500201002 Adrada, La sección 01002	8149.0	7737.0	19506.0	18682.0	
05005 Albornos	9955.0	9189.0	20552.0	19550.0	
0500501 Albornos distrito 01	9955.0	9189.0	20552.0	19550.0	
0500501001 Albornos sección 01001	9955.0	9189.0	20552.0	19550.0	
05007 Aldeanueva de Santa Cruz	7675.0	7432.0	16994.0	16620.0	
0500701 Aldeanueva de Santa Cruz distrito 01	7675.0	7432.0	16994.0	16620.0	
0500701001 Aldeanueva de Santa Cruz sección 01001	7675.0	7432.0	16994.0	16620.0	
05008 Aldeaseca	8345.0	8162.0	22312.0	22191.0	
0500801 Aldeaseca distrito 01	8345.0	8162.0	22312.0	22191.0	
0500801001 Aldeaseca sección 01001	8345.0	8162.0	22312.0	22191.0	
05010 Aldehuela, La	8164.0	8223.0	17115.0	16747.0	
0501001 Aldehuela, La distrito 01	8164.0	8223.0	17115.0	16747.0	
0501001001 Aldehuela, La sección 01001	8164.0	8223.0	17115.0	16747.0	
05012 Amavida	8849.0	8500.0	20548.0	19967.0	
0501201 Amavida distrito 01	8849.0	8500.0	20548.0	19967.0	
0501201001 Amavida sección 01001	8849.0	8500.0	20548.0	19967.0	
05013 Arenal, El	9216.0	9121.0	20010.0	19722.0	
0501301 Arenal, El distrito 01	9216.0	9121.0	20010.0	19722.0	
0501301001 Arenal, El sección 01001	9216.0	9121.0	20010.0	19722.0	
05014 Arenas de San Pedro	8696.0	8432.0	20285.0	19722.0	
0501401 Arenas de San Pedro distrito 01	8401.0	8174.0	19475.0	18897.0	
0501401001 Arenas de San Pedro sección 01001	8593.0	8414.0	20240.0	19880.0	
0501401002 Arenas de San Pedro sección 01002	7814.0	7445.0	17270.0	16149.0	
0501402 Arenas de San Pedro distrito 02	8881.0	8489.0	20481.0	19809.0	
0501402001 Arenas de San Pedro sección 02001	8795.0	8634.0	17995.0	18116.0	
0501402002 Arenas de San Pedro sección 02002	8905.0	8447.0	21297.0	20368.0	
0501403 Arenas de San Pedro distrito 03	8876.0	8852.0	21590.0	21387.0	
0501403001 Arenas de San Pedro sección 03001	8876.0	8852.0	21590.0	21387.0	
05015 Arevalillo	.	.	.	.	
0501501 Arevalillo distrito 01	.	.	.	.	
0501501001 Arevalillo sección 01001	.	.	.	.	
05016 Arévalo	9746.0	9570.0	25863.0	25568.0	
0501601 Arévalo distrito 01	8950.0	8428.0	23421.0	22123.0	
0501601001 Arévalo sección 01001	8950.0	8428.0	23421.0	22123.0	
0501602 Arévalo distrito 02	9860.0	9735.0	26218.0	26077.0	
0501602001 Arévalo sección 02001	9314.0	9260.0	23586.0	23425.0	
0501602002 Arévalo sección 02002	10004.0	10079.0	26188.0	27289.0	
0501602003 Arévalo sección 02003	9341.0	8939.0	25088.0	24515.0	
0501602004 Arévalo sección 02004	10901.0	10611.0	29491.0	28445.0	
0501602005 Arévalo sección 02005	10218.0	10301.0	28546.0	28583.0	
05017 Aveinte	.	.	.	.	
0501701 Aveinte distrito 01	.	.	.	.	
0501701001 Aveinte sección 01001	.	.	.	.	
05018 Avellaneda	.	.	.	.	
0501801 Avellaneda distrito 01	.	.	.	.	
0501801001 Avellaneda sección 01001	.	.	.	.	
05019 Ávila	11677.0	11585.0	27700.0	27263.0	
0501901 Ávila distrito 01	12568.0	12069.0	27649.0	26822.0	
0501901001 Ávila sección 01001	12498.0	12297.0	27020.0	26810.0	
0501901002 Ávila sección 01002	12628.0	11876.0	28213.0	26832.0	
0501902 Ávila distrito 02	16241.0	16219.0	35981.0	35707.0	
0501902001 Ávila sección 02001	16622.0	16555.0	36172.0	36483.0	
0501902002 Ávila sección 02002	15774.0	15794.0	35737.0	34729.0	
0501903 Ávila distrito 03	14202.0	13948.0	36962.0	36418.0	
