Atlas de Distribución de Renta de los Hogares
Badajoz
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
06001 Acedera	8463.0	8304.0	19508.0	19398.0	
0600101 Acedera distrito 01	8463.0	8304.0	19508.0	19398.0	
0600101001 Acedera sección 01001	8463.0	8304.0	19508.0	19398.0	
06002 Aceuchal	7032.0	6663.0	19046.0	18175.0	
0600201 Aceuchal distrito 01	7098.0	6715.0	19056.0	18115.0	
0600201001 Aceuchal sección 01001	7796.0	7358.0	21154.0	20115.0	
0600201002 Aceuchal sección 01002	7144.0	6715.0	18930.0	18093.0	
0600201003 Aceuchal sección 01003	6401.0	6102.0	17180.0	16271.0	
0600202 Aceuchal distrito 02	6904.0	6564.0	19027.0	18291.0	
0600202001 Aceuchal sección 02001	6904.0	6564.0	19027.0	18291.0	
06003 Ahillones	8771.0	8701.0	18930.0	19304.0	
0600301 Ahillones distrito 01	8771.0	8701.0	18930.0	19304.0	
0600301001 Ahillones sección 01001	8771.0	8701.0	18930.0	19304.0	
06004 Alange	7566.0	7403.0	18233.0	18018.0	
0600401 Alange distrito 01	7566.0	7403.0	18233.0	18018.0	
0600401001 Alange sección 01001	6806.0	6706.0	17228.0	17135.0	
0600401002 Alange sección 01002	8310.0	8089.0	19129.0	18809.0	
06005 Albuera, La	7658.0	7472.0	15980.0	15567.0	
0600501 Albuera, La distrito 01	7658.0	7472.0	15980.0	15567.0	
0600501001 Albuera, La sección 01001	7655.0	7566.0	16730.0	16632.0	
0600501002 Albuera, La sección 01002	7662.0	7324.0	14923.0	14103.0	
06006 Alburquerque	7514.0	7366.0	18088.0	17767.0	
0600601 Alburquerque distrito 01	7367.0	7165.0	17399.0	17157.0	
0600601001 Alburquerque sección 01001	7367.0	7165.0	17399.0	17157.0	
0600602 Alburquerque distrito 02	8002.0	7846.0	20775.0	20381.0	
0600602001 Alburquerque sección 02001	8002.0	7846.0	20775.0	20381.0	
0600603 Alburquerque distrito 03	7033.0	6976.0	17554.0	17349.0	
0600603001 Alburquerque sección 03001	7033.0	6976.0	17554.0	17349.0	
0600604 Alburquerque distrito 04	8273.0	7979.0	17080.0	16647.0	
0600604001 Alburquerque sección 04001	8273.0	7979.0	17080.0	16647.0	
06007 Alconchel	7042.0	6854.0	16670.0	16358.0	
0600701 Alconchel distrito 01	7042.0	6854.0	16670.0	16358.0	
0600701001 Alconchel sección 01001	7107.0	6805.0	17002.0	16393.0	
0600701002 Alconchel sección 01002	7000.0	6888.0	16455.0	16335.0	
06008 Alconera	7503.0	7381.0	17588.0	17369.0	
0600801 Alconera distrito 01	7503.0	7381.0	17588.0	17369.0	
0600801001 Alconera sección 01001	7503.0	7381.0	17588.0	17369.0	
06009 Aljucén	8340.0	9129.0	19488.0	22055.0	
0600901 Aljucén distrito 01	8340.0	9129.0	19488.0	22055.0	
0600901001 Aljucén sección 01001	8340.0	9129.0	19488.0	22055.0	
06010 Almendral	7473.0	7299.0	16988.0	16879.0	
0601001 Almendral distrito 01	7473.0	7299.0	16988.0	16879.0	
0601001001 Almendral sección 01001	7473.0	7299.0	16988.0	16879.0	
06011 Almendralejo	7978.0	7764.0	21122.0	20892.0	
0601101 Almendralejo distrito 01	8929.0	8621.0	22787.0	22644.0	
0601101001 Almendralejo sección 01001	10037.0	9531.0	26219.0	25844.0	
0601101002 Almendralejo sección 01002	9135.0	8819.0	22617.0	22420.0	
0601101003 Almendralejo sección 01003	8849.0	8710.0	22717.0	22664.0	
0601101004 Almendralejo sección 01004	6468.0	6229.0	16792.0	17022.0	
0601102 Almendralejo distrito 02	8381.0	8238.0	22621.0	22496.0	
0601102001 Almendralejo sección 02001	11276.0	10894.0	29359.0	28645.0	
0601102002 Almendralejo sección 02002	9278.0	8945.0	24458.0	23968.0	
0601102003 Almendralejo sección 02003	6715.0	6833.0	18547.0	19376.0	
0601102004 Almendralejo sección 02004	9446.0	9376.0	24039.0	24626.0	
0601102005 Almendralejo sección 02005	9118.0	8994.0	23506.0	23833.0	
0601102006 Almendralejo sección 02006	7194.0	7140.0	18820.0	18838.0	
0601102007 Almendralejo sección 02007	7622.0	7311.0	19862.0	19117.0	
0601102008 Almendralejo sección 02008	7573.0	7442.0	23583.0	22888.0	
0601103 Almendralejo distrito 03	6695.0	6399.0	17101.0	16562.0	
0601103001 Almendralejo sección 03001	7864.0	7627.0	19941.0	19481.0	
0601103002 Almendralejo sección 03002	6327.0	6059.0	16978.0	16325.0	
0601103003 Almendralejo sección 03003	7105.0	6689.0	18610.0	18066.0	
0601103004 Almendralejo sección 03004	6229.0	5990.0	13678.0	13182.0	
0601103005 Almendralejo sección 03005	5926.0	5727.0	15985.0	15558.0	
0601104 Almendralejo distrito 04	7455.0	7269.0	20614.0	20464.0	
0601104001 Almendralejo sección 04001	7125.0	6769.0	18377.0	18133.0	
0601104002 Almendralejo sección 04002	8707.0	8577.0	24249.0	24262.0	
0601104003 Almendralejo sección 04003	5096.0	5151.0	15762.0	15746.0	
06012 Arroyo de San Serván	6828.0	6689.0	18469.0	18319.0	
0601201 Arroyo de San Serván distrito 01	6828.0	6689.0	18469.0	18319.0	
0601201001 Arroyo de San Serván sección 01001	6760.0	6867.0	17850.0	18439.0	
0601201002 Arroyo de San Serván sección 01002	7184.0	6853.0	18343.0	17640.0	
