Atlas de Distribución de Renta de los Hogares
Balears, Illes
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
07002 Alaior	10723.0	10607.0	27774.0	26963.0	
0700201 Alaior distrito 01	11219.0	10976.0	28534.0	27885.0	
0700201001 Alaior sección 01001	11005.0	10849.0	29115.0	28482.0	
0700201002 Alaior sección 01002	11452.0	11110.0	27947.0	27297.0	
0700202 Alaior distrito 02	10390.0	10350.0	27248.0	26320.0	
0700202001 Alaior sección 02001	10780.0	10525.0	28339.0	26999.0	
0700202002 Alaior sección 02002	11357.0	11070.0	29882.0	28612.0	
0700202003 Alaior sección 02003	9126.0	9481.0	23805.0	23535.0	
07001 Alaró	11601.0	11822.0	33252.0	32542.0	
0700101 Alaró distrito 01	11733.0	11926.0	33666.0	32961.0	
0700101001 Alaró sección 01001	11012.0	11217.0	31483.0	31165.0	
0700101002 Alaró sección 01002	12741.0	12968.0	36746.0	35566.0	
0700102 Alaró distrito 02	10932.0	11309.0	31171.0	30526.0	
0700102001 Alaró sección 02001	10932.0	11309.0	31171.0	30526.0	
07003 Alcúdia	10585.0	10778.0	30812.0	29643.0	
0700301 Alcúdia distrito 01	10646.0	10490.0	32953.0	31324.0	
0700301001 Alcúdia sección 01001	10667.0	10349.0	32000.0	30294.0	
0700301002 Alcúdia sección 01002	10470.0	10607.0	31205.0	29111.0	
0700301003 Alcúdia sección 01003	10487.0	10309.0	32121.0	30723.0	
0700301004 Alcúdia sección 01004	10848.0	10788.0	36201.0	34855.0	
0700302 Alcúdia distrito 02	13639.0	14942.0	36299.0	37670.0	
0700302001 Alcúdia sección 02001	13639.0	14942.0	36299.0	37670.0	
0700303 Alcúdia distrito 03	10852.0	11053.0	32398.0	31311.0	
0700303001 Alcúdia sección 03001	9700.0	9775.0	30506.0	28669.0	
0700303002 Alcúdia sección 03002	13772.0	14958.0	37812.0	38443.0	
0700303003 Alcúdia sección 03003	10838.0	10784.0	31739.0	30739.0	
0700304 Alcúdia distrito 04	9402.0	9703.0	25535.0	24080.0	
0700304001 Alcúdia sección 04001	10386.0	10178.0	28475.0	25894.0	
0700304002 Alcúdia sección 04002	8848.0	9434.0	23901.0	23089.0	
07004 Algaida	11911.0	11579.0	31560.0	30430.0	
0700401 Algaida distrito 01	11655.0	11378.0	31277.0	30268.0	
0700401001 Algaida sección 01001	11626.0	11144.0	32346.0	30746.0	
0700401002 Algaida sección 01002	11695.0	11696.0	29939.0	29671.0	
0700402 Algaida distrito 02	12204.0	11810.0	31876.0	30611.0	
0700402001 Algaida sección 02001	12204.0	11810.0	31876.0	30611.0	
07005 Andratx	11041.0	10950.0	29278.0	28464.0	
0700501 Andratx distrito 01	10191.0	10033.0	28043.0	27185.0	
0700501001 Andratx sección 01001	10264.0	10399.0	28026.0	27481.0	
0700501002 Andratx sección 01002	10429.0	10038.0	29389.0	28201.0	
0700501003 Andratx sección 01003	9931.0	9742.0	26961.0	26117.0	
0700502 Andratx distrito 02	13208.0	13111.0	32603.0	31241.0	
0700502001 Andratx sección 02001	13208.0	13111.0	32603.0	31241.0	
