Atlas de Distribución de Renta de los Hogares
Barcelona
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
08001 Abrera	12863.0	12377.0	35621.0	33990.0	
0800101 Abrera distrito 01	12863.0	12377.0	35621.0	33990.0	
0800101001 Abrera sección 01001	12551.0	12385.0	33565.0	33178.0	
0800101002 Abrera sección 01002	11339.0	10999.0	32081.0	30408.0	
0800101003 Abrera sección 01003	15069.0	14053.0	44707.0	41841.0	
0800101004 Abrera sección 01004	14051.0	13208.0	38130.0	35600.0	
0800101005 Abrera sección 01005	11955.0	11319.0	33517.0	31579.0	
0800101007 Abrera sección 01007	12484.0	12104.0	34311.0	33375.0	
0800101008 Abrera sección 01008	13924.0	13641.0	38461.0	36672.0	
08002 Aguilar de Segarra	14396.0	13097.0	38635.0	35488.0	
0800201 Aguilar de Segarra distrito 01	14396.0	13097.0	38635.0	35488.0	
0800201001 Aguilar de Segarra sección 01001	14396.0	13097.0	38635.0	35488.0	
08014 Aiguafreda	13234.0	12839.0	33503.0	32721.0	
0801401 Aiguafreda distrito 01	13234.0	12839.0	33503.0	32721.0	
0801401001 Aiguafreda sección 01001	13234.0	12839.0	33503.0	32721.0	
08003 Alella	19138.0	18228.0	54485.0	51931.0	
0800301 Alella distrito 01	19138.0	18228.0	54485.0	51931.0	
0800301001 Alella sección 01001	17103.0	16546.0	46197.0	44737.0	
0800301002 Alella sección 01002	20079.0	18982.0	56482.0	53132.0	
0800301003 Alella sección 01003	21173.0	18925.0	62184.0	55554.0	
0800301004 Alella sección 01004	18456.0	18660.0	55015.0	56056.0	
08004 Alpens	13627.0	13081.0	32991.0	31054.0	
0800401 Alpens distrito 01	13627.0	13081.0	32991.0	31054.0	
0800401001 Alpens sección 01001	13627.0	13081.0	32991.0	31054.0	
08005 Ametlla del Vallès, L'	16482.0	16061.0	48714.0	47570.0	
0800501 Ametlla del Vallès, L' distrito 01	16482.0	16061.0	48714.0	47570.0	
0800501001 Ametlla del Vallès, L' sección 01001	15659.0	14957.0	46880.0	45413.0	
0800501002 Ametlla del Vallès, L' sección 01002	17067.0	16486.0	45317.0	44362.0	
0800501003 Ametlla del Vallès, L' sección 01003	17581.0	16903.0	53209.0	50645.0	
0800501004 Ametlla del Vallès, L' sección 01004	16629.0	17216.0	53134.0	53866.0	
0800501005 Ametlla del Vallès, L' sección 01005	14001.0	14358.0	42356.0	43864.0	
08006 Arenys de Mar	12445.0	12090.0	31747.0	30858.0	
0800601 Arenys de Mar distrito 01	12904.0	12556.0	32049.0	31068.0	
0800601001 Arenys de Mar sección 01001	12355.0	11981.0	30071.0	29194.0	
