Atlas de Distribución de Renta de los Hogares
Bizkaia
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
48001 Abadiño	14515.0	13919.0	36912.0	35774.0	
4800101 Abadiño distrito 01	14515.0	13919.0	36912.0	35774.0	
4800101001 Abadiño sección 01001	16437.0	15658.0	42664.0	40113.0	
4800101002 Abadiño sección 01002	13468.0	12855.0	33452.0	32698.0	
4800101003 Abadiño sección 01003	11908.0	11455.0	29114.0	28190.0	
4800101004 Abadiño sección 01004	14471.0	14060.0	36379.0	35700.0	
4800101005 Abadiño sección 01005	15348.0	14676.0	40603.0	39842.0	
48002 Abanto y Ciérvana-Abanto Zierbena	12680.0	12304.0	31770.0	31062.0	
4800201 Abanto y Ciérvana-Abanto Zierbena distrito 01	12143.0	11789.0	30348.0	29768.0	
4800201001 Abanto y Ciérvana-Abanto Zierbena sección 01001	12440.0	12060.0	31167.0	30884.0	
4800201002 Abanto y Ciérvana-Abanto Zierbena sección 01002	11843.0	11222.0	29279.0	27720.0	
4800201004 Abanto y Ciérvana-Abanto Zierbena sección 01004	11482.0	11399.0	26961.0	26515.0	
4800201005 Abanto y Ciérvana-Abanto Zierbena sección 01005	12327.0	12060.0	32050.0	31807.0	
4800202 Abanto y Ciérvana-Abanto Zierbena distrito 02	13314.0	12915.0	33459.0	32600.0	
4800202001 Abanto y Ciérvana-Abanto Zierbena sección 02001	12929.0	12465.0	32174.0	30949.0	
4800202002 Abanto y Ciérvana-Abanto Zierbena sección 02002	13053.0	12503.0	32373.0	31445.0	
4800202003 Abanto y Ciérvana-Abanto Zierbena sección 02003	13780.0	13537.0	35218.0	34681.0	
48911 Ajangiz	16871.0	16048.0	46644.0	45070.0	
4891101 Ajangiz distrito 01	16871.0	16048.0	46644.0	45070.0	
4891101001 Ajangiz sección 01001	16871.0	16048.0	46644.0	45070.0	
48912 Alonsotegi	12403.0	12031.0	29047.0	28332.0	
4891201 Alonsotegi distrito 01	12403.0	12031.0	29047.0	28332.0	
4891201001 Alonsotegi sección 01001	11358.0	10984.0	26148.0	24954.0	
4891201002 Alonsotegi sección 01002	13708.0	13364.0	31264.0	30991.0	
4891201003 Alonsotegi sección 01003	12005.0	11653.0	29320.0	28743.0	
48003 Amorebieta-Etxano	14107.0	13727.0	35769.0	35065.0	
4800301 Amorebieta-Etxano distrito 01	14052.0	13643.0	35602.0	34839.0	
4800301001 Amorebieta-Etxano sección 01001	13801.0	13707.0	32051.0	32293.0	
4800301002 Amorebieta-Etxano sección 01002	15378.0	14569.0	40447.0	38638.0	
4800301003 Amorebieta-Etxano sección 01003	12545.0	11966.0	28945.0	28193.0	
4800301004 Amorebieta-Etxano sección 01004	11860.0	11732.0	28672.0	28611.0	
4800301005 Amorebieta-Etxano sección 01005	16595.0	16057.0	47498.0	46493.0	
4800301006 Amorebieta-Etxano sección 01006	12133.0	11858.0	31604.0	31059.0	
4800301007 Amorebieta-Etxano sección 01007	14980.0	14982.0	36634.0	36307.0	
4800301008 Amorebieta-Etxano sección 01008	14498.0	14502.0	34484.0	34056.0	
4800301009 Amorebieta-Etxano sección 01009	13166.0	12726.0	34966.0	34182.0	
4800301010 Amorebieta-Etxano sección 01010	15031.0	14038.0	40025.0	38130.0	
4800302 Amorebieta-Etxano distrito 02	15437.0	15849.0	39328.0	41054.0	
4800302001 Amorebieta-Etxano sección 02001	15437.0	15849.0	39328.0	41054.0	
4800303 Amorebieta-Etxano distrito 03	14235.0	13849.0	36564.0	35206.0	
4800303001 Amorebieta-Etxano sección 03001	14235.0	13849.0	36564.0	35206.0	
48004 Amoroto	13873.0	13376.0	40097.0	38409.0	
4800401 Amoroto distrito 01	13873.0	13376.0	40097.0	38409.0	
4800401001 Amoroto sección 01001	13873.0	13376.0	40097.0	38409.0	
48005 Arakaldo	14037.0	13260.0	37828.0	35286.0	
4800501 Arakaldo distrito 01	14037.0	13260.0	37828.0	35286.0	
4800501001 Arakaldo sección 01001	14037.0	13260.0	37828.0	35286.0	
48006 Arantzazu	14223.0	15127.0	39210.0	40843.0	
4800601 Arantzazu distrito 01	14223.0	15127.0	39210.0	40843.0	
4800601001 Arantzazu sección 01001	14223.0	15127.0	39210.0	40843.0	
48093 Areatza	13528.0	12674.0	31940.0	30626.0	
4809301 Areatza distrito 01	13528.0	12674.0	31940.0	30626.0	
4809301001 Areatza sección 01001	13528.0	12674.0	31940.0	30626.0	
48009 Arrankudiaga	15103.0	13832.0	41122.0	38785.0	
