Atlas de Distribución de Renta de los Hogares
Burgos
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
09001 Abajas	.	.	.	.	
0900101 Abajas distrito 01	.	.	.	.	
0900101001 Abajas sección 01001	.	.	.	.	
09003 Adrada de Haza	10745.0	10341.0	25033.0	23346.0	
0900301 Adrada de Haza distrito 01	10745.0	10341.0	25033.0	23346.0	
0900301001 Adrada de Haza sección 01001	10745.0	10341.0	25033.0	23346.0	
09006 Aguas Cándidas	.	.	.	.	
0900601 Aguas Cándidas distrito 01	.	.	.	.	
0900601001 Aguas Cándidas sección 01001	.	.	.	.	
09007 Aguilar de Bureba	.	.	.	.	
0900701 Aguilar de Bureba distrito 01	.	.	.	.	
0900701001 Aguilar de Bureba sección 01001	.	.	.	.	
09009 Albillos	11200.0	11336.0	28389.0	29418.0	
0900901 Albillos distrito 01	11200.0	11336.0	28389.0	29418.0	
0900901001 Albillos sección 01001	11200.0	11336.0	28389.0	29418.0	
09010 Alcocero de Mola	.	.	.	.	
0901001 Alcocero de Mola distrito 01	.	.	.	.	
0901001001 Alcocero de Mola sección 01001	.	.	.	.	
09011 Alfoz de Bricia	.	.	.	.	
0901101 Alfoz de Bricia distrito 01	.	.	.	.	
0901101001 Alfoz de Bricia sección 01001	.	.	.	.	
09907 Alfoz de Quintanadueñas	12150.0	12130.0	32803.0	32477.0	
0990701 Alfoz de Quintanadueñas distrito 01	12150.0	12130.0	32803.0	32477.0	
0990701001 Alfoz de Quintanadueñas sección 01001	12150.0	12130.0	32803.0	32477.0	
09012 Alfoz de Santa Gadea	10764.0	.	22902.0	.	
0901201 Alfoz de Santa Gadea distrito 01	10764.0	.	22902.0	.	
0901201001 Alfoz de Santa Gadea sección 01001	10764.0	.	22902.0	.	
09013 Altable	.	.	.	.	
0901301 Altable distrito 01	.	.	.	.	
0901301001 Altable sección 01001	.	.	.	.	
09014 Altos, Los	12304.0	12135.0	24746.0	25854.0	
0901401 Altos, Los distrito 01	12304.0	12135.0	24746.0	25854.0	
0901401001 Altos, Los sección 01001	12304.0	12135.0	24746.0	25854.0	
09016 Ameyugo	11228.0	11056.0	24328.0	24185.0	
0901601 Ameyugo distrito 01	11228.0	11056.0	24328.0	24185.0	
0901601001 Ameyugo sección 01001	11228.0	11056.0	24328.0	24185.0	
09017 Anguix	9495.0	8778.0	22570.0	20722.0	
0901701 Anguix distrito 01	9495.0	8778.0	22570.0	20722.0	
0901701001 Anguix sección 01001	9495.0	8778.0	22570.0	20722.0	
09018 Aranda de Duero	11545.0	11210.0	28540.0	27757.0	
0901801 Aranda de Duero distrito 01	11731.0	11344.0	29480.0	28549.0	
0901801001 Aranda de Duero sección 01001	12842.0	12478.0	32387.0	31477.0	
0901801002 Aranda de Duero sección 01002	12340.0	12251.0	30006.0	29813.0	
0901801003 Aranda de Duero sección 01003	11215.0	10937.0	27783.0	26579.0	
0901801004 Aranda de Duero sección 01004	11653.0	11293.0	29495.0	28970.0	
0901801005 Aranda de Duero sección 01005	11326.0	10606.0	29503.0	27798.0	
0901801006 Aranda de Duero sección 01006	9705.0	9172.0	24833.0	23400.0	
0901801007 Aranda de Duero sección 01007	12452.0	12486.0	31315.0	31295.0	
0901801008 Aranda de Duero sección 01008	12865.0	12313.0	31785.0	30893.0	
