Atlas de Distribución de Renta de los Hogares
Cáceres
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
10001 Abadía	7671.0	8416.0	17030.0	18936.0	
1000101 Abadía distrito 01	7671.0	8416.0	17030.0	18936.0	
1000101001 Abadía sección 01001	7671.0	8416.0	17030.0	18936.0	
10002 Abertura	8259.0	7974.0	16559.0	16460.0	
1000201 Abertura distrito 01	8259.0	7974.0	16559.0	16460.0	
1000201001 Abertura sección 01001	8259.0	7974.0	16559.0	16460.0	
10003 Acebo	7473.0	7421.0	14379.0	14290.0	
1000301 Acebo distrito 01	7473.0	7421.0	14379.0	14290.0	
1000301001 Acebo sección 01001	7473.0	7421.0	14379.0	14290.0	
10004 Acehúche	7486.0	7302.0	16404.0	16166.0	
1000401 Acehúche distrito 01	7486.0	7302.0	16404.0	16166.0	
1000401001 Acehúche sección 01001	7486.0	7302.0	16404.0	16166.0	
10005 Aceituna	7064.0	6808.0	15259.0	14978.0	
1000501 Aceituna distrito 01	7064.0	6808.0	15259.0	14978.0	
1000501001 Aceituna sección 01001	7064.0	6808.0	15259.0	14978.0	
10006 Ahigal	7953.0	8016.0	15746.0	15790.0	
1000601 Ahigal distrito 01	7953.0	8016.0	15746.0	15790.0	
1000601001 Ahigal sección 01001	7953.0	8016.0	15746.0	15790.0	
10903 Alagón del Río	7134.0	7078.0	18125.0	17876.0	
1090301 Alagón del Río distrito 01	7134.0	7078.0	18125.0	17876.0	
1090301001 Alagón del Río sección 01001	7134.0	7078.0	18125.0	17876.0	
10007 Albalá	9954.0	9659.0	18823.0	18601.0	
1000701 Albalá distrito 01	9954.0	9659.0	18823.0	18601.0	
1000701001 Albalá sección 01001	9954.0	9659.0	18823.0	18601.0	
10008 Alcántara	10289.0	10250.0	23701.0	23651.0	
1000801 Alcántara distrito 01	10289.0	10250.0	23701.0	23651.0	
1000801001 Alcántara sección 01001	10289.0	10250.0	23701.0	23651.0	
10009 Alcollarín	7785.0	7112.0	17113.0	16051.0	
1000901 Alcollarín distrito 01	7785.0	7112.0	17113.0	16051.0	
1000901001 Alcollarín sección 01001	7785.0	7112.0	17113.0	16051.0	
10010 Alcuéscar	7441.0	7171.0	17339.0	16755.0	
1001001 Alcuéscar distrito 01	7405.0	7083.0	17623.0	16858.0	
1001001001 Alcuéscar sección 01001	7401.0	7158.0	17229.0	16756.0	
1001001002 Alcuéscar sección 01002	7410.0	6992.0	18108.0	16985.0	
1001002 Alcuéscar distrito 02	7620.0	7605.0	16078.0	16302.0	
1001002001 Alcuéscar sección 02001	7620.0	7605.0	16078.0	16302.0	
10012 Aldea del Cano	9253.0	8890.0	20054.0	19772.0	
1001201 Aldea del Cano distrito 01	9253.0	8890.0	20054.0	19772.0	
1001201001 Aldea del Cano sección 01001	9253.0	8890.0	20054.0	19772.0	
10013 Aldea del Obispo, La	7337.0	7188.0	15915.0	15125.0	
1001301 Aldea del Obispo, La distrito 01	7337.0	7188.0	15915.0	15125.0	
