Atlas de Distribución de Renta de los Hogares
Cádiz
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
11001 Alcalá de los Gazules	7324.0	7018.0	19468.0	18599.0	
1100101 Alcalá de los Gazules distrito 01	6815.0	6542.0	17717.0	17081.0	
1100101001 Alcalá de los Gazules sección 01001	6447.0	6125.0	15618.0	15009.0	
1100101002 Alcalá de los Gazules sección 01002	7058.0	6815.0	19275.0	18588.0	
1100102 Alcalá de los Gazules distrito 02	7768.0	7434.0	21064.0	19968.0	
1100102001 Alcalá de los Gazules sección 02001	7416.0	7006.0	21353.0	19900.0	
1100102002 Alcalá de los Gazules sección 02002	8744.0	8565.0	20413.0	20115.0	
11002 Alcalá del Valle	6587.0	6415.0	18051.0	17653.0	
1100201 Alcalá del Valle distrito 01	6587.0	6415.0	18051.0	17653.0	
1100201001 Alcalá del Valle sección 01001	7042.0	6898.0	19006.0	18723.0	
1100201002 Alcalá del Valle sección 01002	5684.0	5617.0	16015.0	15850.0	
1100201003 Alcalá del Valle sección 01003	6848.0	6688.0	18405.0	17944.0	
1100201004 Alcalá del Valle sección 01004	7361.0	6882.0	20135.0	19143.0	
11003 Algar	7978.0	7798.0	18243.0	17937.0	
1100301 Algar distrito 01	7978.0	7798.0	18243.0	17937.0	
1100301001 Algar sección 01001	7978.0	7798.0	18243.0	17937.0	
11004 Algeciras	9594.0	9390.0	26997.0	25783.0	
1100401 Algeciras distrito 01	10730.0	10572.0	28124.0	26893.0	
1100401001 Algeciras sección 01001	15149.0	15198.0	35680.0	33964.0	
1100401002 Algeciras sección 01002	16139.0	15939.0	39488.0	37580.0	
1100401003 Algeciras sección 01003	11319.0	11210.0	28192.0	26497.0	
1100401004 Algeciras sección 01004	12127.0	11810.0	28478.0	27271.0	
1100401005 Algeciras sección 01005	9421.0	9544.0	21391.0	23203.0	
1100401006 Algeciras sección 01006	9370.0	9140.0	23400.0	22452.0	
1100401007 Algeciras sección 01007	10748.0	9549.0	33832.0	30390.0	
1100401008 Algeciras sección 01008	7741.0	8055.0	18323.0	18641.0	
1100401009 Algeciras sección 01009	9068.0	8735.0	22987.0	21717.0	
1100401010 Algeciras sección 01010	7153.0	7396.0	19610.0	19694.0	
1100401011 Algeciras sección 01011	7696.0	7637.0	19444.0	19064.0	
1100401012 Algeciras sección 01012	9066.0	9208.0	24044.0	23235.0	
1100401014 Algeciras sección 01014	12808.0	12562.0	31308.0	31133.0	
1100401015 Algeciras sección 01015	14080.0	13760.0	38023.0	35461.0	
1100401016 Algeciras sección 01016	9452.0	9374.0	23806.0	22621.0	
