Atlas de Distribución de Renta de los Hogares
Cantabria
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
39001 Alfoz de Lloredo	10216.0	10164.0	24897.0	24785.0	
3900101 Alfoz de Lloredo distrito 01	10216.0	10164.0	24897.0	24785.0	
3900101001 Alfoz de Lloredo sección 01001	10746.0	9998.0	26645.0	24781.0	
3900101002 Alfoz de Lloredo sección 01002	9929.0	10793.0	24332.0	26255.0	
3900101003 Alfoz de Lloredo sección 01003	9843.0	9539.0	23227.0	22792.0	
39002 Ampuero	10209.0	9962.0	25263.0	24560.0	
3900201 Ampuero distrito 01	10209.0	9962.0	25263.0	24560.0	
3900201001 Ampuero sección 01001	10372.0	10090.0	25228.0	24545.0	
3900201002 Ampuero sección 01002	10284.0	10250.0	26048.0	25723.0	
3900201003 Ampuero sección 01003	9657.0	9193.0	24217.0	22910.0	
39003 Anievas	10547.0	10456.0	26100.0	27502.0	
3900301 Anievas distrito 01	10547.0	10456.0	26100.0	27502.0	
3900301001 Anievas sección 01001	10547.0	10456.0	26100.0	27502.0	
39004 Arenas de Iguña	10515.0	10437.0	25774.0	25812.0	
3900401 Arenas de Iguña distrito 01	10515.0	10437.0	25774.0	25812.0	
3900401001 Arenas de Iguña sección 01001	10685.0	10722.0	25181.0	25471.0	
3900401002 Arenas de Iguña sección 01002	10264.0	10020.0	26741.0	26365.0	
39005 Argoños	11436.0	10922.0	28929.0	27700.0	
3900501 Argoños distrito 01	11436.0	10922.0	28929.0	27700.0	
3900501001 Argoños sección 01001	11436.0	10922.0	28929.0	27700.0	
39006 Arnuero	10067.0	9894.0	26348.0	25761.0	
3900601 Arnuero distrito 01	10067.0	9894.0	26348.0	25761.0	
3900601001 Arnuero sección 01001	9867.0	9694.0	25274.0	24797.0	
3900601002 Arnuero sección 01002	10289.0	10115.0	27597.0	26873.0	
39007 Arredondo	8946.0	8584.0	20052.0	19070.0	
3900701 Arredondo distrito 01	8946.0	8584.0	20052.0	19070.0	
3900701001 Arredondo sección 01001	8946.0	8584.0	20052.0	19070.0	
39008 Astillero, El	10850.0	10728.0	28022.0	27488.0	
3900801 Astillero, El distrito 01	10902.0	10784.0	28140.0	27640.0	
3900801001 Astillero, El sección 01001	10016.0	9966.0	25433.0	24948.0	
3900801002 Astillero, El sección 01002	11311.0	11423.0	28761.0	29220.0	
3900801003 Astillero, El sección 01003	11288.0	11043.0	27463.0	26845.0	
3900801004 Astillero, El sección 01004	10365.0	10209.0	25792.0	25428.0	
3900801005 Astillero, El sección 01005	11827.0	11732.0	30991.0	30270.0	
3900801006 Astillero, El sección 01006	10592.0	10270.0	26658.0	25830.0	
3900801007 Astillero, El sección 01007	10866.0	10825.0	28446.0	27778.0	
3900801008 Astillero, El sección 01008	10921.0	10662.0	28286.0	27420.0	
3900801009 Astillero, El sección 01009	10728.0	10919.0	32498.0	32620.0	
3900802 Astillero, El distrito 02	10750.0	10619.0	27794.0	27192.0	
3900802001 Astillero, El sección 02001	12445.0	12328.0	35262.0	34234.0	
3900802002 Astillero, El sección 02002	10320.0	10232.0	27171.0	27263.0	
3900802003 Astillero, El sección 02003	9732.0	9446.0	23510.0	22863.0	
3900802004 Astillero, El sección 02004	9757.0	9756.0	23206.0	22493.0	
39009 Bárcena de Cicero	10918.0	10680.0	26439.0	25783.0	
3900901 Bárcena de Cicero distrito 01	10918.0	10680.0	26439.0	25783.0	
3900901001 Bárcena de Cicero sección 01001	10960.0	10517.0	26164.0	24740.0	
3900901002 Bárcena de Cicero sección 01002	10544.0	10273.0	28365.0	27826.0	
3900901003 Bárcena de Cicero sección 01003	11265.0	11313.0	25053.0	25083.0	
39010 Bárcena de Pie de Concha	11585.0	11347.0	26392.0	26182.0	
3901001 Bárcena de Pie de Concha distrito 01	11585.0	11347.0	26392.0	26182.0	
3901001001 Bárcena de Pie de Concha sección 01001	11585.0	11347.0	26392.0	26182.0	
39011 Bareyo	9746.0	9920.0	24688.0	25067.0	
3901101 Bareyo distrito 01	9746.0	9920.0	24688.0	25067.0	
3901101001 Bareyo sección 01001	9746.0	9920.0	24688.0	25067.0	
