Atlas de Distribución de Renta de los Hogares
Castellón/Castelló
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
12002 Aín	12418.0	11848.0	24264.0	22741.0	
1200201 Aín distrito 01	12418.0	11848.0	24264.0	22741.0	
1200201001 Aín sección 01001	12418.0	11848.0	24264.0	22741.0	
12003 Albocàsser	9438.0	9471.0	23999.0	23744.0	
1200301 Albocàsser distrito 01	9438.0	9471.0	23999.0	23744.0	
1200301001 Albocàsser sección 01001	9438.0	9471.0	23999.0	23744.0	
12004 Alcalà de Xivert	8658.0	8821.0	20899.0	21022.0	
1200401 Alcalà de Xivert distrito 01	8322.0	8090.0	21893.0	21028.0	
1200401001 Alcalà de Xivert sección 01001	8536.0	8259.0	22096.0	21536.0	
1200401002 Alcalà de Xivert sección 01002	8121.0	7932.0	21697.0	20558.0	
1200402 Alcalà de Xivert distrito 02	8830.0	9215.0	20450.0	21019.0	
1200402001 Alcalà de Xivert sección 02001	8258.0	9042.0	21365.0	23573.0	
1200402002 Alcalà de Xivert sección 02002	9076.0	9296.0	20113.0	20020.0	
12005 Alcora, l'	11942.0	11150.0	29328.0	27346.0	
1200501 Alcora, l' distrito 01	13324.0	11994.0	31184.0	28059.0	
1200501001 Alcora, l' sección 01001	13020.0	11167.0	29179.0	24773.0	
1200501002 Alcora, l' sección 01002	15879.0	14409.0	37199.0	33492.0	
1200501003 Alcora, l' sección 01003	11719.0	11220.0	25958.0	25119.0	
1200501004 Alcora, l' sección 01004	12612.0	11214.0	30809.0	27292.0	
1200502 Alcora, l' distrito 02	11039.0	10582.0	28012.0	26826.0	
1200502001 Alcora, l' sección 02001	11070.0	10895.0	29262.0	28219.0	
1200502002 Alcora, l' sección 02002	11911.0	10941.0	28770.0	26628.0	
1200502003 Alcora, l' sección 02003	10271.0	10077.0	26375.0	26252.0	
1200502004 Alcora, l' sección 02004	10743.0	10308.0	27452.0	26123.0	
12006 Alcudia de Veo	10235.0	9807.0	20572.0	18860.0	
1200601 Alcudia de Veo distrito 01	10235.0	9807.0	20572.0	18860.0	
1200601001 Alcudia de Veo sección 01001	10235.0	9807.0	20572.0	18860.0	
12007 Alfondeguilla	9480.0	9286.0	22111.0	21544.0	
1200701 Alfondeguilla distrito 01	9480.0	9286.0	22111.0	21544.0	
1200701001 Alfondeguilla sección 01001	9480.0	9286.0	22111.0	21544.0	
12008 Algimia de Almonacid	8879.0	9185.0	16876.0	16672.0	
1200801 Algimia de Almonacid distrito 01	8879.0	9185.0	16876.0	16672.0	
1200801001 Algimia de Almonacid sección 01001	8879.0	9185.0	16876.0	16672.0	
12009 Almassora	9857.0	9465.0	24903.0	23941.0	
1200901 Almassora distrito 01	10323.0	9914.0	26438.0	25426.0	
1200901001 Almassora sección 01001	11718.0	11126.0	30036.0	28467.0	
1200901002 Almassora sección 01002	11386.0	11115.0	27636.0	26575.0	
1200901003 Almassora sección 01003	10472.0	10130.0	26992.0	25995.0	
1200901004 Almassora sección 01004	8667.0	8267.0	22833.0	22193.0	
1200902 Almassora distrito 02	9607.0	9245.0	24191.0	23149.0	
1200902001 Almassora sección 02001	11637.0	10986.0	27786.0	26817.0	
1200902002 Almassora sección 02002	9833.0	9534.0	24056.0	22771.0	
1200902003 Almassora sección 02003	8239.0	7965.0	22071.0	21258.0	
1200903 Almassora distrito 03	9632.0	9229.0	24111.0	23232.0	
1200903001 Almassora sección 03001	8808.0	8326.0	21640.0	20810.0	
1200903002 Almassora sección 03002	8094.0	7666.0	20584.0	19871.0	
1200903003 Almassora sección 03003	10075.0	9796.0	25397.0	24622.0	
1200903004 Almassora sección 03004	11215.0	10843.0	28015.0	26852.0	
12010 Almedíjar	11315.0	10946.0	24247.0	23589.0	
