Atlas de Distribución de Renta de los Hogares
Ciudad Real
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
13001 Abenójar	8106.0	7735.0	20379.0	19437.0	
1300101 Abenójar distrito 01	8106.0	7735.0	20379.0	19437.0	
1300101001 Abenójar sección 01001	7795.0	7538.0	20089.0	19473.0	
1300101002 Abenójar sección 01002	8417.0	7939.0	20655.0	19401.0	
13002 Agudo	7638.0	7234.0	17575.0	16691.0	
1300201 Agudo distrito 01	7638.0	7234.0	17575.0	16691.0	
1300201001 Agudo sección 01001	7835.0	7344.0	18051.0	17013.0	
1300201002 Agudo sección 01002	7327.0	7062.0	16824.0	16190.0	
13003 Alamillo	8794.0	9026.0	17862.0	18544.0	
1300301 Alamillo distrito 01	8794.0	9026.0	17862.0	18544.0	
1300301001 Alamillo sección 01001	8794.0	9026.0	17862.0	18544.0	
13004 Albaladejo	7512.0	7283.0	16572.0	16035.0	
1300401 Albaladejo distrito 01	7512.0	7283.0	16572.0	16035.0	
1300401001 Albaladejo sección 01001	7209.0	6971.0	15594.0	15001.0	
1300401002 Albaladejo sección 01002	7814.0	7592.0	17589.0	17110.0	
13005 Alcázar de San Juan	9896.0	9823.0	26855.0	26195.0	
1300501 Alcázar de San Juan distrito 01	10232.0	10076.0	29243.0	28427.0	
1300501001 Alcázar de San Juan sección 01001	11139.0	11249.0	33377.0	33090.0	
1300501002 Alcázar de San Juan sección 01002	9562.0	9883.0	24663.0	24594.0	
1300501003 Alcázar de San Juan sección 01003	9018.0	9092.0	23068.0	22924.0	
1300501004 Alcázar de San Juan sección 01004	9937.0	9563.0	27922.0	26671.0	
1300501005 Alcázar de San Juan sección 01005	11004.0	10759.0	32243.0	31738.0	
1300501006 Alcázar de San Juan sección 01006	10404.0	10041.0	27694.0	25821.0	
1300501007 Alcázar de San Juan sección 01007	9127.0	8614.0	28764.0	27106.0	
1300502 Alcázar de San Juan distrito 02	10205.0	10154.0	27149.0	26467.0	
1300502001 Alcázar de San Juan sección 02001	10617.0	10586.0	26311.0	25566.0	
1300502002 Alcázar de San Juan sección 02002	11392.0	11125.0	30778.0	29546.0	
1300502003 Alcázar de San Juan sección 02003	9481.0	9750.0	24572.0	25009.0	
1300502004 Alcázar de San Juan sección 02004	8862.0	8751.0	25163.0	24044.0	
1300503 Alcázar de San Juan distrito 03	10236.0	10213.0	26528.0	25968.0	
1300503001 Alcázar de San Juan sección 03001	11727.0	11843.0	28563.0	28717.0	
1300503002 Alcázar de San Juan sección 03002	10132.0	10056.0	27040.0	26094.0	
1300503003 Alcázar de San Juan sección 03003	9153.0	9209.0	24267.0	23924.0	
1300503004 Alcázar de San Juan sección 03004	10125.0	10327.0	27692.0	27254.0	
1300503005 Alcázar de San Juan sección 03005	10325.0	10081.0	26306.0	25293.0	
1300504 Alcázar de San Juan distrito 04	9351.0	9310.0	24570.0	23979.0	
1300504001 Alcázar de San Juan sección 04001	11389.0	11396.0	25870.0	25493.0	
