Atlas de Distribución de Renta de los Hogares
Córdoba
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
14001 Adamuz	7912.0	7250.0	20589.0	19238.0	
1400101 Adamuz distrito 01	7912.0	7250.0	20589.0	19238.0	
1400101001 Adamuz sección 01001	7669.0	7088.0	21304.0	20051.0	
1400101002 Adamuz sección 01002	8515.0	7814.0	22765.0	21250.0	
1400101003 Adamuz sección 01003	7769.0	7040.0	18504.0	17142.0	
14002 Aguilar de la Frontera	7611.0	7253.0	19546.0	18753.0	
1400201 Aguilar de la Frontera distrito 01	8267.0	7801.0	20959.0	19976.0	
1400201001 Aguilar de la Frontera sección 01001	8262.0	7649.0	20646.0	19390.0	
1400201002 Aguilar de la Frontera sección 01002	11109.0	10355.0	26687.0	25248.0	
1400201003 Aguilar de la Frontera sección 01003	6521.0	6316.0	17315.0	16834.0	
1400202 Aguilar de la Frontera distrito 02	7372.0	7057.0	18941.0	18083.0	
1400202001 Aguilar de la Frontera sección 02001	7565.0	7420.0	18632.0	18183.0	
1400202002 Aguilar de la Frontera sección 02002	7973.0	7594.0	19428.0	18370.0	
1400202003 Aguilar de la Frontera sección 02003	6122.0	5907.0	16403.0	15928.0	
1400202004 Aguilar de la Frontera sección 02004	8169.0	7623.0	21723.0	20162.0	
1400203 Aguilar de la Frontera distrito 03	7416.0	7085.0	19174.0	18529.0	
1400203001 Aguilar de la Frontera sección 03001	6885.0	6468.0	18214.0	17279.0	
1400203002 Aguilar de la Frontera sección 03002	8286.0	7926.0	20871.0	20274.0	
1400203003 Aguilar de la Frontera sección 03003	7084.0	6915.0	18304.0	18035.0	
14003 Alcaracejos	8324.0	8166.0	19650.0	19597.0	
1400301 Alcaracejos distrito 01	8324.0	8166.0	19650.0	19597.0	
1400301001 Alcaracejos sección 01001	8324.0	8166.0	19650.0	19597.0	
14004 Almedinilla	7539.0	7476.0	18436.0	18232.0	
1400401 Almedinilla distrito 01	7717.0	7657.0	19514.0	19344.0	
1400401001 Almedinilla sección 01001	7717.0	7657.0	19514.0	19344.0	
1400402 Almedinilla distrito 02	7242.0	7167.0	16782.0	16504.0	
1400402001 Almedinilla sección 02001	7242.0	7167.0	16782.0	16504.0	
14005 Almodóvar del Río	7025.0	6873.0	18724.0	18485.0	
1400501 Almodóvar del Río distrito 01	7025.0	6873.0	18724.0	18485.0	
1400501001 Almodóvar del Río sección 01001	7430.0	7252.0	19768.0	19131.0	
1400501002 Almodóvar del Río sección 01002	7644.0	7383.0	19318.0	18684.0	
1400501003 Almodóvar del Río sección 01003	7183.0	7094.0	18676.0	18347.0	
1400501004 Almodóvar del Río sección 01004	6601.0	6628.0	16365.0	16658.0	
1400501005 Almodóvar del Río sección 01005	6692.0	6528.0	17642.0	17357.0	
1400501006 Almodóvar del Río sección 01006	6314.0	6187.0	17498.0	18034.0	
1400501007 Almodóvar del Río sección 01007	7232.0	7047.0	21147.0	20804.0	
14006 Añora	9567.0	8968.0	23772.0	22576.0	
1400601 Añora distrito 01	9567.0	8968.0	23772.0	22576.0	
1400601001 Añora sección 01001	9872.0	9350.0	24024.0	23158.0	
1400601002 Añora sección 01002	9276.0	8603.0	23520.0	22000.0	
14007 Baena	7352.0	7090.0	19354.0	18737.0	
1400701 Baena distrito 01	7408.0	7110.0	20456.0	19609.0	
1400701001 Baena sección 01001	8228.0	8036.0	22073.0	21389.0	
1400701002 Baena sección 01002	7116.0	6750.0	20065.0	19042.0	
1400701003 Baena sección 01003	6304.0	6009.0	17483.0	16821.0	
1400702 Baena distrito 02	6095.0	5835.0	14843.0	14434.0	
1400702001 Baena sección 02001	6095.0	5835.0	14843.0	14434.0	
1400703 Baena distrito 03	7879.0	7636.0	20859.0	20302.0	
1400703001 Baena sección 03001	7394.0	7386.0	19452.0	19409.0	
1400703002 Baena sección 03002	9043.0	8755.0	23258.0	22271.0	
1400703003 Baena sección 03003	6331.0	6217.0	16774.0	16282.0	
1400703004 Baena sección 03004	6801.0	6701.0	17547.0	17158.0	
1400703005 Baena sección 03005	7468.0	7064.0	20012.0	19513.0	
1400703006 Baena sección 03006	8725.0	8517.0	23784.0	23382.0	
1400703007 Baena sección 03007	8312.0	7950.0	22282.0	21496.0	
1400704 Baena distrito 04	5077.0	5007.0	13679.0	13460.0	
1400704001 Baena sección 04001	5893.0	5751.0	15189.0	14696.0	
1400704002 Baena sección 04002	4278.0	4283.0	12061.0	12128.0	
1400705 Baena distrito 05	7470.0	6997.0	16815.0	16030.0	
1400705001 Baena sección 05001	7470.0	6997.0	16815.0	16030.0	
14008 Belalcázar	7333.0	7070.0	18882.0	18518.0	
1400801 Belalcázar distrito 01	6495.0	6443.0	16634.0	16728.0	
1400801001 Belalcázar sección 01001	6495.0	6443.0	16634.0	16728.0	
1400802 Belalcázar distrito 02	7868.0	7557.0	19868.0	19532.0	
1400802001 Belalcázar sección 02001	7868.0	7557.0	19868.0	19532.0	
1400803 Belalcázar distrito 03	7895.0	7441.0	19655.0	18779.0	
1400803001 Belalcázar sección 03001	7895.0	7441.0	19655.0	18779.0	
1400804 Belalcázar distrito 04	7132.0	6892.0	19040.0	18680.0	
1400804001 Belalcázar sección 04001	7132.0	6892.0	19040.0	18680.0	
14009 Belmez	8692.0	8285.0	22531.0	21562.0	
1400901 Belmez distrito 01	9167.0	8931.0	23138.0	23592.0	
1400901001 Belmez sección 01001	8608.0	8368.0	21922.0	21636.0	
1400901002 Belmez sección 01002	9681.0	9660.0	24234.0	26254.0	
1400902 Belmez distrito 02	8240.0	7994.0	21100.0	20582.0	
1400902001 Belmez sección 02001	8240.0	7994.0	21100.0	20582.0	
1400903 Belmez distrito 03	8278.0	7698.0	22867.0	19838.0	
1400903001 Belmez sección 03001	8278.0	7698.0	22867.0	19838.0	
14010 Benamejí	7232.0	6860.0	17947.0	17165.0	
1401001 Benamejí distrito 01	7112.0	6739.0	16951.0	16420.0	
1401001001 Benamejí sección 01001	7112.0	6739.0	16951.0	16420.0	
1401002 Benamejí distrito 02	6993.0	6596.0	18017.0	17037.0	
1401002001 Benamejí sección 02001	8490.0	8006.0	19425.0	18512.0	
1401002002 Benamejí sección 02002	6386.0	6010.0	17339.0	16316.0	
1401003 Benamejí distrito 03	8037.0	7727.0	19336.0	18620.0	
1401003001 Benamejí sección 03001	8037.0	7727.0	19336.0	18620.0	
14011 Blázquez, Los	7101.0	7070.0	17364.0	17712.0	
1401101 Blázquez, Los distrito 01	7101.0	7070.0	17364.0	17712.0	
1401101001 Blázquez, Los sección 01001	7101.0	7070.0	17364.0	17712.0	
14012 Bujalance	7845.0	7420.0	19325.0	18242.0	
1401201 Bujalance distrito 01	7796.0	7441.0	19370.0	18638.0	
1401201001 Bujalance sección 01001	8637.0	8267.0	21936.0	21171.0	
1401201002 Bujalance sección 01002	7330.0	6986.0	17993.0	17289.0	
1401202 Bujalance distrito 02	8923.0	8390.0	22207.0	20677.0	
1401202001 Bujalance sección 02001	9655.0	9105.0	24163.0	22540.0	
1401202002 Bujalance sección 02002	7891.0	7366.0	19484.0	18035.0	
1401203 Bujalance distrito 03	7644.0	7290.0	18811.0	17865.0	
1401203001 Bujalance sección 03001	7644.0	7290.0	18811.0	17865.0	
1401204 Bujalance distrito 04	7227.0	6742.0	17504.0	16259.0	
1401204001 Bujalance sección 04001	7416.0	6825.0	18068.0	16697.0	
1401204002 Bujalance sección 04002	7089.0	6681.0	17098.0	15940.0	
14013 Cabra	8622.0	8340.0	22611.0	22056.0	
1401301 Cabra distrito 01	8614.0	8326.0	23064.0	22521.0	
1401301001 Cabra sección 01001	9467.0	9315.0	24744.0	24586.0	
1401301002 Cabra sección 01002	9443.0	9164.0	24607.0	24096.0	
1401301003 Cabra sección 01003	7939.0	7684.0	19576.0	19416.0	
1401301004 Cabra sección 01004	7546.0	7291.0	21137.0	20649.0	
1401301005 Cabra sección 01005	9567.0	9405.0	27559.0	27083.0	
1401301006 Cabra sección 01006	9336.0	8800.0	25153.0	23688.0	
1401301007 Cabra sección 01007	6396.0	6135.0	17549.0	17174.0	
1401302 Cabra distrito 02	9264.0	8943.0	24332.0	23773.0	
1401302001 Cabra sección 02001	11148.0	10877.0	28647.0	28254.0	
1401302002 Cabra sección 02002	8371.0	7953.0	22859.0	21897.0	
1401302003 Cabra sección 02003	7883.0	7694.0	19979.0	19910.0	
1401303 Cabra distrito 03	8258.0	8004.0	21279.0	20647.0	
1401303001 Cabra sección 03001	8289.0	7976.0	21626.0	20771.0	
1401303002 Cabra sección 03002	10508.0	10093.0	24825.0	23941.0	
1401303003 Cabra sección 03003	7728.0	7500.0	18758.0	18306.0	
1401303004 Cabra sección 03004	7274.0	7120.0	20075.0	19617.0	
1401304 Cabra distrito 04	7992.0	7783.0	19162.0	18833.0	
1401304001 Cabra sección 04001	7992.0	7783.0	19162.0	18833.0	
14014 Cañete de las Torres	8647.0	7953.0	21158.0	19548.0	
1401401 Cañete de las Torres distrito 01	9102.0	8294.0	22282.0	20344.0	
1401401001 Cañete de las Torres sección 01001	9102.0	8294.0	22282.0	20344.0	
1401402 Cañete de las Torres distrito 02	8239.0	7651.0	20149.0	18842.0	
1401402001 Cañete de las Torres sección 02001	8239.0	7651.0	20149.0	18842.0	
14015 Carcabuey	8167.0	7857.0	19776.0	19304.0	
1401501 Carcabuey distrito 01	8167.0	7857.0	19776.0	19304.0	
1401501001 Carcabuey sección 01001	8019.0	7711.0	20171.0	19694.0	
1401501002 Carcabuey sección 01002	8373.0	8063.0	19273.0	18802.0	
14016 Cardeña	7911.0	7644.0	17564.0	17104.0	
1401601 Cardeña distrito 01	7911.0	7644.0	17564.0	17104.0	
1401601001 Cardeña sección 01001	7837.0	7517.0	17291.0	16432.0	
1401601002 Cardeña sección 01002	7999.0	7792.0	17895.0	17938.0	
14017 Carlota, La	7782.0	7497.0	20388.0	19671.0	
1401701 Carlota, La distrito 01	7930.0	7672.0	20970.0	20322.0	
1401701001 Carlota, La sección 01001	7496.0	7330.0	19917.0	19765.0	
1401701002 Carlota, La sección 01002	8335.0	8083.0	21360.0	20498.0	
1401701003 Carlota, La sección 01003	8416.0	8047.0	22065.0	21108.0	
1401701004 Carlota, La sección 01004	7677.0	7612.0	19218.0	19240.0	
1401701005 Carlota, La sección 01005	7321.0	7004.0	20367.0	19261.0	
1401701006 Carlota, La sección 01006	8898.0	8421.0	25469.0	24292.0	
1401702 Carlota, La distrito 02	7157.0	6878.0	18920.0	18128.0	
1401702001 Carlota, La sección 02001	6988.0	6796.0	18259.0	17791.0	
1401702002 Carlota, La sección 02002	7276.0	6935.0	19396.0	18366.0	
1401703 Carlota, La distrito 03	8016.0	7525.0	19444.0	18445.0	
1401703001 Carlota, La sección 03001	8016.0	7525.0	19444.0	18445.0	
14018 Carpio, El	8344.0	8036.0	21785.0	21204.0	
1401801 Carpio, El distrito 01	8466.0	8141.0	22077.0	21665.0	
1401801001 Carpio, El sección 01001	8466.0	8141.0	22077.0	21665.0	
1401802 Carpio, El distrito 02	8277.0	7977.0	21623.0	20947.0	
1401802001 Carpio, El sección 02001	8748.0	8507.0	21999.0	21242.0	
1401802002 Carpio, El sección 02002	7896.0	7557.0	21297.0	20690.0	
14019 Castro del Río	7936.0	7546.0	21356.0	20449.0	
1401901 Castro del Río distrito 01	9093.0	8811.0	23300.0	22704.0	
1401901001 Castro del Río sección 01001	7790.0	7783.0	20391.0	20496.0	
1401901002 Castro del Río sección 01002	10471.0	9907.0	26245.0	24958.0	
1401902 Castro del Río distrito 02	7101.0	6722.0	19082.0	18348.0	
1401902001 Castro del Río sección 02001	8190.0	7485.0	19721.0	18639.0	
1401902002 Castro del Río sección 02002	6621.0	6368.0	18750.0	18194.0	
1401903 Castro del Río distrito 03	7310.0	6968.0	19479.0	18947.0	
1401903001 Castro del Río sección 03001	7310.0	6968.0	19479.0	18947.0	
1401904 Castro del Río distrito 04	8274.0	7841.0	22835.0	21441.0	
1401904001 Castro del Río sección 04001	9110.0	8348.0	22909.0	20947.0	
1401904002 Castro del Río sección 04002	7702.0	7497.0	22776.0	21829.0	
1401905 Castro del Río distrito 05	8252.0	7790.0	22683.0	21561.0	
1401905001 Castro del Río sección 05001	8252.0	7790.0	22683.0	21561.0	
14020 Conquista	8955.0	8874.0	19789.0	19306.0	
1402001 Conquista distrito 01	8955.0	8874.0	19789.0	19306.0	
1402001001 Conquista sección 01001	8955.0	8874.0	19789.0	19306.0	
14021 Córdoba	10219.0	9993.0	27823.0	27238.0	
1402101 Córdoba distrito 01	11731.0	11474.0	32989.0	32301.0	
1402101001 Córdoba sección 01001	12822.0	12526.0	33975.0	33434.0	
1402101002 Córdoba sección 01002	9786.0	9572.0	25163.0	24160.0	
1402101003 Córdoba sección 01003	11150.0	11004.0	29623.0	29019.0	
1402101004 Córdoba sección 01004	7524.0	7536.0	19892.0	19786.0	
1402101005 Córdoba sección 01005	10018.0	9698.0	29275.0	27900.0	
1402101006 Córdoba sección 01006	17167.0	16508.0	43511.0	43281.0	
1402101007 Córdoba sección 01007	9175.0	9152.0	24323.0	24365.0	
1402101008 Córdoba sección 01008	18024.0	16563.0	66350.0	61731.0	
1402101009 Córdoba sección 01009	8982.0	9092.0	23481.0	23060.0	
1402101010 Córdoba sección 01010	10473.0	10500.0	26219.0	26237.0	
1402101011 Córdoba sección 01011	11371.0	11148.0	30909.0	30446.0	
1402101012 Córdoba sección 01012	12545.0	12424.0	38261.0	38280.0	
1402101013 Córdoba sección 01013	8362.0	8301.0	21110.0	20843.0	
1402101014 Córdoba sección 01014	8402.0	8187.0	22717.0	22043.0	
1402101015 Córdoba sección 01015	11606.0	11760.0	29184.0	29229.0	
1402101016 Córdoba sección 01016	11631.0	11636.0	36880.0	37558.0	
1402101017 Córdoba sección 01017	7361.0	7108.0	19491.0	18731.0	
1402101018 Córdoba sección 01018	18017.0	17396.0	54549.0	53508.0	
1402101019 Córdoba sección 01019	16284.0	15660.0	62386.0	59642.0	
