Atlas de Distribución de Renta de los Hogares
Coruña, A
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
15001 Abegondo	10750.0	10418.0	28250.0	27685.0	
1500101 Abegondo distrito 01	10811.0	10637.0	28383.0	28034.0	
1500101001 Abegondo sección 01001	11462.0	11047.0	29570.0	29002.0	
1500101002 Abegondo sección 01002	10030.0	10151.0	26904.0	26878.0	
1500102 Abegondo distrito 02	9917.0	9777.0	25115.0	25297.0	
1500102001 Abegondo sección 02001	9913.0	10014.0	25578.0	26642.0	
1500102002 Abegondo sección 02002	9922.0	9537.0	24664.0	24009.0	
1500103 Abegondo distrito 03	11196.0	10653.0	30107.0	28943.0	
1500103001 Abegondo sección 03001	10699.0	10251.0	28506.0	27537.0	
1500103002 Abegondo sección 03002	11987.0	11270.0	32717.0	31163.0	
15002 Ames	11045.0	10738.0	29326.0	28437.0	
1500201 Ames distrito 01	10303.0	9780.0	28297.0	27032.0	
1500201001 Ames sección 01001	9988.0	9510.0	25323.0	23963.0	
1500201003 Ames sección 01003	10596.0	10030.0	31540.0	30466.0	
1500202 Ames distrito 02	11539.0	10798.0	34215.0	32171.0	
1500202001 Ames sección 02001	13194.0	11944.0	38571.0	34876.0	
1500202002 Ames sección 02002	10362.0	9998.0	31038.0	30218.0	
1500203 Ames distrito 03	11050.0	10795.0	29016.0	28235.0	
1500203001 Ames sección 03001	11943.0	11228.0	34334.0	31971.0	
1500203002 Ames sección 03002	10003.0	9863.0	26477.0	25830.0	
1500203003 Ames sección 03003	11583.0	11375.0	33709.0	33228.0	
1500203004 Ames sección 03004	13838.0	13268.0	39987.0	39285.0	
1500203005 Ames sección 03005	10709.0	10502.0	26307.0	25811.0	
1500203006 Ames sección 03006	10795.0	10267.0	27823.0	26581.0	
1500203007 Ames sección 03007	12057.0	11699.0	32627.0	31519.0	
1500203008 Ames sección 03008	10554.0	10426.0	27168.0	26531.0	
1500203009 Ames sección 03009	9763.0	9481.0	24797.0	23665.0	
1500203010 Ames sección 03010	16382.0	16448.0	53695.0	54806.0	
1500203011 Ames sección 03011	11409.0	11248.0	29455.0	29224.0	
1500203012 Ames sección 03012	10377.0	10000.0	26356.0	25290.0	
1500203013 Ames sección 03013	9362.0	9180.0	25481.0	25016.0	
1500203014 Ames sección 03014	11213.0	11238.0	27578.0	26611.0	
1500203015 Ames sección 03015	10112.0	10235.0	24411.0	24605.0	
1500203016 Ames sección 03016	10532.0	10070.0	26211.0	24776.0	
15003 Aranga	10211.0	9963.0	25449.0	24990.0	
1500301 Aranga distrito 01	10211.0	9963.0	25449.0	24990.0	
1500301001 Aranga sección 01001	9849.0	9664.0	27613.0	27190.0	
1500301002 Aranga sección 01002	10530.0	10225.0	23909.0	23419.0	
15004 Ares	11266.0	10996.0	26352.0	25741.0	
1500401 Ares distrito 01	10947.0	10649.0	25745.0	25075.0	
1500401001 Ares sección 01001	11749.0	11252.0	27318.0	26295.0	
1500401002 Ares sección 01002	10616.0	10248.0	25159.0	24357.0	
1500401003 Ares sección 01003	10822.0	10670.0	25433.0	25032.0	
1500402 Ares distrito 02	13345.0	13226.0	30168.0	29837.0	
1500402001 Ares sección 02001	13345.0	13226.0	30168.0	29837.0	
15005 Arteixo	10143.0	9845.0	26204.0	25474.0	
1500501 Arteixo distrito 01	10131.0	9833.0	26872.0	26067.0	
1500501001 Arteixo sección 01001	9024.0	8843.0	25877.0	25261.0	
1500501002 Arteixo sección 01002	11074.0	10861.0	30566.0	29197.0	
1500501003 Arteixo sección 01003	10165.0	9726.0	26618.0	25482.0	
1500501004 Arteixo sección 01004	9305.0	8775.0	23595.0	22477.0	
1500501005 Arteixo sección 01005	12605.0	12515.0	33979.0	32853.0	
1500501006 Arteixo sección 01006	9825.0	9780.0	24490.0	24723.0	
1500501007 Arteixo sección 01007	10820.0	10566.0	28849.0	28201.0	
1500501008 Arteixo sección 01008	9833.0	9497.0	25923.0	24625.0	
1500501009 Arteixo sección 01009	9762.0	9441.0	25049.0	24567.0	
1500501010 Arteixo sección 01010	11076.0	10499.0	29254.0	27894.0	
1500501011 Arteixo sección 01011	9446.0	9112.0	24935.0	24487.0	
1500502 Arteixo distrito 02	11129.0	10819.0	29628.0	28731.0	
1500502001 Arteixo sección 02001	11069.0	11170.0	28288.0	28193.0	
1500502002 Arteixo sección 02002	11176.0	10543.0	30772.0	29194.0	
1500503 Arteixo distrito 03	11170.0	10546.0	28397.0	27359.0	
1500503001 Arteixo sección 03001	11170.0	10546.0	28397.0	27359.0	
1500504 Arteixo distrito 04	9610.0	9376.0	23108.0	22665.0	
1500504001 Arteixo sección 04001	9621.0	9492.0	23645.0	23104.0	
1500504002 Arteixo sección 04002	9558.0	9267.0	22899.0	22360.0	
1500504003 Arteixo sección 04003	9845.0	9589.0	23892.0	23466.0	
1500504004 Arteixo sección 04004	9383.0	9134.0	21924.0	21665.0	
15006 Arzúa	9249.0	8895.0	23774.0	23090.0	
1500601 Arzúa distrito 01	9249.0	8895.0	23774.0	23090.0	
1500601001 Arzúa sección 01001	9877.0	9646.0	25323.0	24664.0	
1500601002 Arzúa sección 01002	8649.0	8267.0	22257.0	21645.0	
1500601003 Arzúa sección 01003	8534.0	8300.0	22187.0	22211.0	
1500601004 Arzúa sección 01004	9155.0	8629.0	23879.0	22984.0	
1500601005 Arzúa sección 01005	8080.0	7941.0	23030.0	22912.0	
1500601007 Arzúa sección 01007	10076.0	9505.0	24242.0	22876.0	
15007 Baña, A	9272.0	8902.0	26207.0	25529.0	
