Atlas de Distribución de Renta de los Hogares
Cuenca
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
16001 Abia de la Obispalía	.	.	.	.	
1600101 Abia de la Obispalía distrito 01	.	.	.	.	
1600101001 Abia de la Obispalía sección 01001	.	.	.	.	
16002 Acebrón, El	8640.0	8283.0	21644.0	20795.0	
1600201 Acebrón, El distrito 01	8640.0	8283.0	21644.0	20795.0	
1600201001 Acebrón, El sección 01001	8640.0	8283.0	21644.0	20795.0	
16003 Alarcón	9113.0	8529.0	21082.0	19772.0	
1600301 Alarcón distrito 01	9113.0	8529.0	21082.0	19772.0	
1600301001 Alarcón sección 01001	9113.0	8529.0	21082.0	19772.0	
16004 Albaladejo del Cuende	10107.0	9579.0	20214.0	19508.0	
1600401 Albaladejo del Cuende distrito 01	10107.0	9579.0	20214.0	19508.0	
1600401001 Albaladejo del Cuende sección 01001	10107.0	9579.0	20214.0	19508.0	
16005 Albalate de las Nogueras	9887.0	9335.0	20216.0	19158.0	
1600501 Albalate de las Nogueras distrito 01	9887.0	9335.0	20216.0	19158.0	
1600501001 Albalate de las Nogueras sección 01001	9887.0	9335.0	20216.0	19158.0	
16006 Albendea	9276.0	8512.0	18825.0	17406.0	
1600601 Albendea distrito 01	9276.0	8512.0	18825.0	17406.0	
1600601001 Albendea sección 01001	9276.0	8512.0	18825.0	17406.0	
16007 Alberca de Záncara, La	8279.0	7576.0	22488.0	20223.0	
1600701 Alberca de Záncara, La distrito 01	8279.0	7576.0	22488.0	20223.0	
1600701001 Alberca de Záncara, La sección 01001	7297.0	6805.0	19193.0	17591.0	
1600701002 Alberca de Záncara, La sección 01002	9119.0	8257.0	25488.0	22700.0	
16008 Alcalá de la Vega	.	8840.0	.	17179.0	
1600801 Alcalá de la Vega distrito 01	.	8840.0	.	17179.0	
1600801001 Alcalá de la Vega sección 01001	.	8840.0	.	17179.0	
16009 Alcantud	.	.	.	.	
1600901 Alcantud distrito 01	.	.	.	.	
1600901001 Alcantud sección 01001	.	.	.	.	
16010 Alcázar del Rey	10545.0	10024.0	23434.0	23300.0	
1601001 Alcázar del Rey distrito 01	10545.0	10024.0	23434.0	23300.0	
1601001001 Alcázar del Rey sección 01001	10545.0	10024.0	23434.0	23300.0	
16011 Alcohujate	.	.	.	.	
1601101 Alcohujate distrito 01	.	.	.	.	
1601101001 Alcohujate sección 01001	.	.	.	.	
16012 Alconchel de la Estrella	6532.0	6300.0	15708.0	14560.0	
1601201 Alconchel de la Estrella distrito 01	6532.0	6300.0	15708.0	14560.0	
