Atlas de Distribución de Renta de los Hogares
Gipuzkoa
Indicadores de renta media
Unidades: Euros
	Renta media por persona 	Renta media por hogar	
	2016	2016	
20001 Abaltzisketa	14209.0	42626.0	
2000101 Abaltzisketa distrito 01	14209.0	42626.0	
2000101001 Abaltzisketa sección 01001	14209.0	42626.0	
20002 Aduna	15485.0	41765.0	
2000201 Aduna distrito 01	15485.0	41765.0	
2000201001 Aduna sección 01001	15485.0	41765.0	
20016 Aia	13196.0	33055.0	
2001601 Aia distrito 01	13196.0	33055.0	
2001601001 Aia sección 01001	12708.0	31136.0	
2001601002 Aia sección 01002	13802.0	35557.0	
20003 Aizarnazabal	12996.0	35171.0	
2000301 Aizarnazabal distrito 01	12996.0	35171.0	
2000301001 Aizarnazabal sección 01001	12996.0	35171.0	
20004 Albiztur	16226.0	42911.0	
2000401 Albiztur distrito 01	16226.0	42911.0	
2000401001 Albiztur sección 01001	16226.0	42911.0	
20005 Alegia	12678.0	32570.0	
2000501 Alegia distrito 01	12678.0	32570.0	
2000501001 Alegia sección 01001	12678.0	32570.0	
20006 Alkiza	13245.0	36276.0	
2000601 Alkiza distrito 01	13245.0	36276.0	
2000601001 Alkiza sección 01001	13245.0	36276.0	
20906 Altzaga	13192.0	37376.0	
2090601 Altzaga distrito 01	13192.0	37376.0	
2090601001 Altzaga sección 01001	13192.0	37376.0	
20007 Altzo	14241.0	37078.0	
2000701 Altzo distrito 01	14241.0	37078.0	
2000701001 Altzo sección 01001	14241.0	37078.0	
20008 Amezketa	14755.0	38363.0	
2000801 Amezketa distrito 01	14755.0	38363.0	
2000801001 Amezketa sección 01001	14755.0	38363.0	
20009 Andoain	13503.0	28637.0	
2000901 Andoain distrito 01	13503.0	28637.0	
2000901001 Andoain sección 01001	13630.0	28727.0	
2000901002 Andoain sección 01002	13920.0	31099.0	
2000901003 Andoain sección 01003	12916.0	32737.0	
2000901004 Andoain sección 01004	13675.0	27951.0	
2000901005 Andoain sección 01005	13095.0	25537.0	
2000901006 Andoain sección 01006	12208.0	23393.0	
2000901007 Andoain sección 01007	13657.0	25654.0	
2000901008 Andoain sección 01008	14814.0	35241.0	
2000901009 Andoain sección 01009	14051.0	28694.0	
2000901010 Andoain sección 01010	13281.0	24826.0	
2000901011 Andoain sección 01011	13402.0	29822.0	
20010 Anoeta	13355.0	33855.0	
2001001 Anoeta distrito 01	13355.0	33855.0	
2001001001 Anoeta sección 01001	13355.0	33855.0	
20011 Antzuola	16832.0	36279.0	
2001101 Antzuola distrito 01	16832.0	36279.0	
2001101001 Antzuola sección 01001	16832.0	36279.0	
20012 Arama	18643.0	55405.0	
2001201 Arama distrito 01	18643.0	55405.0	
2001201001 Arama sección 01001	18643.0	55405.0	
20013 Aretxabaleta	17059.0	40694.0	
2001301 Aretxabaleta distrito 01	17059.0	40694.0	
2001301001 Aretxabaleta sección 01001	15663.0	35602.0	
2001301002 Aretxabaleta sección 01002	17845.0	40901.0	
2001301003 Aretxabaleta sección 01003	16742.0	40533.0	
2001301004 Aretxabaleta sección 01004	17825.0	45984.0	
20055 Arrasate/Mondragón	16385.0	37379.0	
2005501 Arrasate/Mondragón distrito 01	17822.0	40306.0	
2005501001 Arrasate/Mondragón sección 01001	15879.0	35206.0	
2005501002 Arrasate/Mondragón sección 01002	17226.0	38519.0	
2005501003 Arrasate/Mondragón sección 01003	17353.0	37638.0	
2005501004 Arrasate/Mondragón sección 01004	18556.0	46093.0	
