Atlas de Distribución de Renta de los Hogares
Girona
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
17001 Agullana	12706.0	12731.0	32493.0	32034.0	
1700101 Agullana distrito 01	12706.0	12731.0	32493.0	32034.0	
1700101001 Agullana sección 01001	12706.0	12731.0	32493.0	32034.0	
17002 Aiguaviva	14676.0	14707.0	49579.0	49025.0	
1700201 Aiguaviva distrito 01	14676.0	14707.0	49579.0	49025.0	
1700201001 Aiguaviva sección 01001	14676.0	14707.0	49579.0	49025.0	
17003 Albanyà	9332.0	9115.0	24263.0	23906.0	
1700301 Albanyà distrito 01	9332.0	9115.0	24263.0	23906.0	
1700301001 Albanyà sección 01001	9332.0	9115.0	24263.0	23906.0	
17004 Albons	11556.0	11128.0	32528.0	31110.0	
1700401 Albons distrito 01	11556.0	11128.0	32528.0	31110.0	
1700401001 Albons sección 01001	11556.0	11128.0	32528.0	31110.0	
17006 Alp	14205.0	13409.0	33873.0	32387.0	
1700601 Alp distrito 01	14205.0	13409.0	33873.0	32387.0	
1700601001 Alp sección 01001	14205.0	13409.0	33873.0	32387.0	
17007 Amer	13083.0	12811.0	34139.0	33243.0	
1700701 Amer distrito 01	13083.0	12811.0	34139.0	33243.0	
1700701001 Amer sección 01001	13083.0	12811.0	34139.0	33243.0	
17008 Anglès	10953.0	10697.0	30032.0	29466.0	
1700801 Anglès distrito 01	10953.0	10697.0	30032.0	29466.0	
1700801001 Anglès sección 01001	9761.0	9541.0	27956.0	27277.0	
1700801002 Anglès sección 01002	11127.0	10884.0	30227.0	29649.0	
1700801003 Anglès sección 01003	11711.0	11397.0	31402.0	30957.0	
17009 Arbúcies	10666.0	10296.0	29251.0	28242.0	
1700901 Arbúcies distrito 01	10176.0	9764.0	27578.0	26383.0	
1700901001 Arbúcies sección 01001	9761.0	9310.0	26416.0	25012.0	
1700901002 Arbúcies sección 01002	10659.0	10294.0	28935.0	28002.0	
1700902 Arbúcies distrito 02	12602.0	12374.0	36266.0	36070.0	
1700902001 Arbúcies sección 02001	12602.0	12374.0	36266.0	36070.0	
17010 Argelaguer	12280.0	12017.0	30234.0	28854.0	
1701001 Argelaguer distrito 01	12280.0	12017.0	30234.0	28854.0	
1701001001 Argelaguer sección 01001	12280.0	12017.0	30234.0	28854.0	
17011 Armentera, L'	12520.0	12346.0	32379.0	30933.0	
1701101 Armentera, L' distrito 01	12520.0	12346.0	32379.0	30933.0	
1701101001 Armentera, L' sección 01001	12520.0	12346.0	32379.0	30933.0	
17012 Avinyonet de Puigventós	12124.0	11680.0	38068.0	36978.0	
1701201 Avinyonet de Puigventós distrito 01	12124.0	11680.0	38068.0	36978.0	
1701201001 Avinyonet de Puigventós sección 01001	12124.0	11680.0	38068.0	36978.0	
17015 Banyoles	12083.0	11831.0	33081.0	32001.0	
1701501 Banyoles distrito 01	11304.0	11135.0	29542.0	28942.0	
1701501001 Banyoles sección 01001	11464.0	11276.0	30197.0	29506.0	
1701501002 Banyoles sección 01002	12082.0	12081.0	30393.0	30325.0	
1701501003 Banyoles sección 01003	11241.0	11192.0	28304.0	27940.0	
1701501004 Banyoles sección 01004	10112.0	10019.0	27141.0	26486.0	
1701501005 Banyoles sección 01005	12485.0	11946.0	33213.0	32158.0	
1701502 Banyoles distrito 02	14255.0	13963.0	38432.0	37195.0	
1701502001 Banyoles sección 02001	15458.0	15299.0	43425.0	42431.0	
1701502002 Banyoles sección 02002	14132.0	14123.0	35699.0	35214.0	
1701502003 Banyoles sección 02003	13948.0	13364.0	35384.0	33364.0	
1701502004 Banyoles sección 02004	11889.0	11258.0	35746.0	33212.0	
1701502005 Banyoles sección 02005	14897.0	14788.0	41649.0	41311.0	
1701503 Banyoles distrito 03	9865.0	9537.0	30449.0	28693.0	
1701503001 Banyoles sección 03001	12140.0	11859.0	32305.0	30853.0	
1701503002 Banyoles sección 03002	8020.0	7642.0	28442.0	26357.0	
17016 Bàscara	11664.0	11036.0	31063.0	29000.0	
1701601 Bàscara distrito 01	11664.0	11036.0	31063.0	29000.0	
1701601001 Bàscara sección 01001	11664.0	11036.0	31063.0	29000.0	
17013 Begur	12241.0	12062.0	30438.0	29825.0	
1701301 Begur distrito 01	12241.0	12062.0	30438.0	29825.0	
1701301001 Begur sección 01001	12391.0	12107.0	30608.0	29801.0	
1701301002 Begur sección 01002	11975.0	11802.0	32667.0	32518.0	
1701301003 Begur sección 01003	12193.0	12162.0	28947.0	28392.0	
17018 Bellcaire d'Empordà	11721.0	11853.0	29370.0	29610.0	
1701801 Bellcaire d'Empordà distrito 01	11721.0	11853.0	29370.0	29610.0	
1701801001 Bellcaire d'Empordà sección 01001	11721.0	11853.0	29370.0	29610.0	
17019 Besalú	12558.0	12400.0	31807.0	31516.0	
1701901 Besalú distrito 01	12558.0	12400.0	31807.0	31516.0	
1701901001 Besalú sección 01001	12558.0	12400.0	31807.0	31516.0	
17020 Bescanó	13119.0	12808.0	37470.0	36327.0	
1702001 Bescanó distrito 01	13119.0	12808.0	37470.0	36327.0	
1702001001 Bescanó sección 01001	12964.0	12880.0	36457.0	35699.0	
1702001002 Bescanó sección 01002	14139.0	13530.0	42823.0	40626.0	
1702001003 Bescanó sección 01003	12670.0	12349.0	35509.0	34636.0	
17021 Beuda	10394.0	10586.0	30532.0	31277.0	
1702101 Beuda distrito 01	10394.0	10586.0	30532.0	31277.0	
1702101001 Beuda sección 01001	10394.0	10586.0	30532.0	31277.0	
17022 Bisbal d'Empordà, La	9944.0	9725.0	26782.0	26353.0	
1702201 Bisbal d'Empordà, La distrito 01	10672.0	10471.0	28241.0	27728.0	
1702201002 Bisbal d'Empordà, La sección 01002	10324.0	10190.0	27141.0	26641.0	
1702201003 Bisbal d'Empordà, La sección 01003	10138.0	9861.0	25645.0	25045.0	
1702201004 Bisbal d'Empordà, La sección 01004	11523.0	11337.0	32230.0	31756.0	
1702202 Bisbal d'Empordà, La distrito 02	9112.0	8873.0	25050.0	24705.0	
1702202001 Bisbal d'Empordà, La sección 02001	9226.0	9016.0	25236.0	24837.0	
1702202002 Bisbal d'Empordà, La sección 02002	9054.0	8632.0	24591.0	24184.0	
1702202003 Bisbal d'Empordà, La sección 02003	8970.0	8898.0	25261.0	25089.0	
17234 Biure	11015.0	11591.0	26702.0	27163.0	
1723401 Biure distrito 01	11015.0	11591.0	26702.0	27163.0	
1723401001 Biure sección 01001	11015.0	11591.0	26702.0	27163.0	
17023 Blanes	10628.0	10230.0	26823.0	26015.0	
1702301 Blanes distrito 01	13026.0	12648.0	28159.0	27760.0	
1702301001 Blanes sección 01001	15808.0	15806.0	31413.0	31974.0	
1702301002 Blanes sección 01002	13726.0	13436.0	28822.0	28809.0	
1702301004 Blanes sección 01004	10984.0	10629.0	24476.0	24239.0	
1702301006 Blanes sección 01006	10522.0	10225.0	21887.0	21358.0	
1702301007 Blanes sección 01007	16817.0	15803.0	43980.0	41834.0	
1702302 Blanes distrito 02	10195.0	9763.0	26748.0	25752.0	
1702302001 Blanes sección 02001	11387.0	10818.0	26612.0	25342.0	
1702302002 Blanes sección 02002	9641.0	9645.0	23478.0	23234.0	
1702302003 Blanes sección 02003	8995.0	8465.0	23757.0	22730.0	
1702302004 Blanes sección 02004	10002.0	9686.0	24726.0	24515.0	
1702302005 Blanes sección 02005	10309.0	9791.0	29263.0	27405.0	
1702302006 Blanes sección 02006	13311.0	12509.0	36424.0	35003.0	
1702302007 Blanes sección 02007	9115.0	8921.0	24679.0	23974.0	
1702302008 Blanes sección 02008	12757.0	12099.0	33086.0	31666.0	
1702302009 Blanes sección 02009	10632.0	9586.0	25653.0	23604.0	
1702302010 Blanes sección 02010	7997.0	7685.0	22188.0	21637.0	
1702302011 Blanes sección 02011	10730.0	10251.0	30801.0	29539.0	
1702302012 Blanes sección 02012	9717.0	9556.0	23504.0	22756.0	
1702302013 Blanes sección 02013	10454.0	10230.0	27681.0	27280.0	
1702303 Blanes distrito 03	9342.0	9058.0	25187.0	24484.0	
1702303001 Blanes sección 03001	9324.0	9030.0	24538.0	24070.0	
1702303002 Blanes sección 03002	8965.0	8827.0	23872.0	23315.0	
1702303003 Blanes sección 03003	9140.0	8873.0	25244.0	24445.0	
1702303004 Blanes sección 03004	9761.0	9382.0	26318.0	25463.0	
17029 Boadella i les Escaules	11932.0	11768.0	32873.0	31701.0	
1702901 Boadella i les Escaules distrito 01	11932.0	11768.0	32873.0	31701.0	
1702901001 Boadella i les Escaules sección 01001	11932.0	11768.0	32873.0	31701.0	
17024 Bolvir	15053.0	15538.0	34723.0	34300.0	
1702401 Bolvir distrito 01	15053.0	15538.0	34723.0	34300.0	
1702401001 Bolvir sección 01001	15053.0	15538.0	34723.0	34300.0	
17025 Bordils	13374.0	13013.0	37756.0	36400.0	
1702501 Bordils distrito 01	13374.0	13013.0	37756.0	36400.0	
1702501001 Bordils sección 01001	13374.0	13013.0	37756.0	36400.0	
17026 Borrassà	14379.0	15323.0	41977.0	44525.0	
1702601 Borrassà distrito 01	14379.0	15323.0	41977.0	44525.0	
1702601001 Borrassà sección 01001	14379.0	15323.0	41977.0	44525.0	
17027 Breda	11456.0	11211.0	29782.0	29187.0	
1702701 Breda distrito 01	11456.0	11211.0	29782.0	29187.0	
1702701001 Breda sección 01001	11071.0	10777.0	28450.0	27766.0	
1702701002 Breda sección 01002	11971.0	11791.0	31610.0	31140.0	
17028 Brunyola i Sant Martí Sapresa	14584.0	13834.0	41379.0	39798.0	
1702801 Brunyola distrito 01	14584.0	13834.0	41379.0	39798.0	
1702801001 Brunyola i Sant Martí Sapresa sección 01001	14584.0	13834.0	41379.0	39798.0	
17031 Cabanelles	9010.0	9115.0	26832.0	25726.0	
1703101 Cabanelles distrito 01	9010.0	9115.0	26832.0	25726.0	
1703101001 Cabanelles sección 01001	9010.0	9115.0	26832.0	25726.0	
17030 Cabanes	10483.0	10272.0	29615.0	29018.0	
1703001 Cabanes distrito 01	10483.0	10272.0	29615.0	29018.0	
1703001001 Cabanes sección 01001	10483.0	10272.0	29615.0	29018.0	
17032 Cadaqués	10593.0	10393.0	27032.0	26354.0	
1703201 Cadaqués distrito 01	10593.0	10393.0	27032.0	26354.0	
1703201001 Cadaqués sección 01001	10593.0	10393.0	27032.0	26354.0	
17033 Caldes de Malavella	11949.0	11648.0	33013.0	31990.0	
1703301 Caldes de Malavella distrito 01	11949.0	11648.0	33013.0	31990.0	
1703301001 Caldes de Malavella sección 01001	12462.0	12334.0	32709.0	32289.0	
1703301002 Caldes de Malavella sección 01002	11511.0	11126.0	32320.0	31286.0	
1703301003 Caldes de Malavella sección 01003	12618.0	12282.0	35212.0	33333.0	
1703301004 Caldes de Malavella sección 01004	11345.0	10970.0	32498.0	31380.0	
17034 Calonge i Sant Antoni	11689.0	11184.0	28722.0	27227.0	
1703401 Calonge distrito 01	11689.0	11184.0	28722.0	27227.0	
1703401001 Calonge i Sant Antoni sección 01001	9867.0	9786.0	26627.0	25961.0	
1703401002 Calonge i Sant Antoni sección 01002	11301.0	10720.0	23431.0	22171.0	
1703401003 Calonge i Sant Antoni sección 01003	14123.0	13079.0	34596.0	31806.0	
1703401004 Calonge i Sant Antoni sección 01004	10669.0	10260.0	28749.0	27267.0	
1703401005 Calonge i Sant Antoni sección 01005	13624.0	12981.0	31314.0	29690.0	
17035 Camós	13707.0	12900.0	41301.0	38873.0	
1703501 Camós distrito 01	13707.0	12900.0	41301.0	38873.0	
1703501001 Camós sección 01001	13707.0	12900.0	41301.0	38873.0	
17036 Campdevànol	13567.0	13255.0	32487.0	31902.0	
1703601 Campdevànol distrito 01	13567.0	13255.0	32487.0	31902.0	
1703601001 Campdevànol sección 01001	13497.0	13272.0	33362.0	33156.0	
1703601002 Campdevànol sección 01002	12454.0	12315.0	27625.0	27220.0	
1703601003 Campdevànol sección 01003	14893.0	14268.0	37084.0	35830.0	
17037 Campelles	15177.0	14722.0	34017.0	31856.0	
1703701 Campelles distrito 01	15177.0	14722.0	34017.0	31856.0	
1703701001 Campelles sección 01001	15177.0	14722.0	34017.0	31856.0	
17038 Campllong	13374.0	13241.0	44553.0	43851.0	
1703801 Campllong distrito 01	13374.0	13241.0	44553.0	43851.0	
1703801001 Campllong sección 01001	13374.0	13241.0	44553.0	43851.0	
17039 Camprodon	13484.0	13246.0	31602.0	30172.0	
1703901 Camprodon distrito 01	13484.0	13246.0	31602.0	30172.0	
1703901001 Camprodon sección 01001	14013.0	13469.0	32566.0	30391.0	
1703901002 Camprodon sección 01002	12539.0	12829.0	29836.0	29751.0	
17040 Canet d'Adri	15661.0	15093.0	45613.0	44069.0	
1704001 Canet d'Adri distrito 01	15661.0	15093.0	45613.0	44069.0	
1704001001 Canet d'Adri sección 01001	15661.0	15093.0	45613.0	44069.0	
17041 Cantallops	10863.0	10379.0	29698.0	27970.0	
1704101 Cantallops distrito 01	10863.0	10379.0	29698.0	27970.0	
1704101001 Cantallops sección 01001	10863.0	10379.0	29698.0	27970.0	
17042 Capmany	11756.0	11212.0	30748.0	28539.0	
1704201 Capmany distrito 01	11756.0	11212.0	30748.0	28539.0	
1704201001 Capmany sección 01001	11756.0	11212.0	30748.0	28539.0	
