Atlas de Distribución de Renta de los Hogares
Granada
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
18001 Agrón	8113.0	8360.0	17848.0	19156.0	
1800101 Agrón distrito 01	8113.0	8360.0	17848.0	19156.0	
1800101001 Agrón sección 01001	8113.0	8360.0	17848.0	19156.0	
18002 Alamedilla	8338.0	8006.0	17524.0	17407.0	
1800201 Alamedilla distrito 01	8338.0	8006.0	17524.0	17407.0	
1800201001 Alamedilla sección 01001	8338.0	8006.0	17524.0	17407.0	
18003 Albolote	9317.0	9044.0	26875.0	26159.0	
1800301 Albolote distrito 01	9317.0	9044.0	26875.0	26159.0	
1800301001 Albolote sección 01001	8416.0	8138.0	25049.0	24069.0	
1800301002 Albolote sección 01002	8020.0	8014.0	22531.0	22784.0	
1800301003 Albolote sección 01003	13705.0	13197.0	40109.0	37577.0	
1800301004 Albolote sección 01004	8737.0	8507.0	24891.0	24561.0	
1800301005 Albolote sección 01005	7736.0	7755.0	21760.0	22009.0	
1800301006 Albolote sección 01006	8164.0	7963.0	23947.0	23422.0	
1800301007 Albolote sección 01007	9630.0	9427.0	25635.0	25350.0	
1800301008 Albolote sección 01008	8232.0	7947.0	23748.0	23398.0	
1800301009 Albolote sección 01009	8280.0	8044.0	25532.0	24874.0	
1800301010 Albolote sección 01010	10200.0	9719.0	30442.0	29052.0	
18004 Albondón	7457.0	7558.0	16487.0	16849.0	
1800401 Albondón distrito 01	7457.0	7558.0	16487.0	16849.0	
1800401001 Albondón sección 01001	7457.0	7558.0	16487.0	16849.0	
18005 Albuñán	9861.0	9702.0	20062.0	20237.0	
1800501 Albuñán distrito 01	9861.0	9702.0	20062.0	20237.0	
1800501001 Albuñán sección 01001	9861.0	9702.0	20062.0	20237.0	
18006 Albuñol	5772.0	5789.0	16892.0	16758.0	
1800601 Albuñol distrito 01	6004.0	5990.0	16954.0	16691.0	
1800601001 Albuñol sección 01001	6116.0	6175.0	16951.0	16691.0	
1800601002 Albuñol sección 01002	5891.0	5811.0	16956.0	16692.0	
1800602 Albuñol distrito 02	5405.0	5469.0	16785.0	16875.0	
1800602001 Albuñol sección 02001	5405.0	5469.0	16785.0	16875.0	
18007 Albuñuelas	8270.0	8601.0	17776.0	18914.0	
1800701 Albuñuelas distrito 01	8270.0	8601.0	17776.0	18914.0	
1800701001 Albuñuelas sección 01001	8270.0	8601.0	17776.0	18914.0	
18010 Aldeire	8585.0	8785.0	18595.0	19212.0	
1801001 Aldeire distrito 01	8585.0	8785.0	18595.0	19212.0	
1801001001 Aldeire sección 01001	8585.0	8785.0	18595.0	19212.0	
18011 Alfacar	8690.0	8368.0	23867.0	23126.0	
1801101 Alfacar distrito 01	8690.0	8368.0	23867.0	23126.0	
1801101001 Alfacar sección 01001	8848.0	8582.0	23259.0	22457.0	
1801101002 Alfacar sección 01002	7893.0	7673.0	21705.0	21375.0	
1801101003 Alfacar sección 01003	9036.0	8582.0	25599.0	24479.0	
1801101004 Alfacar sección 01004	9491.0	9129.0	26361.0	25585.0	
18012 Algarinejo	7955.0	7815.0	16738.0	16465.0	
1801201 Algarinejo distrito 01	7955.0	7815.0	16738.0	16465.0	
1801201001 Algarinejo sección 01001	7666.0	7547.0	16705.0	16524.0	
1801201002 Algarinejo sección 01002	8888.0	8882.0	19236.0	19408.0	
1801201003 Algarinejo sección 01003	7677.0	7297.0	15565.0	15458.0	
1801201004 Algarinejo sección 01004	""	7642.0	""	14642.0	
18013 Alhama de Granada	7233.0	7172.0	19270.0	19114.0	
1801301 Alhama de Granada distrito 01	7233.0	7172.0	19270.0	19114.0	
1801301001 Alhama de Granada sección 01001	6424.0	6305.0	15440.0	15271.0	
1801301002 Alhama de Granada sección 01002	8447.0	8415.0	21854.0	21980.0	
1801301003 Alhama de Granada sección 01003	7120.0	7402.0	19442.0	19724.0	
1801301004 Alhama de Granada sección 01004	7497.0	7372.0	20602.0	20231.0	
1801301005 Alhama de Granada sección 01005	6524.0	6360.0	17840.0	17538.0	
18014 Alhendín	8753.0	8490.0	23142.0	22446.0	
1801401 Alhendín distrito 01	8753.0	8490.0	23142.0	22446.0	
1801401001 Alhendín sección 01001	8242.0	7912.0	22489.0	21721.0	
1801401002 Alhendín sección 01002	7469.0	7356.0	19821.0	19542.0	
1801401003 Alhendín sección 01003	9212.0	8872.0	26981.0	25772.0	
1801401004 Alhendín sección 01004	9506.0	9304.0	22577.0	22123.0	
18015 Alicún de Ortega	6897.0	6599.0	18100.0	17689.0	
1801501 Alicún de Ortega distrito 01	6897.0	6599.0	18100.0	17689.0	
1801501001 Alicún de Ortega sección 01001	6897.0	6599.0	18100.0	17689.0	
18016 Almegíjar	9123.0	9782.0	17733.0	19783.0	
1801601 Almegíjar distrito 01	9123.0	9782.0	17733.0	19783.0	
1801601001 Almegíjar sección 01001	9123.0	9782.0	17733.0	19783.0	
18017 Almuñécar	7360.0	7243.0	19820.0	19308.0	
1801701 Almuñécar distrito 01	7481.0	7383.0	20342.0	19864.0	
1801701001 Almuñécar sección 01001	7302.0	7263.0	20219.0	20218.0	
1801701002 Almuñécar sección 01002	6874.0	6869.0	18075.0	18078.0	
1801701003 Almuñécar sección 01003	5923.0	5815.0	16577.0	16548.0	
1801701004 Almuñécar sección 01004	6792.0	6520.0	20555.0	19634.0	
1801701005 Almuñécar sección 01005	7807.0	8074.0	22549.0	22926.0	
1801701006 Almuñécar sección 01006	9203.0	8679.0	21180.0	19896.0	
1801701007 Almuñécar sección 01007	8302.0	7978.0	22834.0	22075.0	
1801701008 Almuñécar sección 01008	6321.0	6177.0	18456.0	18161.0	
1801701009 Almuñécar sección 01009	6843.0	6926.0	19334.0	18965.0	
1801701010 Almuñécar sección 01010	8186.0	8300.0	20612.0	20152.0	
1801701011 Almuñécar sección 01011	8214.0	7945.0	20464.0	19181.0	
1801701012 Almuñécar sección 01012	9121.0	8866.0	22949.0	22123.0	
1801702 Almuñécar distrito 02	7164.0	6942.0	18566.0	17754.0	
1801702001 Almuñécar sección 02001	7633.0	7182.0	19036.0	17546.0	
1801702002 Almuñécar sección 02002	6826.0	6768.0	18204.0	17917.0	
1801703 Almuñécar distrito 03	6026.0	5942.0	15712.0	15513.0	
1801703001 Almuñécar sección 03001	6026.0	5942.0	15712.0	15513.0	
18904 Alpujarra de la Sierra	7041.0	7455.0	17049.0	17344.0	
1890401 Alpujarra de la Sierra distrito 01	7041.0	7455.0	17049.0	17344.0	
1890401001 Alpujarra de la Sierra sección 01001	7041.0	7455.0	17049.0	17344.0	
18018 Alquife	9450.0	9372.0	23625.0	23911.0	
1801801 Alquife distrito 01	9450.0	9372.0	23625.0	23911.0	
1801801001 Alquife sección 01001	9450.0	9372.0	23625.0	23911.0	
18020 Arenas del Rey	7762.0	7744.0	18480.0	18129.0	
1802001 Arenas del Rey distrito 01	7762.0	7744.0	18480.0	18129.0	
1802001001 Arenas del Rey sección 01001	7586.0	7637.0	18665.0	18092.0	
1802001002 Arenas del Rey sección 01002	7969.0	7863.0	18276.0	18168.0	
18021 Armilla	8891.0	8679.0	25128.0	24565.0	
1802101 Armilla distrito 01	8891.0	8679.0	25128.0	24565.0	
