Atlas de Distribución de Renta de los Hogares
Guadalajara
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
19001 Abánades	.	.	.	.	
1900101 Abánades distrito 01	.	.	.	.	
1900101001 Abánades sección 01001	.	.	.	.	
19002 Ablanque	.	.	.	.	
1900201 Ablanque distrito 01	.	.	.	.	
1900201001 Ablanque sección 01001	.	.	.	.	
19003 Adobes	.	.	.	.	
1900301 Adobes distrito 01	.	.	.	.	
1900301001 Adobes sección 01001	.	.	.	.	
19004 Alaminos	.	.	.	.	
1900401 Alaminos distrito 01	.	.	.	.	
1900401001 Alaminos sección 01001	.	.	.	.	
19005 Alarilla	9569.0	9156.0	20401.0	19029.0	
1900501 Alarilla distrito 01	9569.0	9156.0	20401.0	19029.0	
1900501001 Alarilla sección 01001	9569.0	9156.0	20401.0	19029.0	
19006 Albalate de Zorita	10663.0	10634.0	22144.0	21665.0	
1900601 Albalate de Zorita distrito 01	10663.0	10634.0	22144.0	21665.0	
1900601001 Albalate de Zorita sección 01001	10663.0	10634.0	22144.0	21665.0	
19007 Albares	10149.0	10037.0	23374.0	23481.0	
1900701 Albares distrito 01	10149.0	10037.0	23374.0	23481.0	
1900701001 Albares sección 01001	10149.0	10037.0	23374.0	23481.0	
19008 Albendiego	.	.	.	.	
1900801 Albendiego distrito 01	.	.	.	.	
1900801001 Albendiego sección 01001	.	.	.	.	
19009 Alcocer	9243.0	9445.0	18023.0	18596.0	
1900901 Alcocer distrito 01	9243.0	9445.0	18023.0	18596.0	
1900901001 Alcocer sección 01001	9243.0	9445.0	18023.0	18596.0	
19010 Alcolea de las Peñas	.	.	.	.	
1901001 Alcolea de las Peñas distrito 01	.	.	.	.	
1901001001 Alcolea de las Peñas sección 01001	.	.	.	.	
19011 Alcolea del Pinar	10010.0	10255.0	23171.0	23833.0	
1901101 Alcolea del Pinar distrito 01	10010.0	10255.0	23171.0	23833.0	
1901101001 Alcolea del Pinar sección 01001	10010.0	10255.0	23171.0	23833.0	
19013 Alcoroches	10707.0	11116.0	23198.0	24382.0	
1901301 Alcoroches distrito 01	10707.0	11116.0	23198.0	24382.0	
1901301001 Alcoroches sección 01001	10707.0	11116.0	23198.0	24382.0	
