Atlas de Distribución de Renta de los Hogares
Huelva
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
21001 Alájar	6673.0	6067.0	15646.0	14729.0	
2100101 Alájar distrito 01	6673.0	6067.0	15646.0	14729.0	
2100101001 Alájar sección 01001	6673.0	6067.0	15646.0	14729.0	
21002 Aljaraque	11003.0	10749.0	33048.0	32385.0	
2100201 Aljaraque distrito 01	9079.0	8826.0	26732.0	26163.0	
2100201001 Aljaraque sección 01001	9080.0	9284.0	23834.0	24290.0	
2100201002 Aljaraque sección 01002	7006.0	6809.0	19455.0	19185.0	
2100201003 Aljaraque sección 01003	9680.0	9264.0	27733.0	26789.0	
2100201004 Aljaraque sección 01004	9643.0	9352.0	28417.0	27701.0	
2100201005 Aljaraque sección 01005	9668.0	9502.0	31908.0	31258.0	
2100201006 Aljaraque sección 01006	9878.0	9219.0	30471.0	28894.0	
2100202 Aljaraque distrito 02	13211.0	12984.0	40618.0	39875.0	
2100202001 Aljaraque sección 02001	11145.0	10850.0	34386.0	33532.0	
2100202002 Aljaraque sección 02002	13630.0	12980.0	43072.0	40825.0	
2100202003 Aljaraque sección 02003	15760.0	15731.0	49175.0	50596.0	
2100202004 Aljaraque sección 02004	17326.0	16935.0	57005.0	54968.0	
2100202005 Aljaraque sección 02005	9333.0	9502.0	25809.0	25870.0	
21003 Almendro, El	8300.0	7906.0	19215.0	18344.0	
2100301 Almendro, El distrito 01	8300.0	7906.0	19215.0	18344.0	
2100301001 Almendro, El sección 01001	8300.0	7906.0	19215.0	18344.0	
21004 Almonaster la Real	9373.0	8769.0	21207.0	20169.0	
2100401 Almonaster la Real distrito 01	9073.0	8448.0	21190.0	19977.0	
2100401001 Almonaster la Real sección 01001	9073.0	8448.0	21190.0	19977.0	
2100402 Almonaster la Real distrito 02	9787.0	9215.0	21228.0	20419.0	
2100402001 Almonaster la Real sección 02001	9787.0	9215.0	21228.0	20419.0	
21005 Almonte	7455.0	7250.0	20885.0	20270.0	
2100501 Almonte distrito 01	7675.0	7388.0	22557.0	21716.0	
2100501001 Almonte sección 01001	8072.0	7705.0	23750.0	22782.0	
2100501002 Almonte sección 01002	6651.0	6328.0	19579.0	18761.0	
2100501003 Almonte sección 01003	8624.0	8286.0	25461.0	24501.0	
2100501004 Almonte sección 01004	7143.0	6964.0	20878.0	20163.0	
2100502 Almonte distrito 02	7717.0	7476.0	22343.0	21734.0	
2100502001 Almonte sección 02001	7673.0	7228.0	22364.0	21879.0	
2100502002 Almonte sección 02002	7635.0	7545.0	21682.0	21143.0	
2100502003 Almonte sección 02003	7812.0	7545.0	22919.0	22206.0	
2100503 Almonte distrito 03	7212.0	7072.0	19359.0	18876.0	
2100503001 Almonte sección 03001	6520.0	6403.0	19681.0	19155.0	
2100503002 Almonte sección 03002	6780.0	6618.0	19402.0	18766.0	
2100503003 Almonte sección 03003	8214.0	8173.0	18226.0	18161.0	
2100503004 Almonte sección 03004	7073.0	6905.0	21649.0	20994.0	
2100503005 Almonte sección 03005	8820.0	8713.0	19736.0	19401.0	
2100503006 Almonte sección 03006	5613.0	5424.0	17938.0	17111.0	
21006 Alosno	7807.0	7560.0	18385.0	18072.0	
2100601 Alosno distrito 01	7826.0	7558.0	18792.0	18451.0	
2100601001 Alosno sección 01001	7905.0	7735.0	19141.0	18955.0	
2100601002 Alosno sección 01002	7762.0	7417.0	18516.0	18053.0	
2100602 Alosno distrito 02	7784.0	7563.0	17900.0	17624.0	
2100602001 Alosno sección 02001	8058.0	7837.0	17080.0	16766.0	
2100602002 Alosno sección 02002	7574.0	7352.0	18633.0	18398.0	
21007 Aracena	8381.0	7986.0	21496.0	20473.0	
2100701 Aracena distrito 01	7151.0	7000.0	18372.0	17948.0	
2100701001 Aracena sección 01001	7312.0	7137.0	19232.0	18767.0	
2100701002 Aracena sección 01002	6863.0	6751.0	16922.0	16564.0	
2100702 Aracena distrito 02	8115.0	8058.0	18667.0	18665.0	
2100702001 Aracena sección 02001	8115.0	8058.0	18667.0	18665.0	
2100703 Aracena distrito 03	8906.0	8375.0	23135.0	21736.0	
2100703001 Aracena sección 03001	9165.0	8633.0	23151.0	22134.0	
2100703002 Aracena sección 03002	9895.0	8459.0	25135.0	20965.0	
2100703003 Aracena sección 03003	8083.0	8046.0	21569.0	21256.0	
2100703004 Aracena sección 03004	8686.0	8399.0	22932.0	22512.0	
21008 Aroche	7116.0	6765.0	16765.0	16319.0	
2100801 Aroche distrito 01	7629.0	7279.0	17408.0	16813.0	
2100801001 Aroche sección 01001	7629.0	7279.0	17408.0	16813.0	
2100802 Aroche distrito 02	6655.0	6368.0	16293.0	16161.0	
2100802001 Aroche sección 02001	6655.0	6368.0	16293.0	16161.0	
2100803 Aroche distrito 03	7203.0	6721.0	16627.0	15851.0	
2100803001 Aroche sección 03001	7203.0	6721.0	16627.0	15851.0	
21009 Arroyomolinos de León	6373.0	6180.0	14487.0	14261.0	
