Atlas de Distribución de Renta de los Hogares
Huesca
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
22001 Abiego	11932.0	11610.0	28453.0	26554.0	
2200101 Abiego distrito 01	11932.0	11610.0	28453.0	26554.0	
2200101001 Abiego sección 01001	11932.0	11610.0	28453.0	26554.0	
22002 Abizanda	12061.0	12675.0	28080.0	29797.0	
2200201 Abizanda distrito 01	12061.0	12675.0	28080.0	29797.0	
2200201001 Abizanda sección 01001	12061.0	12675.0	28080.0	29797.0	
22003 Adahuesca	12396.0	11836.0	32118.0	32900.0	
2200301 Adahuesca distrito 01	12396.0	11836.0	32118.0	32900.0	
2200301001 Adahuesca sección 01001	12396.0	11836.0	32118.0	32900.0	
22004 Agüero	13143.0	12301.0	24688.0	22526.0	
2200401 Agüero distrito 01	13143.0	12301.0	24688.0	22526.0	
2200401001 Agüero sección 01001	13143.0	12301.0	24688.0	22526.0	
22907 Aínsa-Sobrarbe	11038.0	10824.0	29241.0	28017.0	
2290701 Aínsa-Sobrarbe distrito 01	11038.0	10824.0	29241.0	28017.0	
2290701001 Aínsa-Sobrarbe sección 01001	11038.0	10824.0	29241.0	28017.0	
22006 Aisa	13260.0	12787.0	32555.0	31054.0	
2200601 Aisa distrito 01	13260.0	12787.0	32555.0	31054.0	
2200601001 Aisa sección 01001	13260.0	12787.0	32555.0	31054.0	
22007 Albalate de Cinca	9425.0	9476.0	26988.0	25663.0	
2200701 Albalate de Cinca distrito 01	9425.0	9476.0	26988.0	25663.0	
2200701001 Albalate de Cinca sección 01001	9425.0	9476.0	26988.0	25663.0	
22008 Albalatillo	10408.0	10220.0	26629.0	25166.0	
2200801 Albalatillo distrito 01	10408.0	10220.0	26629.0	25166.0	
2200801001 Albalatillo sección 01001	10408.0	10220.0	26629.0	25166.0	
22009 Albelda	10216.0	9708.0	22930.0	21962.0	
2200901 Albelda distrito 01	10216.0	9708.0	22930.0	21962.0	
2200901001 Albelda sección 01001	10216.0	9708.0	22930.0	21962.0	
22011 Albero Alto	15057.0	13734.0	38814.0	35583.0	
2201101 Albero Alto distrito 01	15057.0	13734.0	38814.0	35583.0	
2201101001 Albero Alto sección 01001	15057.0	13734.0	38814.0	35583.0	
22012 Albero Bajo	11668.0	11415.0	30601.0	29171.0	
2201201 Albero Bajo distrito 01	11668.0	11415.0	30601.0	29171.0	
2201201001 Albero Bajo sección 01001	11668.0	11415.0	30601.0	29171.0	
22013 Alberuela de Tubo	11230.0	11280.0	28585.0	29634.0	
2201301 Alberuela de Tubo distrito 01	11230.0	11280.0	28585.0	29634.0	
2201301001 Alberuela de Tubo sección 01001	11230.0	11280.0	28585.0	29634.0	
22014 Alcalá de Gurrea	13404.0	12611.0	30818.0	27850.0	
2201401 Alcalá de Gurrea distrito 01	13404.0	12611.0	30818.0	27850.0	
