Atlas de Distribución de Renta de los Hogares
Jaén
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
23001 Albanchez de Mágina	8175.0	7857.0	16995.0	16198.0	
2300101 Albanchez de Mágina distrito 01	8175.0	7857.0	16995.0	16198.0	
2300101001 Albanchez de Mágina sección 01001	8175.0	7857.0	16995.0	16198.0	
23002 Alcalá la Real	8633.0	8373.0	22171.0	21502.0	
2300201 Alcalá la Real distrito 01	7887.0	7749.0	20384.0	19857.0	
2300201001 Alcalá la Real sección 01001	7068.0	6824.0	19682.0	18563.0	
2300201002 Alcalá la Real sección 01002	9254.0	9181.0	22496.0	22159.0	
2300201003 Alcalá la Real sección 01003	7527.0	7393.0	19253.0	18967.0	
2300202 Alcalá la Real distrito 02	7591.0	7384.0	19189.0	18571.0	
2300202001 Alcalá la Real sección 02001	8096.0	7974.0	19853.0	18963.0	
2300202002 Alcalá la Real sección 02002	7748.0	7690.0	20075.0	19854.0	
2300202004 Alcalá la Real sección 02004	7108.0	6716.0	17852.0	17017.0	
2300203 Alcalá la Real distrito 03	9124.0	8875.0	22803.0	22358.0	
2300203001 Alcalá la Real sección 03001	8321.0	7988.0	20349.0	20079.0	
2300203002 Alcalá la Real sección 03002	10127.0	9874.0	26265.0	25658.0	
2300203003 Alcalá la Real sección 03003	6841.0	6815.0	15665.0	15687.0	
2300204 Alcalá la Real distrito 04	10278.0	9845.0	27400.0	26336.0	
2300204001 Alcalá la Real sección 04001	9909.0	9575.0	25945.0	25238.0	
2300204002 Alcalá la Real sección 04002	11459.0	11066.0	30159.0	29067.0	
2300204003 Alcalá la Real sección 04003	8472.0	8069.0	21545.0	20782.0	
2300204005 Alcalá la Real sección 04005	9972.0	9350.0	29005.0	27253.0	
2300205 Alcalá la Real distrito 05	7902.0	7680.0	19960.0	19438.0	
2300205001 Alcalá la Real sección 05001	7682.0	7569.0	20065.0	20033.0	
2300205002 Alcalá la Real sección 05002	8604.0	8297.0	22106.0	21301.0	
2300205003 Alcalá la Real sección 05003	7255.0	6986.0	17484.0	16811.0	
2300205004 Alcalá la Real sección 05004	7170.0	7077.0	17186.0	16815.0	
23003 Alcaudete	8192.0	7718.0	20258.0	19201.0	
2300301 Alcaudete distrito 01	8234.0	7760.0	20668.0	19604.0	
2300301001 Alcaudete sección 01001	6831.0	6454.0	15838.0	15192.0	
2300301002 Alcaudete sección 01002	6671.0	6404.0	16321.0	15540.0	
2300301003 Alcaudete sección 01003	6802.0	6406.0	16371.0	15500.0	
2300301004 Alcaudete sección 01004	9015.0	8372.0	21650.0	20673.0	
2300301005 Alcaudete sección 01005	8338.0	7812.0	21682.0	20404.0	
2300301006 Alcaudete sección 01006	8043.0	7523.0	20159.0	18960.0	
2300301007 Alcaudete sección 01007	9554.0	9088.0	25345.0	24136.0	
2300302 Alcaudete distrito 02	8333.0	7995.0	17928.0	17456.0	
2300302001 Alcaudete sección 02001	8333.0	7995.0	17928.0	17456.0	
2300303 Alcaudete distrito 03	7745.0	7160.0	19073.0	17592.0	
2300303001 Alcaudete sección 03001	7745.0	7160.0	19073.0	17592.0	
23004 Aldeaquemada	9392.0	9347.0	20451.0	19848.0	
2300401 Aldeaquemada distrito 01	9392.0	9347.0	20451.0	19848.0	
2300401001 Aldeaquemada sección 01001	9392.0	9347.0	20451.0	19848.0	
23005 Andújar	8156.0	7783.0	21462.0	20545.0	
2300501 Andújar distrito 01	9350.0	9037.0	24469.0	23805.0	
2300501001 Andújar sección 01001	9548.0	9292.0	26286.0	25839.0	
2300501002 Andújar sección 01002	8941.0	8824.0	23105.0	22555.0	
2300501003 Andújar sección 01003	8738.0	8417.0	22966.0	21998.0	
2300501004 Andújar sección 01004	10815.0	10383.0	27280.0	26394.0	
2300501005 Andújar sección 01005	6194.0	5689.0	16427.0	15462.0	
2300501006 Andújar sección 01006	11261.0	11022.0	28480.0	28329.0	
2300502 Andújar distrito 02	8304.0	7871.0	21707.0	20653.0	
2300502001 Andújar sección 02001	6105.0	5820.0	17651.0	16811.0	
2300502002 Andújar sección 02002	9081.0	8384.0	23818.0	22009.0	
2300502003 Andújar sección 02003	7189.0	7054.0	15928.0	15790.0	
2300502004 Andújar sección 02004	7706.0	7427.0	20044.0	19431.0	
2300502005 Andújar sección 02005	10505.0	9750.0	28274.0	26207.0	
2300502006 Andújar sección 02006	7788.0	7661.0	19633.0	19451.0	
2300502007 Andújar sección 02007	7888.0	7496.0	20913.0	19925.0	
2300502008 Andújar sección 02008	9887.0	9177.0	27770.0	25858.0	
2300502009 Andújar sección 02009	8735.0	8165.0	22183.0	20959.0	
2300503 Andújar distrito 03	7443.0	7090.0	19893.0	18946.0	
2300503001 Andújar sección 03001	8200.0	7678.0	20792.0	19581.0	
2300503002 Andújar sección 03002	6447.0	6094.0	17524.0	16694.0	
2300503003 Andújar sección 03003	8073.0	7593.0	21304.0	19922.0	
2300503004 Andújar sección 03004	8332.0	8040.0	21645.0	20692.0	
2300503005 Andújar sección 03005	6476.0	6220.0	18311.0	17393.0	
2300503006 Andújar sección 03006	6817.0	6572.0	17940.0	17284.0	
2300503007 Andújar sección 03007	8846.0	8392.0	21978.0	20844.0	
2300503008 Andújar sección 03008	6309.0	6120.0	17654.0	17190.0	
2300503009 Andújar sección 03009	7334.0	6965.0	20811.0	19872.0	
2300504 Andújar distrito 04	7639.0	7200.0	19291.0	18309.0	
2300504001 Andújar sección 04001	7415.0	6936.0	19421.0	18146.0	
2300504002 Andújar sección 04002	8283.0	7941.0	18964.0	18718.0	
23006 Arjona	7883.0	7468.0	20140.0	18907.0	
2300601 Arjona distrito 01	7976.0	7578.0	20858.0	19629.0	
2300601001 Arjona sección 01001	8813.0	8276.0	21751.0	20133.0	
2300601002 Arjona sección 01002	8171.0	7850.0	21962.0	20873.0	
2300601003 Arjona sección 01003	7181.0	6764.0	18797.0	17647.0	
2300602 Arjona distrito 02	7680.0	7230.0	18692.0	17447.0	
2300602001 Arjona sección 02001	7944.0	7593.0	19193.0	18095.0	
2300602002 Arjona sección 02002	7383.0	6834.0	18119.0	16721.0	
23007 Arjonilla	7840.0	7196.0	20557.0	18908.0	
2300701 Arjonilla distrito 01	7411.0	6841.0	19997.0	18438.0	
2300701001 Arjonilla sección 01001	7367.0	6827.0	20765.0	19163.0	
2300701002 Arjonilla sección 01002	7511.0	6874.0	18456.0	17004.0	
2300702 Arjonilla distrito 02	8552.0	7769.0	21419.0	19616.0	
2300702001 Arjonilla sección 02001	8595.0	7799.0	21253.0	19577.0	
2300702002 Arjonilla sección 02002	8504.0	7736.0	21610.0	19659.0	
23008 Arquillos	7294.0	6525.0	18092.0	16277.0	
2300801 Arquillos distrito 01	7294.0	6525.0	18092.0	16277.0	
2300801001 Arquillos sección 01001	7294.0	6525.0	18092.0	16277.0	
23905 Arroyo del Ojanco	7383.0	7039.0	17476.0	16528.0	
2390501 Arroyo del Ojanco distrito 01	7383.0	7039.0	17476.0	16528.0	
2390501001 Arroyo del Ojanco sección 01001	7753.0	7404.0	18213.0	17409.0	
2390501002 Arroyo del Ojanco sección 01002	7010.0	6662.0	16722.0	15622.0	
23009 Baeza	8902.0	8151.0	24378.0	22508.0	
2300901 Baeza distrito 01	8729.0	7888.0	25027.0	22878.0	
2300901001 Baeza sección 01001	8893.0	7935.0	25938.0	23850.0	
2300901002 Baeza sección 01002	8322.0	7532.0	23199.0	20878.0	
2300901003 Baeza sección 01003	9324.0	8392.0	26047.0	23942.0	
2300901004 Baeza sección 01004	8572.0	7836.0	25547.0	23524.0	
2300902 Baeza distrito 02	8770.0	8011.0	23878.0	21907.0	
2300902001 Baeza sección 02001	10947.0	9732.0	27045.0	24191.0	
