Atlas de Distribución de Renta de los Hogares
León
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
24001 Acebedo	11214.0	11232.0	22994.0	23118.0	
2400101 Acebedo distrito 01	11214.0	11232.0	22994.0	23118.0	
2400101001 Acebedo sección 01001	11214.0	11232.0	22994.0	23118.0	
24002 Algadefe	10589.0	9598.0	27105.0	25287.0	
2400201 Algadefe distrito 01	10589.0	9598.0	27105.0	25287.0	
2400201001 Algadefe sección 01001	10589.0	9598.0	27105.0	25287.0	
24003 Alija del Infantado	10482.0	10424.0	21090.0	20848.0	
2400301 Alija del Infantado distrito 01	10482.0	10424.0	21090.0	20848.0	
2400301001 Alija del Infantado sección 01001	10482.0	10424.0	21090.0	20848.0	
24004 Almanza	10320.0	10358.0	21959.0	22265.0	
2400401 Almanza distrito 01	10320.0	10358.0	21959.0	22265.0	
2400401001 Almanza sección 01001	10320.0	10358.0	21959.0	22265.0	
24005 Antigua, La	10584.0	10490.0	20851.0	20470.0	
2400501 Antigua, La distrito 01	10584.0	10490.0	20851.0	20470.0	
2400501001 Antigua, La sección 01001	10584.0	10490.0	20851.0	20470.0	
24006 Ardón	11354.0	10685.0	24586.0	23550.0	
2400601 Ardón distrito 01	11354.0	10685.0	24586.0	23550.0	
2400601001 Ardón sección 01001	11354.0	10685.0	24586.0	23550.0	
24007 Arganza	10146.0	9630.0	22766.0	22027.0	
2400701 Arganza distrito 01	10146.0	9630.0	22766.0	22027.0	
2400701001 Arganza sección 01001	10146.0	9630.0	22766.0	22027.0	
24008 Astorga	10688.0	10489.0	24653.0	24408.0	
2400801 Astorga distrito 01	13089.0	12765.0	28257.0	28005.0	
2400801001 Astorga sección 01001	12941.0	12308.0	27185.0	26352.0	
2400801002 Astorga sección 01002	13242.0	13246.0	29429.0	29837.0	
2400802 Astorga distrito 02	10374.0	10294.0	24053.0	24102.0	
2400802001 Astorga sección 02001	10816.0	10593.0	26166.0	25908.0	
2400802002 Astorga sección 02002	10042.0	9833.0	22590.0	22611.0	
2400802003 Astorga sección 02003	10212.0	10468.0	23300.0	23725.0	
2400803 Astorga distrito 03	9651.0	9351.0	23050.0	22415.0	
2400803001 Astorga sección 03001	9836.0	9501.0	22520.0	21694.0	
2400803002 Astorga sección 03002	9449.0	9190.0	23682.0	23266.0	
24009 Balboa	9996.0	9667.0	20985.0	20882.0	
2400901 Balboa distrito 01	9996.0	9667.0	20985.0	20882.0	
2400901001 Balboa sección 01001	9996.0	9667.0	20985.0	20882.0	
24010 Bañeza, La	9507.0	9427.0	22937.0	22691.0	
2401001 Bañeza, La distrito 01	9507.0	9427.0	22937.0	22691.0	
2401001001 Bañeza, La sección 01001	10282.0	10151.0	24808.0	24440.0	
2401001002 Bañeza, La sección 01002	10196.0	10321.0	23319.0	23539.0	
2401001003 Bañeza, La sección 01003	9535.0	9587.0	23148.0	23347.0	
2401001004 Bañeza, La sección 01004	9381.0	9282.0	21949.0	21559.0	
2401001005 Bañeza, La sección 01005	8162.0	7779.0	21533.0	20237.0	
2401001006 Bañeza, La sección 01006	8627.0	8450.0	21220.0	20859.0	
24011 Barjas	10659.0	10155.0	21214.0	19908.0	
2401101 Barjas distrito 01	10659.0	10155.0	21214.0	19908.0	
2401101001 Barjas sección 01001	10659.0	10155.0	21214.0	19908.0	
24012 Barrios de Luna, Los	14202.0	14116.0	31425.0	30878.0	
2401201 Barrios de Luna, Los distrito 01	14202.0	14116.0	31425.0	30878.0	
2401201001 Barrios de Luna, Los sección 01001	14202.0	14116.0	31425.0	30878.0	
24014 Bembibre	10396.0	10095.0	26351.0	25730.0	
2401401 Bembibre distrito 01	10396.0	10095.0	26351.0	25730.0	
2401401001 Bembibre sección 01001	9359.0	9180.0	23770.0	23054.0	
2401401002 Bembibre sección 01002	10345.0	10107.0	26082.0	26072.0	
2401401003 Bembibre sección 01003	10372.0	10181.0	26199.0	25772.0	
2401401004 Bembibre sección 01004	11353.0	10690.0	28014.0	26227.0	
2401401005 Bembibre sección 01005	9754.0	9355.0	26227.0	25373.0	
2401401006 Bembibre sección 01006	11348.0	10662.0	25968.0	24662.0	
