Atlas de Distribución de Renta de los Hogares
Lleida
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
25001 Abella de la Conca	9596.0	9072.0	22475.0	21374.0	
2500101 Abella de la Conca distrito 01	9596.0	9072.0	22475.0	21374.0	
2500101001 Abella de la Conca sección 01001	9596.0	9072.0	22475.0	21374.0	
25002 Àger	12464.0	11412.0	28032.0	26304.0	
2500201 Àger distrito 01	12464.0	11412.0	28032.0	26304.0	
2500201001 Àger sección 01001	12464.0	11412.0	28032.0	26304.0	
25003 Agramunt	11110.0	10796.0	28847.0	27895.0	
2500301 Agramunt distrito 01	11110.0	10796.0	28847.0	27895.0	
2500301001 Agramunt sección 01001	10998.0	10983.0	25585.0	25780.0	
2500301002 Agramunt sección 01002	10768.0	10630.0	26300.0	25220.0	
2500301003 Agramunt sección 01003	10864.0	10378.0	29469.0	28314.0	
2500301004 Agramunt sección 01004	11687.0	11332.0	31585.0	30361.0	
25038 Aitona	9212.0	9310.0	27613.0	27564.0	
2503801 Aitona distrito 01	9212.0	9310.0	27613.0	27564.0	
2503801001 Aitona sección 01001	9356.0	9195.0	27893.0	27463.0	
2503801002 Aitona sección 01002	9090.0	9410.0	27373.0	27650.0	
25004 Alamús, Els	11598.0	11375.0	28005.0	28329.0	
2500401 Alamús, Els distrito 01	11598.0	11375.0	28005.0	28329.0	
2500401001 Alamús, Els sección 01001	11598.0	11375.0	28005.0	28329.0	
25005 Alàs i Cerc	11000.0	11007.0	16243.0	16616.0	
2500501 Alàs i Cerc distrito 01	11000.0	11007.0	16243.0	16616.0	
2500501001 Alàs i Cerc sección 01001	11000.0	11007.0	16243.0	16616.0	
25006 Albagés, L'	8578.0	9077.0	23172.0	24125.0	
2500601 Albagés, L' distrito 01	8578.0	9077.0	23172.0	24125.0	
2500601001 Albagés, L' sección 01001	8578.0	9077.0	23172.0	24125.0	
25007 Albatàrrec	10591.0	10133.0	30849.0	29778.0	
2500701 Albatàrrec distrito 01	10591.0	10133.0	30849.0	29778.0	
2500701001 Albatàrrec sección 01001	10591.0	10133.0	30849.0	29778.0	
25008 Albesa	10983.0	10426.0	29682.0	28483.0	
2500801 Albesa distrito 01	10983.0	10426.0	29682.0	28483.0	
2500801001 Albesa sección 01001	10983.0	10426.0	29682.0	28483.0	
25009 Albi, L'	10464.0	10451.0	26194.0	26610.0	
2500901 Albi, L' distrito 01	10464.0	10451.0	26194.0	26610.0	
2500901001 Albi, L' sección 01001	10464.0	10451.0	26194.0	26610.0	
25010 Alcanó	10008.0	9863.0	25612.0	26089.0	
2501001 Alcanó distrito 01	10008.0	9863.0	25612.0	26089.0	
2501001001 Alcanó sección 01001	10008.0	9863.0	25612.0	26089.0	
25011 Alcarràs	9856.0	9773.0	26693.0	26008.0	
2501101 Alcarràs distrito 01	9856.0	9773.0	26693.0	26008.0	
2501101001 Alcarràs sección 01001	10088.0	10234.0	27411.0	27587.0	
2501101002 Alcarràs sección 01002	9419.0	9330.0	24427.0	23876.0	
2501101003 Alcarràs sección 01003	9632.0	9596.0	26901.0	25539.0	
2501101004 Alcarràs sección 01004	10260.0	9878.0	28523.0	27138.0	
25012 Alcoletge	10782.0	10587.0	29827.0	28820.0	
2501201 Alcoletge distrito 01	10782.0	10587.0	29827.0	28820.0	
2501201001 Alcoletge sección 01001	11072.0	10910.0	31343.0	30340.0	
2501201002 Alcoletge sección 01002	10388.0	10143.0	27872.0	26831.0	
25013 Alfarràs	9526.0	9162.0	25381.0	24542.0	
2501301 Alfarràs distrito 01	9526.0	9162.0	25381.0	24542.0	
2501301001 Alfarràs sección 01001	9857.0	9489.0	26531.0	25657.0	
2501301002 Alfarràs sección 01002	9119.0	8764.0	24001.0	23211.0	
25014 Alfés	11304.0	10922.0	26347.0	25643.0	
2501401 Alfés distrito 01	11304.0	10922.0	26347.0	25643.0	
2501401001 Alfés sección 01001	11304.0	10922.0	26347.0	25643.0	
25015 Algerri	11803.0	11579.0	28286.0	27541.0	
2501501 Algerri distrito 01	11803.0	11579.0	28286.0	27541.0	
2501501001 Algerri sección 01001	11803.0	11579.0	28286.0	27541.0	
25016 Alguaire	11171.0	10976.0	29814.0	29441.0	
2501601 Alguaire distrito 01	11171.0	10976.0	29814.0	29441.0	
2501601001 Alguaire sección 01001	10902.0	10573.0	29125.0	27978.0	
2501601002 Alguaire sección 01002	11429.0	11358.0	30470.0	30864.0	
25017 Alins	12301.0	12037.0	20143.0	19987.0	
2501701 Alins distrito 01	12301.0	12037.0	20143.0	19987.0	
2501701001 Alins sección 01001	12301.0	12037.0	20143.0	19987.0	
25019 Almacelles	10604.0	10527.0	27295.0	27307.0	
2501901 Almacelles distrito 01	10919.0	10853.0	27697.0	27753.0	
2501901001 Almacelles sección 01001	12141.0	12034.0	31414.0	31195.0	
2501901002 Almacelles sección 01002	10235.0	10177.0	25678.0	25823.0	
2501902 Almacelles distrito 02	10313.0	10222.0	26913.0	26878.0	
2501902001 Almacelles sección 02001	9980.0	10090.0	24949.0	25524.0	
2501902002 Almacelles sección 02002	10550.0	10314.0	28419.0	27893.0	
25020 Almatret	11923.0	12270.0	25538.0	27210.0	
2502001 Almatret distrito 01	11923.0	12270.0	25538.0	27210.0	
2502001001 Almatret sección 01001	11923.0	12270.0	25538.0	27210.0	
25021 Almenar	10564.0	10406.0	28503.0	28302.0	
2502101 Almenar distrito 01	9413.0	9416.0	23744.0	23814.0	
2502101001 Almenar sección 01001	9413.0	9416.0	23744.0	23814.0	
2502102 Almenar distrito 02	10875.0	10675.0	29906.0	29636.0	
2502102001 Almenar sección 02001	10774.0	10508.0	29218.0	28820.0	
2502102002 Almenar sección 02002	10984.0	10860.0	30674.0	30564.0	
25022 Alòs de Balaguer	13698.0	13125.0	29022.0	27362.0	
2502201 Alòs de Balaguer distrito 01	13698.0	13125.0	29022.0	27362.0	
2502201001 Alòs de Balaguer sección 01001	13698.0	13125.0	29022.0	27362.0	
25023 Alpicat	13958.0	13653.0	40951.0	40047.0	
2502301 Alpicat distrito 01	13958.0	13653.0	40951.0	40047.0	
2502301001 Alpicat sección 01001	12803.0	12510.0	36441.0	35044.0	
2502301002 Alpicat sección 01002	12634.0	12405.0	37419.0	37153.0	
2502301003 Alpicat sección 01003	17627.0	17262.0	53423.0	52676.0	
25024 Alt Àneu	14546.0	13888.0	30699.0	29173.0	
2502401 Alt Àneu distrito 01	14546.0	13888.0	30699.0	29173.0	
2502401001 Alt Àneu sección 01001	14546.0	13888.0	30699.0	29173.0	
25027 Anglesola	10790.0	10682.0	27962.0	27344.0	
2502701 Anglesola distrito 01	10790.0	10682.0	27962.0	27344.0	
2502701001 Anglesola sección 01001	10790.0	10682.0	27962.0	27344.0	
25029 Arbeca	9854.0	10016.0	26629.0	26461.0	
2502901 Arbeca distrito 01	9854.0	10016.0	26629.0	26461.0	
2502901001 Arbeca sección 01001	9554.0	9799.0	25848.0	25622.0	
