Atlas de Distribución de Renta de los Hogares
Lugo
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
27001 Abadín	9478.0	9116.0	22066.0	21393.0	
2700101 Abadín distrito 01	9478.0	9116.0	22066.0	21393.0	
2700101001 Abadín sección 01001	9758.0	9435.0	23080.0	22348.0	
2700101002 Abadín sección 01002	9087.0	8568.0	21246.0	20417.0	
2700101003 Abadín sección 01003	9511.0	9220.0	21823.0	21288.0	
27002 Alfoz	10044.0	9674.0	24873.0	24321.0	
2700201 Alfoz distrito 01	10044.0	9674.0	24873.0	24321.0	
2700201001 Alfoz sección 01001	10641.0	10289.0	25538.0	25269.0	
2700201002 Alfoz sección 01002	9563.0	9179.0	24304.0	23523.0	
27003 Antas de Ulla	8981.0	8732.0	21362.0	20623.0	
2700301 Antas de Ulla distrito 01	8981.0	8732.0	21362.0	20623.0	
2700301001 Antas de Ulla sección 01001	9981.0	9671.0	24328.0	23502.0	
2700301002 Antas de Ulla sección 01002	8369.0	8121.0	21173.0	20460.0	
2700301003 Antas de Ulla sección 01003	8610.0	8432.0	19081.0	18462.0	
27004 Baleira	9731.0	9321.0	23994.0	23425.0	
2700401 Baleira distrito 01	9731.0	9321.0	23994.0	23425.0	
2700401001 Baleira sección 01001	9731.0	9321.0	23994.0	23425.0	
27901 Baralla	9049.0	8798.0	23689.0	22833.0	
2790101 Baralla distrito 01	9049.0	8798.0	23689.0	22833.0	
2790101001 Baralla sección 01001	8914.0	8734.0	23278.0	22695.0	
2790101002 Baralla sección 01002	9301.0	8914.0	24463.0	23082.0	
27005 Barreiros	10850.0	10516.0	24682.0	24214.0	
2700501 Barreiros distrito 01	10850.0	10516.0	24682.0	24214.0	
2700501001 Barreiros sección 01001	11327.0	10878.0	25548.0	24989.0	
2700501002 Barreiros sección 01002	10756.0	10508.0	24422.0	23536.0	
2700501003 Barreiros sección 01003	10034.0	9850.0	23255.0	23444.0	
27006 Becerreá	9459.0	9239.0	22593.0	22148.0	
2700601 Becerreá distrito 01	9459.0	9239.0	22593.0	22148.0	
2700601001 Becerreá sección 01001	9524.0	9459.0	22070.0	21769.0	
2700601002 Becerreá sección 01002	8975.0	8682.0	22045.0	21839.0	
2700601003 Becerreá sección 01003	9886.0	9453.0	24373.0	23315.0	
27007 Begonte	10317.0	10063.0	24092.0	23615.0	
2700701 Begonte distrito 01	10317.0	10063.0	24092.0	23615.0	
2700701001 Begonte sección 01001	10488.0	10202.0	23409.0	22641.0	
2700701002 Begonte sección 01002	10203.0	9985.0	25302.0	24963.0	
2700701003 Begonte sección 01003	10186.0	9937.0	23715.0	23600.0	
27008 Bóveda	9901.0	9707.0	21682.0	21353.0	
2700801 Bóveda distrito 01	9901.0	9707.0	21682.0	21353.0	
2700801001 Bóveda sección 01001	10202.0	9956.0	21370.0	20790.0	
2700801002 Bóveda sección 01002	9588.0	9448.0	22037.0	22004.0	
27902 Burela	11213.0	10903.0	28471.0	27840.0	
2790201 Burela distrito 01	11213.0	10903.0	28471.0	27840.0	
2790201001 Burela sección 01001	10458.0	10208.0	27760.0	27333.0	
2790201002 Burela sección 01002	12512.0	12580.0	30561.0	30545.0	
2790201003 Burela sección 01003	11593.0	11113.0	28856.0	28025.0	
2790201004 Burela sección 01004	10722.0	10390.0	27868.0	26857.0	
2790201005 Burela sección 01005	11374.0	10998.0	29811.0	29761.0	
2790201006 Burela sección 01006	11240.0	10841.0	27544.0	26642.0	
27009 Carballedo	9582.0	9201.0	22558.0	21441.0	
2700901 Carballedo distrito 01	9582.0	9201.0	22558.0	21441.0	
2700901001 Carballedo sección 01001	9525.0	9014.0	23553.0	21953.0	
2700901002 Carballedo sección 01002	9321.0	8905.0	23022.0	21895.0	
2700901003 Carballedo sección 01003	9954.0	9774.0	20977.0	20442.0	
27010 Castro de Rei	9812.0	9535.0	25554.0	24923.0	
2701001 Castro de Rei distrito 01	9812.0	9535.0	25554.0	24923.0	
2701001001 Castro de Rei sección 01001	10049.0	9806.0	25519.0	25059.0	
2701001002 Castro de Rei sección 01002	9437.0	9098.0	24861.0	24513.0	
2701001003 Castro de Rei sección 01003	10270.0	10026.0	26711.0	25964.0	
2701001004 Castro de Rei sección 01004	9307.0	8972.0	26053.0	25381.0	
2701001005 Castro de Rei sección 01005	9338.0	9072.0	23173.0	22375.0	
27011 Castroverde	9395.0	8999.0	24620.0	23800.0	
2701101 Castroverde distrito 01	9395.0	8999.0	24620.0	23800.0	
2701101001 Castroverde sección 01001	10163.0	9779.0	24920.0	23973.0	
2701101002 Castroverde sección 01002	8619.0	8249.0	23661.0	22963.0	
2701101003 Castroverde sección 01003	9504.0	9057.0	25506.0	24691.0	
27012 Cervantes	9830.0	10011.0	23866.0	24604.0	
2701201 Cervantes distrito 01	9830.0	10011.0	23866.0	24604.0	
2701201001 Cervantes sección 01001	10193.0	10906.0	24762.0	26803.0	
2701201002 Cervantes sección 01002	9345.0	8778.0	22668.0	21576.0	
27013 Cervo	12899.0	12557.0	32179.0	31450.0	
2701301 Cervo distrito 01	13681.0	13514.0	32467.0	32132.0	
2701301001 Cervo sección 01001	13642.0	13782.0	31714.0	32007.0	
2701301002 Cervo sección 01002	13780.0	12829.0	34532.0	32480.0	
2701302 Cervo distrito 02	12010.0	11471.0	31814.0	30584.0	
2701302001 Cervo sección 02001	12010.0	11471.0	31814.0	30584.0	
27016 Chantada	9265.0	9072.0	22238.0	21839.0	
2701601 Chantada distrito 01	9576.0	9413.0	22312.0	21882.0	
2701601001 Chantada sección 01001	9039.0	9011.0	21513.0	20969.0	
2701601002 Chantada sección 01002	9556.0	9052.0	22335.0	21659.0	
2701601003 Chantada sección 01003	10115.0	10189.0	22619.0	22591.0	
2701601004 Chantada sección 01004	9155.0	8786.0	22421.0	21611.0	
2701602 Chantada distrito 02	8637.0	8507.0	21778.0	21777.0	
2701602001 Chantada sección 02001	8637.0	8507.0	21778.0	21777.0	
2701603 Chantada distrito 03	8291.0	8003.0	21241.0	21401.0	
2701603001 Chantada sección 03001	8291.0	8003.0	21241.0	21401.0	
2701604 Chantada distrito 04	8795.0	8467.0	23006.0	21940.0	
2701604001 Chantada sección 04001	8795.0	8467.0	23006.0	21940.0	
27014 Corgo, O	10399.0	10187.0	26012.0	25988.0	
2701401 Corgo, O distrito 01	10399.0	10187.0	26012.0	25988.0	
2701401001 Corgo, O sección 01001	10225.0	10101.0	25577.0	25602.0	
2701401002 Corgo, O sección 01002	10023.0	9811.0	25747.0	25753.0	
2701401003 Corgo, O sección 01003	9449.0	9250.0	24131.0	24384.0	
2701401004 Corgo, O sección 01004	11904.0	11602.0	28342.0	27995.0	
27015 Cospeito	9418.0	8995.0	24813.0	24086.0	
2701501 Cospeito distrito 01	9418.0	8995.0	24813.0	24086.0	
2701501001 Cospeito sección 01001	9871.0	9383.0	24632.0	23608.0	
2701501002 Cospeito sección 01002	8978.0	8564.0	24118.0	22980.0	
2701501003 Cospeito sección 01003	9329.0	8940.0	25745.0	25517.0	
2701501004 Cospeito sección 01004	9349.0	8964.0	24404.0	23893.0	
27017 Folgoso do Courel	10176.0	9807.0	22181.0	21334.0	
2701701 Folgoso do Courel distrito 01	10176.0	9807.0	22181.0	21334.0	
2701701001 Folgoso do Courel sección 01001	10176.0	9807.0	22181.0	21334.0	
27018 Fonsagrada, A	9744.0	9471.0	22814.0	22112.0	
2701801 Fonsagrada, A distrito 01	10394.0	10283.0	23692.0	23235.0	
