Atlas de Distribución de Renta de los Hogares
Madrid
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
28001 Acebeda, La	.	.	.	.	
2800101 Acebeda, La distrito 01	.	.	.	.	
2800101001 Acebeda, La sección 01001	.	.	.	.	
28002 Ajalvir	12088.0	12338.0	35093.0	34881.0	
2800201 Ajalvir distrito 01	12088.0	12338.0	35093.0	34881.0	
2800201001 Ajalvir sección 01001	12849.0	13029.0	37087.0	37141.0	
2800201002 Ajalvir sección 01002	11507.0	11804.0	33552.0	33160.0	
28003 Alameda del Valle	14638.0	13878.0	28416.0	27355.0	
2800301 Alameda del Valle distrito 01	14638.0	13878.0	28416.0	27355.0	
2800301001 Alameda del Valle sección 01001	14638.0	13878.0	28416.0	27355.0	
28004 Álamo, El	9240.0	9088.0	27291.0	26461.0	
2800401 Álamo, El distrito 01	9240.0	9088.0	27291.0	26461.0	
2800401001 Álamo, El sección 01001	9005.0	8903.0	26668.0	25827.0	
2800401002 Álamo, El sección 01002	9499.0	9510.0	27193.0	26762.0	
2800401003 Álamo, El sección 01003	8716.0	8423.0	26334.0	25010.0	
2800401004 Álamo, El sección 01004	9857.0	9474.0	30027.0	29087.0	
28005 Alcalá de Henares	11267.0	11324.0	32751.0	32129.0	
2800501 Alcalá de Henares distrito 01	12027.0	12373.0	31783.0	31497.0	
2800501001 Alcalá de Henares sección 01001	14031.0	14376.0	33608.0	33213.0	
2800501002 Alcalá de Henares sección 01002	13224.0	13314.0	34801.0	33005.0	
2800501003 Alcalá de Henares sección 01003	12655.0	13766.0	32832.0	33176.0	
2800501004 Alcalá de Henares sección 01004	13521.0	13826.0	34480.0	34641.0	
2800501005 Alcalá de Henares sección 01005	15647.0	15500.0	39912.0	38619.0	
2800501006 Alcalá de Henares sección 01006	12784.0	12510.0	33682.0	32059.0	
2800501007 Alcalá de Henares sección 01007	10165.0	10253.0	27120.0	26341.0	
2800501008 Alcalá de Henares sección 01008	9493.0	9522.0	22609.0	22105.0	
2800501009 Alcalá de Henares sección 01009	9244.0	9709.0	25161.0	25274.0	
2800501010 Alcalá de Henares sección 01010	11069.0	11377.0	29854.0	29719.0	
2800501011 Alcalá de Henares sección 01011	10757.0	10757.0	27059.0	26739.0	
2800501012 Alcalá de Henares sección 01012	11258.0	11581.0	32159.0	31843.0	
2800501013 Alcalá de Henares sección 01013	13899.0	16629.0	36918.0	43552.0	
2800501014 Alcalá de Henares sección 01014	14771.0	15010.0	37237.0	35696.0	
2800501015 Alcalá de Henares sección 01015	11815.0	11997.0	29501.0	28974.0	
2800501016 Alcalá de Henares sección 01016	10636.0	10897.0	27063.0	26441.0	
2800501017 Alcalá de Henares sección 01017	8899.0	9272.0	25029.0	25397.0	
2800501018 Alcalá de Henares sección 01018	8303.0	8458.0	24115.0	23810.0	
2800501020 Alcalá de Henares sección 01020	8419.0	8766.0	24499.0	23445.0	
2800501021 Alcalá de Henares sección 01021	13856.0	14075.0	38992.0	38880.0	
2800501022 Alcalá de Henares sección 01022	11035.0	11727.0	30738.0	31295.0	
2800501023 Alcalá de Henares sección 01023	15045.0	14748.0	39987.0	37898.0	
2800501024 Alcalá de Henares sección 01024	16135.0	16259.0	41156.0	40873.0	
2800502 Alcalá de Henares distrito 02	9076.0	9120.0	27195.0	26658.0	
2800502001 Alcalá de Henares sección 02001	8983.0	9319.0	23537.0	23475.0	
2800502002 Alcalá de Henares sección 02002	9060.0	9491.0	25761.0	26241.0	
2800502003 Alcalá de Henares sección 02003	9481.0	9421.0	28085.0	27508.0	
2800502004 Alcalá de Henares sección 02004	7270.0	7656.0	22166.0	22141.0	
2800502005 Alcalá de Henares sección 02005	7240.0	7507.0	21234.0	21332.0	
2800502006 Alcalá de Henares sección 02006	7625.0	7301.0	23571.0	22623.0	
2800502007 Alcalá de Henares sección 02007	7167.0	7424.0	23619.0	23394.0	
2800502008 Alcalá de Henares sección 02008	9746.0	9770.0	28516.0	27753.0	
2800502009 Alcalá de Henares sección 02009	7525.0	7499.0	22604.0	21601.0	
2800502010 Alcalá de Henares sección 02010	7143.0	7197.0	22540.0	21882.0	
2800502011 Alcalá de Henares sección 02011	5718.0	5691.0	17951.0	17899.0	
2800502012 Alcalá de Henares sección 02012	6445.0	6340.0	19304.0	19164.0	
2800502013 Alcalá de Henares sección 02013	7055.0	6875.0	20511.0	20168.0	
2800502014 Alcalá de Henares sección 02014	8799.0	8663.0	25284.0	24282.0	
2800502015 Alcalá de Henares sección 02015	7269.0	7283.0	21145.0	20517.0	
2800502016 Alcalá de Henares sección 02016	8921.0	9208.0	26877.0	27117.0	
2800502017 Alcalá de Henares sección 02017	7520.0	7653.0	24955.0	24511.0	
2800502018 Alcalá de Henares sección 02018	9985.0	10163.0	28526.0	28154.0	
