Atlas de Distribución de Renta de los Hogares
Málaga
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
29001 Alameda	6966.0	6856.0	19181.0	18950.0	
2900101 Alameda distrito 01	6966.0	6856.0	19181.0	18950.0	
2900101001 Alameda sección 01001	6802.0	6764.0	18668.0	18608.0	
2900101002 Alameda sección 01002	7580.0	7549.0	19882.0	20065.0	
2900101003 Alameda sección 01003	6686.0	6457.0	17644.0	16963.0	
2900101004 Alameda sección 01004	6923.0	6727.0	21071.0	20599.0	
29002 Alcaucín	6411.0	7115.0	15645.0	16687.0	
2900201 Alcaucín distrito 01	6411.0	7115.0	15645.0	16687.0	
2900201001 Alcaucín sección 01001	6411.0	7115.0	15645.0	16687.0	
29003 Alfarnate	9137.0	8563.0	19213.0	18123.0	
2900301 Alfarnate distrito 01	9137.0	8563.0	19213.0	18123.0	
2900301001 Alfarnate sección 01001	9137.0	8563.0	19213.0	18123.0	
29004 Alfarnatejo	7226.0	7281.0	15433.0	14829.0	
2900401 Alfarnatejo distrito 01	7226.0	7281.0	15433.0	14829.0	
2900401001 Alfarnatejo sección 01001	7226.0	7281.0	15433.0	14829.0	
29005 Algarrobo	7311.0	7346.0	18467.0	18272.0	
2900501 Algarrobo distrito 01	7311.0	7346.0	18467.0	18272.0	
2900501001 Algarrobo sección 01001	6838.0	6720.0	17270.0	16680.0	
2900501002 Algarrobo sección 01002	6420.0	6316.0	16558.0	16162.0	
2900501003 Algarrobo sección 01003	8554.0	8771.0	21041.0	21156.0	
2900501004 Algarrobo sección 01004	7481.0	7633.0	18926.0	18992.0	
29006 Algatocín	7176.0	7271.0	14929.0	15505.0	
2900601 Algatocín distrito 01	7176.0	7271.0	14929.0	15505.0	
2900601001 Algatocín sección 01001	7176.0	7271.0	14929.0	15505.0	
29007 Alhaurín de la Torre	9454.0	9234.0	28875.0	27964.0	
2900701 Alhaurín de la Torre distrito 01	9454.0	9234.0	28875.0	27964.0	
2900701001 Alhaurín de la Torre sección 01001	7563.0	7378.0	20643.0	19594.0	
2900701002 Alhaurín de la Torre sección 01002	7613.0	7422.0	21789.0	20903.0	
2900701003 Alhaurín de la Torre sección 01003	9013.0	8836.0	29340.0	28415.0	
2900701004 Alhaurín de la Torre sección 01004	8627.0	8405.0	24515.0	23546.0	
