Atlas de Distribución de Renta de los Hogares
Murcia
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
30001 Abanilla	8444.0	8274.0	21569.0	21017.0	
3000101 Abanilla distrito 01	8914.0	8676.0	23733.0	22894.0	
3000101001 Abanilla sección 01001	8528.0	8145.0	21104.0	20115.0	
3000101002 Abanilla sección 01002	8820.0	8713.0	25275.0	24334.0	
3000101003 Abanilla sección 01003	9679.0	9425.0	25518.0	25144.0	
3000102 Abanilla distrito 02	7922.0	7818.0	19360.0	19054.0	
3000102001 Abanilla sección 02001	7869.0	7534.0	18669.0	17901.0	
3000102002 Abanilla sección 02002	7501.0	7713.0	18188.0	18646.0	
3000102003 Abanilla sección 02003	8558.0	8421.0	22183.0	21664.0	
30002 Abarán	8401.0	8338.0	23597.0	23522.0	
3000201 Abarán distrito 01	8401.0	8338.0	23597.0	23522.0	
3000201001 Abarán sección 01001	7852.0	7713.0	22681.0	22518.0	
3000201002 Abarán sección 01002	8360.0	8393.0	23665.0	23985.0	
3000201003 Abarán sección 01003	10796.0	10797.0	27628.0	27941.0	
3000201004 Abarán sección 01004	7902.0	7663.0	21736.0	20932.0	
3000201005 Abarán sección 01005	9025.0	9136.0	23281.0	23306.0	
3000201006 Abarán sección 01006	6519.0	6442.0	20322.0	20053.0	
3000201007 Abarán sección 01007	8044.0	7855.0	21273.0	21190.0	
3000201008 Abarán sección 01008	7453.0	7362.0	21234.0	21261.0	
3000201009 Abarán sección 01009	8856.0	8979.0	26189.0	26593.0	
3000201010 Abarán sección 01010	8853.0	8981.0	25179.0	25429.0	
3000201011 Abarán sección 01011	10090.0	9437.0	26235.0	25186.0	
3000201012 Abarán sección 01012	8432.0	8223.0	23920.0	23498.0	
30003 Águilas	8269.0	7982.0	23222.0	22368.0	
3000301 Águilas distrito 01	8269.0	7982.0	23222.0	22368.0	
3000301001 Águilas sección 01001	9032.0	8971.0	21194.0	21092.0	
3000301002 Águilas sección 01002	9941.0	9370.0	25418.0	24246.0	
3000301003 Águilas sección 01003	7195.0	7069.0	19635.0	19198.0	
3000301004 Águilas sección 01004	8240.0	7799.0	22025.0	21516.0	
3000301005 Águilas sección 01005	7542.0	7350.0	23571.0	22556.0	
3000301006 Águilas sección 01006	7315.0	7106.0	20071.0	19426.0	
3000301007 Águilas sección 01007	7892.0	7895.0	20418.0	20259.0	
3000301008 Águilas sección 01008	9145.0	8676.0	25091.0	23178.0	
3000301009 Águilas sección 01009	12050.0	12411.0	29378.0	29761.0	
3000301010 Águilas sección 01010	6867.0	6636.0	21138.0	20048.0	
3000301011 Águilas sección 01011	7939.0	7517.0	25535.0	24022.0	
3000301012 Águilas sección 01012	7785.0	7347.0	20941.0	19568.0	
3000301013 Águilas sección 01013	7367.0	6978.0	20904.0	19464.0	
3000301014 Águilas sección 01014	7696.0	7542.0	22260.0	21270.0	
3000301015 Águilas sección 01015	8588.0	8596.0	19326.0	19261.0	
3000301016 Águilas sección 01016	10786.0	10321.0	33059.0	32155.0	
3000301017 Águilas sección 01017	4205.0	4043.0	15883.0	14952.0	
3000301018 Águilas sección 01018	6754.0	6383.0	20235.0	19402.0	
3000301019 Águilas sección 01019	10214.0	9904.0	28017.0	27369.0	
3000301020 Águilas sección 01020	8876.0	7602.0	28777.0	24673.0	
3000301021 Águilas sección 01021	8710.0	8390.0	24437.0	24169.0	
3000301022 Águilas sección 01022	8232.0	8211.0	22650.0	22476.0	
3000301023 Águilas sección 01023	7544.0	7269.0	22863.0	21892.0	
3000301024 Águilas sección 01024	10744.0	10937.0	23409.0	23729.0	
3000301025 Águilas sección 01025	7355.0	7145.0	21142.0	20473.0	
3000301026 Águilas sección 01026	7191.0	7098.0	23091.0	22933.0	
3000301027 Águilas sección 01027	7569.0	7351.0	22553.0	21489.0	
3000301028 Águilas sección 01028	7239.0	6938.0	21148.0	19904.0	
3000301029 Águilas sección 01029	9278.0	8906.0	26661.0	26022.0	
3000301030 Águilas sección 01030	9839.0	9221.0	24858.0	23526.0	
30004 Albudeite	7680.0	7458.0	19855.0	19713.0	
3000401 Albudeite distrito 01	7680.0	7458.0	19855.0	19713.0	
3000401001 Albudeite sección 01001	7680.0	7458.0	19855.0	19713.0	
