Atlas de Distribución de Renta de los Hogares
Navarra
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
31001 Abáigar	.	.	.	.	
3100101 Abáigar distrito 01	.	.	.	.	
3100101001 Abáigar sección 01001	.	.	.	.	
31002 Abárzuza/Abartzuza	12810.0	12161.0	35313.0	33098.0	
3100201 Abárzuza/Abartzuza distrito 01	12810.0	12161.0	35313.0	33098.0	
3100201001 Abárzuza/Abartzuza sección 01001	12810.0	12161.0	35313.0	33098.0	
31003 Abaurregaina/Abaurrea Alta	12615.0	13223.0	30324.0	31936.0	
3100301 Abaurregaina/Abaurrea Alta distrito 01	12615.0	13223.0	30324.0	31936.0	
3100301001 Abaurregaina/Abaurrea Alta sección 01001	12615.0	13223.0	30324.0	31936.0	
31004 Abaurrepea/Abaurrea Baja	.	.	.	.	
3100401 Abaurrepea/Abaurrea Baja distrito 01	.	.	.	.	
3100401001 Abaurrepea/Abaurrea Baja sección 01001	.	.	.	.	
31005 Aberin	14741.0	14166.0	36341.0	35989.0	
3100501 Aberin distrito 01	14741.0	14166.0	36341.0	35989.0	
3100501001 Aberin sección 01001	14741.0	14166.0	36341.0	35989.0	
31006 Ablitas	10208.0	10141.0	26679.0	26420.0	
3100601 Ablitas distrito 01	9441.0	9398.0	23809.0	23634.0	
3100601001 Ablitas sección 01001	9441.0	9398.0	23809.0	23634.0	
3100602 Ablitas distrito 02	10946.0	10842.0	29642.0	29243.0	
3100602001 Ablitas sección 02001	10946.0	10842.0	29642.0	29243.0	
31007 Adiós	14724.0	14471.0	34189.0	33212.0	
3100701 Adiós distrito 01	14724.0	14471.0	34189.0	33212.0	
3100701001 Adiós sección 01001	14724.0	14471.0	34189.0	33212.0	
31008 Aguilar de Codés	.	.	.	.	
3100801 Aguilar de Codés distrito 01	.	.	.	.	
3100801001 Aguilar de Codés sección 01001	.	.	.	.	
31009 Aibar/Oibar	14357.0	13845.0	37092.0	35551.0	
3100901 Aibar/Oibar distrito 01	14357.0	13845.0	37092.0	35551.0	
3100901001 Aibar/Oibar sección 01001	14357.0	13845.0	37092.0	35551.0	
31011 Allín/Allin	14826.0	13836.0	35608.0	33174.0	
3101101 Allín/Allin distrito 01	14826.0	13836.0	35608.0	33174.0	
3101101001 Allín/Allin sección 01001	14826.0	13836.0	35608.0	33174.0	
31012 Allo	11944.0	12563.0	29255.0	31518.0	
