Atlas de Distribución de Renta de los Hogares
null
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
32001 Allariz	10440.0	10336.0	24528.0	23975.0	
3200101 Allariz distrito 01	10489.0	10433.0	25090.0	24464.0	
3200101001 Allariz sección 01001	10208.0	10202.0	24187.0	23957.0	
3200101002 Allariz sección 01002	9833.0	9883.0	21052.0	21113.0	
3200101003 Allariz sección 01003	10963.0	10852.0	27797.0	26619.0	
3200102 Allariz distrito 02	10242.0	9958.0	22469.0	22154.0	
3200102001 Allariz sección 02001	10242.0	9958.0	22469.0	22154.0	
32002 Amoeiro	10828.0	10405.0	24525.0	24030.0	
3200201 Amoeiro distrito 01	10828.0	10405.0	24525.0	24030.0	
3200201001 Amoeiro sección 01001	10774.0	10461.0	24843.0	24464.0	
3200201002 Amoeiro sección 01002	10914.0	10315.0	24039.0	23359.0	
32003 Arnoia, A	10711.0	10475.0	25544.0	24947.0	
3200301 Arnoia, A distrito 01	10711.0	10475.0	25544.0	24947.0	
3200301001 Arnoia, A sección 01001	10711.0	10475.0	25544.0	24947.0	
32004 Avión	6389.0	6308.0	14032.0	14069.0	
3200401 Avión distrito 01	6632.0	6427.0	15201.0	15175.0	
3200401001 Avión sección 01001	6632.0	6427.0	15201.0	15175.0	
3200402 Avión distrito 02	6143.0	6186.0	12937.0	13058.0	
3200402001 Avión sección 02001	6143.0	6186.0	12937.0	13058.0	
32005 Baltar	9150.0	9487.0	19993.0	21029.0	
3200501 Baltar distrito 01	9150.0	9487.0	19993.0	21029.0	
3200501001 Baltar sección 01001	9150.0	9487.0	19993.0	21029.0	
32006 Bande	9810.0	9792.0	19402.0	19422.0	
3200601 Bande distrito 01	9810.0	9792.0	19402.0	19422.0	
3200601001 Bande sección 01001	9810.0	9792.0	19402.0	19422.0	
32007 Baños de Molgas	10221.0	9923.0	21368.0	20521.0	
3200701 Baños de Molgas distrito 01	10221.0	9923.0	21368.0	20521.0	
3200701001 Baños de Molgas sección 01001	10265.0	10058.0	21694.0	20883.0	
3200701002 Baños de Molgas sección 01002	10141.0	9683.0	20796.0	19881.0	
32008 Barbadás	9693.0	9528.0	25645.0	25240.0	
3200801 Barbadás distrito 01	9639.0	9456.0	25502.0	25053.0	
3200801001 Barbadás sección 01001	9273.0	9102.0	24525.0	23810.0	
3200801002 Barbadás sección 01002	10879.0	10909.0	28811.0	28616.0	
3200801003 Barbadás sección 01003	9181.0	8854.0	24639.0	24139.0	
3200801004 Barbadás sección 01004	9445.0	9321.0	24003.0	23662.0	
3200801005 Barbadás sección 01005	9643.0	9316.0	26438.0	25960.0	
3200802 Barbadás distrito 02	10192.0	10183.0	26976.0	26936.0	
3200802001 Barbadás sección 02001	10192.0	10183.0	26976.0	26936.0	
32009 Barco de Valdeorras, O	10618.0	10580.0	26158.0	26210.0	
3200901 Barco de Valdeorras, O distrito 01	10669.0	10651.0	26363.0	26460.0	
3200901001 Barco de Valdeorras, O sección 01001	11966.0	11741.0	28883.0	28783.0	
3200901002 Barco de Valdeorras, O sección 01002	10419.0	10013.0	27801.0	27124.0	
3200901003 Barco de Valdeorras, O sección 01003	10197.0	9695.0	24297.0	23896.0	
3200901004 Barco de Valdeorras, O sección 01004	10963.0	10496.0	26569.0	25606.0	
3200901005 Barco de Valdeorras, O sección 01005	8722.0	10481.0	21316.0	25982.0	
3200901006 Barco de Valdeorras, O sección 01006	10582.0	10231.0	25797.0	24999.0	
3200901007 Barco de Valdeorras, O sección 01007	12138.0	11810.0	28999.0	28116.0	
3200901008 Barco de Valdeorras, O sección 01008	10089.0	9705.0	26876.0	25597.0	
3200901009 Barco de Valdeorras, O sección 01009	10658.0	10333.0	26934.0	25747.0	
3200902 Barco de Valdeorras, O distrito 02	10103.0	9879.0	24168.0	23801.0	
3200902001 Barco de Valdeorras, O sección 02001	10103.0	9879.0	24168.0	23801.0	
32010 Beade	9228.0	9082.0	21459.0	21158.0	
3201001 Beade distrito 01	9228.0	9082.0	21459.0	21158.0	
3201001001 Beade sección 01001	9228.0	9082.0	21459.0	21158.0	
32011 Beariz	7945.0	7728.0	16247.0	15854.0	
3201101 Beariz distrito 01	7945.0	7728.0	16247.0	15854.0	
3201101001 Beariz sección 01001	7945.0	7728.0	16247.0	15854.0	
32012 Blancos, Os	9743.0	9568.0	20940.0	21019.0	
3201201 Blancos, Os distrito 01	9743.0	9568.0	20940.0	21019.0	
3201201001 Blancos, Os sección 01001	9743.0	9568.0	20940.0	21019.0	
32013 Boborás	7937.0	7827.0	18258.0	18090.0	
3201301 Boborás distrito 01	8800.0	8638.0	21191.0	20771.0	
3201301001 Boborás sección 01001	8800.0	8638.0	21191.0	20771.0	
3201302 Boborás distrito 02	6298.0	6322.0	13555.0	14151.0	
3201302001 Boborás sección 02001	6298.0	6322.0	13555.0	14151.0	
3201303 Boborás distrito 03	8257.0	8188.0	18989.0	18417.0	
3201303001 Boborás sección 03001	8257.0	8188.0	18989.0	18417.0	
32014 Bola, A	8849.0	8745.0	19542.0	19372.0	
3201401 Bola, A distrito 01	8790.0	8906.0	19288.0	19627.0	
3201401001 Bola, A sección 01001	8790.0	8906.0	19288.0	19627.0	
3201402 Bola, A distrito 02	8907.0	8583.0	19801.0	19116.0	
3201402001 Bola, A sección 02001	8907.0	8583.0	19801.0	19116.0	
32015 Bolo, O	9587.0	9504.0	19107.0	18716.0	
3201501 Bolo, O distrito 01	9587.0	9504.0	19107.0	18716.0	
3201501001 Bolo, O sección 01001	9587.0	9504.0	19107.0	18716.0	
32016 Calvos de Randín	9850.0	9891.0	19822.0	20044.0	
3201601 Calvos de Randín distrito 01	9850.0	9891.0	19822.0	20044.0	
3201601001 Calvos de Randín sección 01001	9850.0	9891.0	19822.0	20044.0	
32018 Carballeda de Avia	8828.0	8603.0	18095.0	17920.0	
3201801 Carballeda de Avia distrito 01	8828.0	8603.0	18095.0	17920.0	
3201801001 Carballeda de Avia sección 01001	8828.0	8603.0	18095.0	17920.0	
32017 Carballeda de Valdeorras	11293.0	11366.0	27629.0	27913.0	
3201701 Carballeda de Valdeorras distrito 01	11709.0	11419.0	27167.0	26917.0	
3201701001 Carballeda de Valdeorras sección 01001	11709.0	11419.0	27167.0	26917.0	
3201702 Carballeda de Valdeorras distrito 02	10959.0	11323.0	28038.0	28795.0	
3201702001 Carballeda de Valdeorras sección 02001	10959.0	11323.0	28038.0	28795.0	
32019 Carballiño, O	9042.0	8840.0	21090.0	20829.0	
3201901 Carballiño, O distrito 01	9138.0	8966.0	21444.0	21236.0	
3201901001 Carballiño, O sección 01001	9074.0	9079.0	21849.0	22044.0	
3201901002 Carballiño, O sección 01002	9971.0	9829.0	23550.0	23578.0	
3201901003 Carballiño, O sección 01003	8889.0	8659.0	21239.0	20954.0	
3201901004 Carballiño, O sección 01004	8450.0	8039.0	19857.0	19207.0	
3201901005 Carballiño, O sección 01005	9109.0	8976.0	20496.0	20178.0	
3201901006 Carballiño, O sección 01006	8942.0	8935.0	20910.0	21320.0	
3201901007 Carballiño, O sección 01007	9334.0	9091.0	22166.0	21491.0	
3201902 Carballiño, O distrito 02	8582.0	8314.0	19349.0	18861.0	
3201902001 Carballiño, O sección 02001	8308.0	8189.0	19328.0	19133.0	
3201902002 Carballiño, O sección 02002	9058.0	8534.0	19382.0	18416.0	
3201903 Carballiño, O distrito 03	8678.0	8225.0	19978.0	19485.0	
3201903001 Carballiño, O sección 03001	8678.0	8225.0	19978.0	19485.0	
32020 Cartelle	9897.0	9612.0	20646.0	20450.0	
3202001 Cartelle distrito 01	9897.0	9612.0	20646.0	20450.0	
3202001001 Cartelle sección 01001	10265.0	10031.0	20502.0	20345.0	
3202001002 Cartelle sección 01002	10406.0	9969.0	21117.0	20657.0	
3202001004 Cartelle sección 01004	8670.0	8557.0	19941.0	20191.0	
32022 Castrelo de Miño	10039.0	9768.0	21527.0	21026.0	
3202201 Castrelo de Miño distrito 01	10128.0	9795.0	21338.0	20637.0	
3202201001 Castrelo de Miño sección 01001	10128.0	9795.0	21338.0	20637.0	
3202202 Castrelo de Miño distrito 02	9934.0	9737.0	21757.0	21497.0	
3202202001 Castrelo de Miño sección 02001	9934.0	9737.0	21757.0	21497.0	
32021 Castrelo do Val	9028.0	8809.0	19641.0	19110.0	
3202101 Castrelo do Val distrito 01	9028.0	8809.0	19641.0	19110.0	
3202101001 Castrelo do Val sección 01001	9028.0	8809.0	19641.0	19110.0	
32023 Castro Caldelas	10170.0	10142.0	22550.0	21964.0	
