Atlas de Distribución de Renta de los Hogares
Palencia
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
34001 Abarca de Campos	.	.	.	.	
3400101 Abarca de Campos distrito 01	.	.	.	.	
3400101001 Abarca de Campos sección 01001	.	.	.	.	
34003 Abia de las Torres	11564.0	11340.0	28503.0	28508.0	
3400301 Abia de las Torres distrito 01	11564.0	11340.0	28503.0	28508.0	
3400301001 Abia de las Torres sección 01001	11564.0	11340.0	28503.0	28508.0	
34004 Aguilar de Campoo	12013.0	11764.0	28660.0	28178.0	
3400401 Aguilar de Campoo distrito 01	12097.0	11858.0	26998.0	26454.0	
3400401001 Aguilar de Campoo sección 01001	12099.0	11711.0	26972.0	25731.0	
3400401002 Aguilar de Campoo sección 01002	12096.0	11964.0	27017.0	26988.0	
3400402 Aguilar de Campoo distrito 02	12071.0	11855.0	29950.0	29572.0	
3400402001 Aguilar de Campoo sección 02001	11545.0	11387.0	26022.0	26323.0	
3400402002 Aguilar de Campoo sección 02002	12026.0	11674.0	30949.0	29571.0	
3400402003 Aguilar de Campoo sección 02003	12289.0	12114.0	31152.0	30942.0	
3400403 Aguilar de Campoo distrito 03	11441.0	10990.0	25999.0	25215.0	
3400403001 Aguilar de Campoo sección 03001	11441.0	10990.0	25999.0	25215.0	
34005 Alar del Rey	10760.0	10162.0	22353.0	21173.0	
3400501 Alar del Rey distrito 01	10760.0	10162.0	22353.0	21173.0	
3400501001 Alar del Rey sección 01001	10760.0	10162.0	22353.0	21173.0	
34006 Alba de Cerrato	.	.	.	.	
3400601 Alba de Cerrato distrito 01	.	.	.	.	
3400601001 Alba de Cerrato sección 01001	.	.	.	.	
34009 Amayuelas de Arriba	.	.	.	.	
3400901 Amayuelas de Arriba distrito 01	.	.	.	.	
3400901001 Amayuelas de Arriba sección 01001	.	.	.	.	
34010 Ampudia	11077.0	10562.0	27879.0	27208.0	
3401001 Ampudia distrito 01	11077.0	10562.0	27879.0	27208.0	
3401001001 Ampudia sección 01001	11077.0	10562.0	27879.0	27208.0	
34011 Amusco	11252.0	11019.0	26778.0	26421.0	
3401101 Amusco distrito 01	11252.0	11019.0	26778.0	26421.0	
3401101001 Amusco sección 01001	11252.0	11019.0	26778.0	26421.0	
34012 Antigüedad	11711.0	11001.0	29684.0	28129.0	
3401201 Antigüedad distrito 01	11711.0	11001.0	29684.0	28129.0	
3401201001 Antigüedad sección 01001	11711.0	11001.0	29684.0	28129.0	
34015 Arconada	.	.	.	.	
3401501 Arconada distrito 01	.	.	.	.	
3401501001 Arconada sección 01001	.	.	.	.	
34017 Astudillo	12272.0	11951.0	28415.0	27479.0	
3401701 Astudillo distrito 01	12272.0	11951.0	28415.0	27479.0	
3401701001 Astudillo sección 01001	12272.0	11951.0	28415.0	27479.0	
34018 Autilla del Pino	12981.0	12250.0	30461.0	27982.0	
3401801 Autilla del Pino distrito 01	12981.0	12250.0	30461.0	27982.0	
