Atlas de Distribución de Renta de los Hogares
Palmas, Las
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
35001 Agaete	9691.0	9398.0	25508.0	25226.0	
3500101 Agaete distrito 01	9691.0	9398.0	25508.0	25226.0	
3500101001 Agaete sección 01001	9592.0	9331.0	25806.0	25690.0	
3500101002 Agaete sección 01002	9242.0	8780.0	25022.0	24569.0	
3500101003 Agaete sección 01003	8909.0	8607.0	23407.0	23383.0	
3500101004 Agaete sección 01004	11381.0	11001.0	27429.0	26158.0	
3500101005 Agaete sección 01005	9683.0	9672.0	25951.0	26323.0	
35002 Agüimes	9314.0	8979.0	26296.0	25516.0	
3500201 Agüimes distrito 01	9314.0	8979.0	26296.0	25516.0	
3500201001 Agüimes sección 01001	9084.0	8605.0	26431.0	25909.0	
3500201002 Agüimes sección 01002	9792.0	9565.0	27425.0	27541.0	
3500201003 Agüimes sección 01003	8161.0	7765.0	25009.0	23438.0	
3500201004 Agüimes sección 01004	8815.0	8595.0	25111.0	25282.0	
3500201005 Agüimes sección 01005	6478.0	6157.0	20278.0	18324.0	
3500201006 Agüimes sección 01006	11205.0	10517.0	24747.0	23812.0	
3500201007 Agüimes sección 01007	9804.0	9642.0	31189.0	30914.0	
3500201008 Agüimes sección 01008	9325.0	8986.0	26227.0	25879.0	
3500201009 Agüimes sección 01009	8132.0	7994.0	24142.0	23666.0	
3500201010 Agüimes sección 01010	11173.0	10521.0	28066.0	26792.0	
3500201011 Agüimes sección 01011	7939.0	7502.0	22269.0	21482.0	
3500201012 Agüimes sección 01012	11250.0	10930.0	27083.0	26458.0	
3500201013 Agüimes sección 01013	7430.0	7195.0	23876.0	22975.0	
3500201014 Agüimes sección 01014	10034.0	9878.0	32083.0	32318.0	
3500201015 Agüimes sección 01015	7622.0	7449.0	24805.0	24361.0	
3500201016 Agüimes sección 01016	10108.0	9737.0	25682.0	24613.0	
3500201017 Agüimes sección 01017	8912.0	8536.0	27134.0	25869.0	
3500201018 Agüimes sección 01018	10413.0	10317.0	27367.0	27537.0	
3500201019 Agüimes sección 01019	10347.0	9876.0	30354.0	29307.0	
35020 Aldea de San Nicolás, La	7702.0	7695.0	21976.0	21707.0	
3502001 Aldea de San Nicolás, La distrito 01	7702.0	7695.0	21976.0	21707.0	
3502001001 Aldea de San Nicolás, La sección 01001	8583.0	8700.0	23011.0	23320.0	
3502001002 Aldea de San Nicolás, La sección 01002	6955.0	6874.0	20922.0	20259.0	
3502001003 Aldea de San Nicolás, La sección 01003	7936.0	7707.0	22970.0	22380.0	
3502001004 Aldea de San Nicolás, La sección 01004	7626.0	7737.0	21964.0	21639.0	
3502001005 Aldea de San Nicolás, La sección 01005	7314.0	7026.0	22229.0	21397.0	
3502001006 Aldea de San Nicolás, La sección 01006	7213.0	7274.0	19739.0	20100.0	
3502001007 Aldea de San Nicolás, La sección 01007	7553.0	7722.0	21586.0	21175.0	
35003 Antigua	8182.0	7968.0	21319.0	20691.0	
3500301 Antigua distrito 01	8182.0	7968.0	21319.0	20691.0	
3500301001 Antigua sección 01001	9900.0	9338.0	30027.0	28575.0	
3500301002 Antigua sección 01002	9115.0	8839.0	25568.0	24500.0	
3500301003 Antigua sección 01003	7892.0	7764.0	19463.0	18803.0	
3500301004 Antigua sección 01004	5481.0	5562.0	12091.0	12250.0	
3500301005 Antigua sección 01005	8594.0	8161.0	25397.0	24482.0	
35004 Arrecife	8811.0	8503.0	25547.0	24460.0	
3500401 Arrecife distrito 01	9833.0	9476.0	27235.0	26104.0	
3500401001 Arrecife sección 01001	12042.0	11575.0	32087.0	30841.0	
3500401002 Arrecife sección 01002	7855.0	7603.0	22731.0	21483.0	
3500401003 Arrecife sección 01003	12308.0	11938.0	31509.0	30010.0	
3500401004 Arrecife sección 01004	10302.0	10137.0	26071.0	25593.0	
3500401005 Arrecife sección 01005	7658.0	7226.0	23050.0	22062.0	
3500401006 Arrecife sección 01006	8308.0	7885.0	24220.0	22872.0	
3500401007 Arrecife sección 01007	8883.0	8894.0	25009.0	24270.0	
3500401008 Arrecife sección 01008	9074.0	8461.0	24560.0	23248.0	
3500401009 Arrecife sección 01009	13063.0	12750.0	35923.0	34913.0	
3500401010 Arrecife sección 01010	11019.0	10418.0	30279.0	28127.0	
3500401011 Arrecife sección 01011	9969.0	9633.0	27733.0	26399.0	
3500401012 Arrecife sección 01012	8558.0	8122.0	24487.0	24029.0	
3500402 Arrecife distrito 02	8245.0	7957.0	24543.0	23473.0	
3500402001 Arrecife sección 02001	7912.0	7617.0	23850.0	22716.0	
3500402002 Arrecife sección 02002	8451.0	8288.0	25436.0	23961.0	
3500402003 Arrecife sección 02003	8155.0	7791.0	25294.0	24250.0	
3500402004 Arrecife sección 02004	7105.0	6956.0	23582.0	23113.0	
3500402005 Arrecife sección 02005	12981.0	12471.0	37037.0	36171.0	
3500402006 Arrecife sección 02006	8334.0	7925.0	25677.0	24194.0	
3500402007 Arrecife sección 02007	7679.0	7275.0	22685.0	21815.0	
3500402008 Arrecife sección 02008	8307.0	8196.0	22747.0	22160.0	
3500402009 Arrecife sección 02009	7908.0	7597.0	24801.0	23657.0	
3500402010 Arrecife sección 02010	7331.0	7273.0	22311.0	21542.0	
3500402011 Arrecife sección 02011	9234.0	8691.0	25724.0	24089.0	
3500402012 Arrecife sección 02012	7338.0	7261.0	21657.0	21143.0	
3500402013 Arrecife sección 02013	8417.0	8373.0	25795.0	24842.0	
3500402014 Arrecife sección 02014	7631.0	7369.0	22305.0	21469.0	
3500402015 Arrecife sección 02015	8239.0	7930.0	23292.0	22027.0	
3500402016 Arrecife sección 02016	7895.0	7440.0	22916.0	21749.0	
3500402017 Arrecife sección 02017	7263.0	6923.0	21610.0	20456.0	
3500402018 Arrecife sección 02018	8503.0	8307.0	25497.0	24308.0	
3500402019 Arrecife sección 02019	7562.0	6781.0	22324.0	19947.0	
3500402020 Arrecife sección 02020	7333.0	7062.0	22535.0	20938.0	
35005 Artenara	11247.0	10779.0	28366.0	27374.0	
3500501 Artenara distrito 01	11247.0	10779.0	28366.0	27374.0	
