Atlas de Distribución de Renta de los Hogares
Pontevedra
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
36020 Agolada	8817.0	8481.0	17235.0	16731.0	
3602001 Agolada distrito 01	9309.0	9034.0	19891.0	19409.0	
3602001001 Agolada sección 01001	9309.0	9034.0	19891.0	19409.0	
3602002 Agolada distrito 02	8384.0	7927.0	13482.0	12998.0	
3602002001 Agolada sección 02001	8384.0	7927.0	13482.0	12998.0	
3602003 Agolada distrito 03	8338.0	8042.0	17854.0	17300.0	
3602003001 Agolada sección 03001	8338.0	8042.0	17854.0	17300.0	
36001 Arbo	8845.0	8706.0	19480.0	19141.0	
3600101 Arbo distrito 01	8788.0	8691.0	20273.0	20045.0	
3600101001 Arbo sección 01001	8788.0	8691.0	20273.0	20045.0	
3600102 Arbo distrito 02	8798.0	9004.0	19220.0	19447.0	
3600102001 Arbo sección 02001	8798.0	9004.0	19220.0	19447.0	
3600103 Arbo distrito 03	8976.0	8394.0	18770.0	17682.0	
3600103001 Arbo sección 03001	8976.0	8394.0	18770.0	17682.0	
36003 Baiona	11142.0	10690.0	29636.0	28505.0	
3600301 Baiona distrito 01	11061.0	10467.0	28774.0	27318.0	
3600301001 Baiona sección 01001	10579.0	10140.0	26583.0	25504.0	
3600301002 Baiona sección 01002	10785.0	10522.0	30274.0	29505.0	
3600301003 Baiona sección 01003	12029.0	10065.0	33157.0	28060.0	
3600301004 Baiona sección 01004	11054.0	10832.0	26168.0	25809.0	
3600302 Baiona distrito 02	11218.0	10900.0	30474.0	29667.0	
3600302001 Baiona sección 02001	9945.0	9714.0	25868.0	25532.0	
3600302002 Baiona sección 02002	9792.0	9445.0	28333.0	27616.0	
3600302003 Baiona sección 02003	13402.0	12950.0	37642.0	36011.0	
3600302004 Baiona sección 02004	11259.0	11054.0	29569.0	28991.0	
36002 Barro	9138.0	8798.0	22972.0	22646.0	
3600201 Barro distrito 01	8887.0	8500.0	23050.0	22112.0	
3600201001 Barro sección 01001	8437.0	8076.0	24114.0	23203.0	
3600201002 Barro sección 01002	9241.0	8845.0	22344.0	21368.0	
3600202 Barro distrito 02	9391.0	9100.0	22898.0	23176.0	
3600202001 Barro sección 02001	9406.0	9230.0	22887.0	23276.0	
3600202002 Barro sección 02002	9371.0	8916.0	22913.0	23032.0	
36004 Bueu	10305.0	9760.0	24485.0	23906.0	
3600401 Bueu distrito 01	10028.0	9503.0	24734.0	23982.0	
3600401001 Bueu sección 01001	10015.0	9374.0	26675.0	25250.0	
3600401002 Bueu sección 01002	10422.0	9783.0	22867.0	22827.0	
3600401003 Bueu sección 01003	10562.0	9774.0	23720.0	22827.0	
3600401004 Bueu sección 01004	10070.0	9614.0	23794.0	23181.0	
3600401005 Bueu sección 01005	9948.0	9584.0	26197.0	25585.0	
3600401006 Bueu sección 01006	9172.0	8703.0	21119.0	20565.0	
3600402 Bueu distrito 02	11244.0	10876.0	25721.0	25895.0	
3600402001 Bueu sección 02001	11932.0	11529.0	27139.0	27247.0	
3600402002 Bueu sección 02002	9671.0	9426.0	22416.0	22823.0	
3600403 Bueu distrito 03	10422.0	9689.0	23105.0	22455.0	
3600403001 Bueu sección 03001	10344.0	9631.0	23891.0	23059.0	
3600403002 Bueu sección 03002	10502.0	9748.0	22372.0	21881.0	
36005 Caldas de Reis	8826.0	8486.0	25210.0	24446.0	
3600501 Caldas de Reis distrito 01	8958.0	8629.0	24628.0	23957.0	
3600501001 Caldas de Reis sección 01001	9220.0	8952.0	25148.0	24383.0	
3600501002 Caldas de Reis sección 01002	9019.0	8547.0	27057.0	26047.0	
3600501003 Caldas de Reis sección 01003	8608.0	8377.0	25091.0	25219.0	
3600501004 Caldas de Reis sección 01004	8919.0	8537.0	23238.0	22319.0	
3600502 Caldas de Reis distrito 02	8307.0	7881.0	25853.0	24761.0	
3600502001 Caldas de Reis sección 02001	8202.0	7941.0	24234.0	23860.0	
3600502002 Caldas de Reis sección 02002	8393.0	7832.0	27312.0	25557.0	
3600503 Caldas de Reis distrito 03	8746.0	8447.0	27419.0	26456.0	
3600503001 Caldas de Reis sección 03001	8223.0	8117.0	26905.0	26447.0	
3600503002 Caldas de Reis sección 03002	9259.0	8767.0	27882.0	26465.0	
36006 Cambados	8803.0	8837.0	24757.0	21942.0	
3600601 Cambados distrito 01	8715.0	8742.0	24743.0	21975.0	
3600601001 Cambados sección 01001	9411.0	9056.0	25617.0	25348.0	
3600601002 Cambados sección 01002	8345.0	8559.0	24245.0	20307.0	
3600602 Cambados distrito 02	8857.0	8940.0	24845.0	21918.0	
3600602001 Cambados sección 02001	9207.0	9122.0	24342.0	23909.0	
3600602002 Cambados sección 02002	8347.0	8705.0	25302.0	20005.0	
3600602003 Cambados sección 02003	8164.0	8462.0	25084.0	18196.0	
3600602004 Cambados sección 02004	9433.0	9254.0	24944.0	24544.0	
3600603 Cambados distrito 03	8790.0	8767.0	24653.0	21953.0	
3600603001 Cambados sección 03001	9285.0	8894.0	25010.0	24227.0	
3600603002 Cambados sección 03002	8015.0	8196.0	23296.0	18789.0	
3600603003 Cambados sección 03003	9894.0	9816.0	27084.0	26948.0	
36007 Campo Lameiro	8899.0	8499.0	24198.0	23337.0	
3600701 Campo Lameiro distrito 01	9380.0	8845.0	23139.0	21930.0	
3600701001 Campo Lameiro sección 01001	9380.0	8845.0	23139.0	21930.0	
3600702 Campo Lameiro distrito 02	8649.0	8312.0	24842.0	24225.0	
3600702001 Campo Lameiro sección 02001	8649.0	8312.0	24842.0	24225.0	
36008 Cangas	10245.0	9732.0	27080.0	25867.0	
3600801 Cangas distrito 01	9954.0	9487.0	24687.0	23670.0	
3600801001 Cangas sección 01001	9947.0	9538.0	24433.0	23090.0	
3600801002 Cangas sección 01002	10202.0	9559.0	25447.0	23940.0	
3600801003 Cangas sección 01003	10082.0	9418.0	24036.0	23058.0	
3600801004 Cangas sección 01004	9695.0	9463.0	25418.0	25056.0	
3600802 Cangas distrito 02	10114.0	9644.0	27043.0	25933.0	
3600802001 Cangas sección 02001	9729.0	8933.0	27612.0	25626.0	
3600802002 Cangas sección 02002	9941.0	9582.0	25662.0	24805.0	
3600802003 Cangas sección 02003	10672.0	9741.0	26599.0	24449.0	
3600802004 Cangas sección 02004	10031.0	9872.0	27789.0	27486.0	
3600802005 Cangas sección 02005	10974.0	10379.0	30052.0	28917.0	
3600802006 Cangas sección 02006	10839.0	10624.0	30191.0	29364.0	
3600802007 Cangas sección 02007	9201.0	8823.0	26119.0	24715.0	
3600802008 Cangas sección 02008	9992.0	9335.0	24537.0	23160.0	
3600802009 Cangas sección 02009	9772.0	9791.0	25838.0	26421.0	
3600802010 Cangas sección 02010	10137.0	9920.0	26466.0	26300.0	
3600803 Cangas distrito 03	10962.0	10271.0	30597.0	28794.0	
3600803001 Cangas sección 03001	10663.0	10350.0	30948.0	29680.0	
3600803002 Cangas sección 03002	10752.0	10111.0	30804.0	29162.0	
3600803003 Cangas sección 03003	10294.0	9830.0	27715.0	26735.0	
3600803004 Cangas sección 03004	12238.0	10875.0	33711.0	30225.0	
36009 Cañiza, A	8015.0	7839.0	18281.0	18146.0	
3600901 Cañiza, A distrito 01	8173.0	7958.0	19425.0	19156.0	
3600901001 Cañiza, A sección 01001	7767.0	7650.0	19586.0	19399.0	
3600901002 Cañiza, A sección 01002	8347.0	8133.0	19844.0	19542.0	
3600901003 Cañiza, A sección 01003	8288.0	7910.0	17998.0	17720.0	
3600902 Cañiza, A distrito 02	7167.0	7234.0	15042.0	15563.0	
3600902001 Cañiza, A sección 02001	7167.0	7234.0	15042.0	15563.0	
3600903 Cañiza, A distrito 03	7972.0	7810.0	16361.0	16337.0	
3600903001 Cañiza, A sección 03001	7972.0	7810.0	16361.0	16337.0	
36010 Catoira	9568.0	8996.0	27254.0	25932.0	
3601001 Catoira distrito 01	9568.0	8996.0	27254.0	25932.0	
3601001001 Catoira sección 01001	9617.0	9025.0	26220.0	24804.0	
3601001002 Catoira sección 01002	9503.0	8959.0	28815.0	27601.0	
36011 Cerdedo	""	10045.0	""	21238.0	
3601101 Cerdedo distrito 01	""	10214.0	""	24049.0	
3601101001 Cerdedo sección 01001	""	10214.0	""	24049.0	
3601102 Cerdedo distrito 02	""	9836.0	""	18470.0	
3601102001 Cerdedo sección 02001	""	9836.0	""	18470.0	
36902 Cerdedo-Cotobade	9696.0	""	24607.0	""	
3690201 Cerdedo-Cotobade distrito 01	9461.0	""	24942.0	""	
3690201001 Cerdedo-Cotobade sección 01001	10142.0	""	23722.0	""	
3690201002 Cerdedo-Cotobade sección 01002	9162.0	""	22873.0	""	
3690201003 Cerdedo-Cotobade sección 01003	9248.0	""	21659.0	""	
3690201004 Cerdedo-Cotobade sección 01004	9528.0	""	28184.0	""	
3690201005 Cerdedo-Cotobade sección 01005	9341.0	""	26820.0	""	
3690202 Cerdedo-Cotobade distrito 02	10285.0	""	23869.0	""	
3690202001 Cerdedo-Cotobade sección 02001	10238.0	""	24634.0	""	
3690202002 Cerdedo-Cotobade sección 02002	10344.0	""	22986.0	""	
36012 Cotobade	""	9245.0	""	24525.0	
3601201 Cotobade distrito 01	""	9566.0	""	23336.0	
3601201001 Cotobade sección 01001	""	9902.0	""	23513.0	
3601201002 Cotobade sección 01002	""	9245.0	""	23159.0	
3601202 Cotobade distrito 02	""	9198.0	""	24093.0	
3601202001 Cotobade sección 02001	""	9074.0	""	21301.0	
3601202002 Cotobade sección 02002	""	9306.0	""	27143.0	
3601203 Cotobade distrito 03	""	8988.0	""	26165.0	
3601203001 Cotobade sección 03001	""	8988.0	""	26165.0	
36013 Covelo	8899.0	8950.0	17819.0	17719.0	
3601301 Covelo distrito 01	8673.0	8807.0	18142.0	18109.0	
3601301001 Covelo sección 01001	8378.0	8658.0	19415.0	19730.0	
3601301003 Covelo sección 01003	9058.0	8993.0	16809.0	16478.0	
3601302 Covelo distrito 02	9173.0	9124.0	17462.0	17282.0	
3601302001 Covelo sección 02001	9173.0	9124.0	17462.0	17282.0	
36014 Crecente	9080.0	9018.0	19732.0	19700.0	
3601401 Crecente distrito 01	9080.0	8922.0	19732.0	20999.0	
3601401001 Crecente sección 01001	9006.0	8857.0	20128.0	19867.0	
3601401002 Crecente sección 01002	9114.0	8973.0	19555.0	21976.0	
3601402 Crecente distrito 02	""	9265.0	""	17095.0	
3601402001 Crecente sección 02001	""	9265.0	""	17095.0	
36015 Cuntis	9515.0	9283.0	23283.0	23044.0	
3601501 Cuntis distrito 01	9853.0	9630.0	24507.0	24142.0	
3601501001 Cuntis sección 01001	10099.0	9975.0	27252.0	26961.0	
3601501002 Cuntis sección 01002	9424.0	9044.0	20628.0	20183.0	
3601502 Cuntis distrito 02	9193.0	8880.0	27295.0	26749.0	
3601502001 Cuntis sección 02001	9193.0	8880.0	27295.0	26749.0	
3601503 Cuntis distrito 03	9136.0	8949.0	19234.0	19283.0	
3601503001 Cuntis sección 03001	9061.0	8918.0	18994.0	19693.0	
3601503002 Cuntis sección 03002	9209.0	8981.0	19471.0	18897.0	
36016 Dozón	8038.0	7328.0	26101.0	24989.0	
3601601 Dozón distrito 01	8038.0	7596.0	26101.0	27416.0	
3601601001 Dozón sección 01001	8038.0	7596.0	26101.0	27416.0	
3601602 Dozón distrito 02	""	6974.0	""	22159.0	
3601602001 Dozón sección 02001	""	6974.0	""	22159.0	
36017 Estrada, A	9338.0	9074.0	25111.0	24627.0	
3601701 Estrada, A distrito 01	9586.0	9340.0	25274.0	24840.0	
3601701001 Estrada, A sección 01001	11541.0	10906.0	29806.0	28406.0	
3601701002 Estrada, A sección 01002	10079.0	9937.0	25034.0	24800.0	
3601701003 Estrada, A sección 01003	8006.0	9195.0	22635.0	25999.0	
3601701004 Estrada, A sección 01004	9996.0	9500.0	27172.0	26161.0	
3601701006 Estrada, A sección 01006	9292.0	8780.0	24573.0	23459.0	
3601701007 Estrada, A sección 01007	9391.0	9004.0	24717.0	23775.0	
3601701008 Estrada, A sección 01008	9035.0	8726.0	24285.0	23863.0	
3601701009 Estrada, A sección 01009	10296.0	9824.0	26490.0	25384.0	
3601701010 Estrada, A sección 01010	8800.0	8654.0	23189.0	23095.0	
3601702 Estrada, A distrito 02	9113.0	8749.0	26724.0	25912.0	
3601702001 Estrada, A sección 02001	8586.0	8325.0	26452.0	26016.0	
3601702002 Estrada, A sección 02002	9619.0	9103.0	28534.0	27221.0	
3601702003 Estrada, A sección 02003	9302.0	8934.0	25810.0	24976.0	
3601703 Estrada, A distrito 03	8740.0	8351.0	25076.0	24217.0	
3601703001 Estrada, A sección 03001	8366.0	8145.0	24877.0	24299.0	
3601703002 Estrada, A sección 03002	9117.0	8555.0	25263.0	24141.0	
3601704 Estrada, A distrito 04	9292.0	8937.0	24960.0	24288.0	
3601704001 Estrada, A sección 04001	9292.0	8937.0	24960.0	24288.0	
3601705 Estrada, A distrito 05	8805.0	8653.0	24507.0	24273.0	
3601705001 Estrada, A sección 05001	8161.0	7978.0	22121.0	21939.0	
3601705002 Estrada, A sección 05002	9160.0	9020.0	25877.0	25581.0	
3601706 Estrada, A distrito 06	9246.0	9118.0	22322.0	22253.0	
3601706001 Estrada, A sección 06001	9126.0	8954.0	22557.0	22153.0	
3601706002 Estrada, A sección 06002	9351.0	9258.0	22125.0	22336.0	
36018 Forcarei	9748.0	9481.0	21565.0	20276.0	
3601801 Forcarei distrito 01	9693.0	9464.0	22940.0	20745.0	
3601801001 Forcarei sección 01001	9894.0	9791.0	21552.0	21428.0	
3601801002 Forcarei sección 01002	9543.0	9435.0	24136.0	20280.0	
3601801003 Forcarei sección 01003	""	9025.0	""	20178.0	
3601802 Forcarei distrito 02	9819.0	9503.0	20056.0	19713.0	
3601802001 Forcarei sección 02001	9819.0	9503.0	20056.0	19713.0	
36019 Fornelos de Montes	8866.0	8710.0	22456.0	22569.0	
3601901 Fornelos de Montes distrito 01	8866.0	8710.0	22456.0	22569.0	
3601901001 Fornelos de Montes sección 01001	8948.0	8903.0	22237.0	23016.0	
3601901002 Fornelos de Montes sección 01002	8749.0	8428.0	22781.0	21912.0	
36021 Gondomar	10022.0	9673.0	28507.0	27646.0	
3602101 Gondomar distrito 01	10178.0	9904.0	28247.0	27641.0	
3602101001 Gondomar sección 01001	9977.0	9615.0	25960.0	25032.0	
