Atlas de Distribución de Renta de los Hogares
Rioja, La
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
26001 Ábalos	10651.0	10775.0	26217.0	25207.0	
2600101 Ábalos distrito 01	10651.0	10775.0	26217.0	25207.0	
2600101001 Ábalos sección 01001	10651.0	10775.0	26217.0	25207.0	
26002 Agoncillo	11857.0	11096.0	27173.0	25874.0	
2600201 Agoncillo distrito 01	11857.0	11096.0	27173.0	25874.0	
2600201001 Agoncillo sección 01001	11857.0	11096.0	27173.0	25874.0	
26003 Aguilar del Río Alhama	10593.0	10354.0	22555.0	22087.0	
2600301 Aguilar del Río Alhama distrito 01	10593.0	10354.0	22555.0	22087.0	
2600301001 Aguilar del Río Alhama sección 01001	10593.0	10354.0	22555.0	22087.0	
26004 Ajamil de Cameros	.	.	.	.	
2600401 Ajamil de Cameros distrito 01	.	.	.	.	
2600401001 Ajamil de Cameros sección 01001	.	.	.	.	
26005 Albelda de Iregua	10386.0	9877.0	26669.0	24221.0	
2600501 Albelda de Iregua distrito 01	10963.0	10480.0	28259.0	24584.0	
2600501001 Albelda de Iregua sección 01001	10963.0	10480.0	28259.0	24584.0	
2600502 Albelda de Iregua distrito 02	9748.0	9563.0	24928.0	24019.0	
2600502001 Albelda de Iregua sección 02001	9748.0	9563.0	24928.0	24019.0	
26006 Alberite	10725.0	10350.0	26379.0	25682.0	
2600601 Alberite distrito 01	10725.0	10350.0	26379.0	25682.0	
2600601001 Alberite sección 01001	10725.0	10350.0	26379.0	25682.0	
26007 Alcanadre	9802.0	9560.0	21743.0	21057.0	
2600701 Alcanadre distrito 01	9802.0	9560.0	21743.0	21057.0	
2600701001 Alcanadre sección 01001	9802.0	9560.0	21743.0	21057.0	
26008 Aldeanueva de Ebro	9240.0	8984.0	25280.0	24331.0	
2600801 Aldeanueva de Ebro distrito 01	9207.0	9063.0	25525.0	24763.0	
2600801001 Aldeanueva de Ebro sección 01001	9207.0	9063.0	25525.0	24763.0	
2600802 Aldeanueva de Ebro distrito 02	9272.0	8905.0	25043.0	23910.0	
2600802001 Aldeanueva de Ebro sección 02001	9272.0	8905.0	25043.0	23910.0	
26009 Alesanco	9413.0	9799.0	21733.0	22986.0	
2600901 Alesanco distrito 01	9413.0	9799.0	21733.0	22986.0	
2600901001 Alesanco sección 01001	9413.0	9799.0	21733.0	22986.0	
26010 Alesón	12450.0	11906.0	26364.0	26847.0	
2601001 Alesón distrito 01	12450.0	11906.0	26364.0	26847.0	
2601001001 Alesón sección 01001	12450.0	11906.0	26364.0	26847.0	
26011 Alfaro	10850.0	10768.0	27408.0	27101.0	
2601101 Alfaro distrito 01	10215.0	10055.0	26020.0	25398.0	
2601101001 Alfaro sección 01001	10393.0	10482.0	26264.0	26056.0	
2601101002 Alfaro sección 01002	9594.0	9270.0	25427.0	24498.0	
2601101003 Alfaro sección 01003	10899.0	10563.0	26480.0	25613.0	
2601102 Alfaro distrito 02	11462.0	11462.0	28723.0	28748.0	
2601102001 Alfaro sección 02001	10959.0	10894.0	26927.0	26878.0	
2601102002 Alfaro sección 02002	9754.0	9534.0	24809.0	24433.0	
2601102003 Alfaro sección 02003	12877.0	13102.0	32385.0	32770.0	
26012 Almarza de Cameros	.	.	.	.	
2601201 Almarza de Cameros distrito 01	.	.	.	.	
2601201001 Almarza de Cameros sección 01001	.	.	.	.	
26013 Anguciana	10158.0	9495.0	21768.0	20177.0	
2601301 Anguciana distrito 01	10158.0	9495.0	21768.0	20177.0	
2601301001 Anguciana sección 01001	10158.0	9495.0	21768.0	20177.0	
26014 Anguiano	12202.0	11882.0	25008.0	24399.0	
2601401 Anguiano distrito 01	12202.0	11882.0	25008.0	24399.0	
2601401001 Anguiano sección 01001	12202.0	11882.0	25008.0	24399.0	
26015 Arenzana de Abajo	9320.0	8543.0	18717.0	17226.0	
2601501 Arenzana de Abajo distrito 01	9320.0	8543.0	18717.0	17226.0	
2601501001 Arenzana de Abajo sección 01001	9320.0	8543.0	18717.0	17226.0	
26016 Arenzana de Arriba	.	.	.	.	
2601601 Arenzana de Arriba distrito 01	.	.	.	.	
2601601001 Arenzana de Arriba sección 01001	.	.	.	.	
26017 Arnedillo	8345.0	10513.0	18807.0	23425.0	
2601701 Arnedillo distrito 01	8345.0	10513.0	18807.0	23425.0	
2601701001 Arnedillo sección 01001	8345.0	10513.0	18807.0	23425.0	
26018 Arnedo	10091.0	9914.0	27000.0	26192.0	
2601801 Arnedo distrito 01	7958.0	7838.0	21557.0	21189.0	
2601801001 Arnedo sección 01001	8773.0	8402.0	23635.0	22615.0	
2601801002 Arnedo sección 01002	7293.0	7119.0	19631.0	19034.0	
2601801004 Arnedo sección 01004	8050.0	8228.0	22102.0	22644.0	
2601802 Arnedo distrito 02	10913.0	10744.0	29062.0	28129.0	
2601802001 Arnedo sección 02001	10641.0	10825.0	31276.0	31613.0	
2601802002 Arnedo sección 02002	11118.0	10556.0	29459.0	27279.0	
2601802003 Arnedo sección 02003	10594.0	10196.0	26779.0	25522.0	
2601802004 Arnedo sección 02004	11597.0	10932.0	27935.0	26121.0	
2601802005 Arnedo sección 02005	10052.0	9825.0	24806.0	23687.0	
2601802006 Arnedo sección 02006	10378.0	10876.0	27734.0	28667.0	
2601802007 Arnedo sección 02007	11641.0	11598.0	34449.0	33433.0	
26019 Arrúbal	10669.0	10418.0	26061.0	25302.0	
2601901 Arrúbal distrito 01	10669.0	10418.0	26061.0	25302.0	
2601901001 Arrúbal sección 01001	10669.0	10418.0	26061.0	25302.0	
26020 Ausejo	7705.0	7926.0	21076.0	20711.0	
2602001 Ausejo distrito 01	7705.0	7926.0	21076.0	20711.0	
2602001001 Ausejo sección 01001	7705.0	7926.0	21076.0	20711.0	
26021 Autol	9423.0	9181.0	25738.0	24720.0	
2602101 Autol distrito 01	9628.0	9362.0	26224.0	25245.0	
2602101001 Autol sección 01001	8967.0	8721.0	25130.0	24058.0	
2602101002 Autol sección 01002	10315.0	10042.0	27297.0	26448.0	
2602102 Autol distrito 02	8934.0	8743.0	24569.0	23458.0	
2602102001 Autol sección 02001	8934.0	8743.0	24569.0	23458.0	
26022 Azofra	11821.0	11457.0	20194.0	19710.0	
2602201 Azofra distrito 01	11821.0	11457.0	20194.0	19710.0	
