Atlas de Distribución de Renta de los Hogares
Salamanca
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
37001 Abusejo	9280.0	9412.0	22317.0	22521.0	
3700101 Abusejo distrito 01	9280.0	9412.0	22317.0	22521.0	
3700101001 Abusejo sección 01001	9280.0	9412.0	22317.0	22521.0	
37002 Agallas	10085.0	10134.0	20472.0	19965.0	
3700201 Agallas distrito 01	10085.0	10134.0	20472.0	19965.0	
3700201001 Agallas sección 01001	10085.0	10134.0	20472.0	19965.0	
37003 Ahigal de los Aceiteros	10638.0	9716.0	21624.0	20419.0	
3700301 Ahigal de los Aceiteros distrito 01	10638.0	9716.0	21624.0	20419.0	
3700301001 Ahigal de los Aceiteros sección 01001	10638.0	9716.0	21624.0	20419.0	
37004 Ahigal de Villarino	.	.	.	.	
3700401 Ahigal de Villarino distrito 01	.	.	.	.	
3700401001 Ahigal de Villarino sección 01001	.	.	.	.	
37005 Alameda de Gardón, La	.	.	.	.	
3700501 Alameda de Gardón, La distrito 01	.	.	.	.	
3700501001 Alameda de Gardón, La sección 01001	.	.	.	.	
37006 Alamedilla, La	10183.0	9955.0	20843.0	19621.0	
3700601 Alamedilla, La distrito 01	10183.0	9955.0	20843.0	19621.0	
3700601001 Alamedilla, La sección 01001	10183.0	9955.0	20843.0	19621.0	
37007 Alaraz	9848.0	9238.0	21486.0	20111.0	
3700701 Alaraz distrito 01	9848.0	9238.0	21486.0	20111.0	
3700701001 Alaraz sección 01001	9848.0	9238.0	21486.0	20111.0	
37008 Alba de Tormes	9275.0	9122.0	23003.0	22803.0	
3700801 Alba de Tormes distrito 01	9275.0	9122.0	23003.0	22803.0	
3700801001 Alba de Tormes sección 01001	10773.0	10745.0	25546.0	25729.0	
3700801002 Alba de Tormes sección 01002	8855.0	8816.0	21755.0	21769.0	
3700801003 Alba de Tormes sección 01003	8523.0	8191.0	22046.0	21371.0	
37009 Alba de Yeltes	9344.0	9081.0	19736.0	19618.0	
3700901 Alba de Yeltes distrito 01	9344.0	9081.0	19736.0	19618.0	
3700901001 Alba de Yeltes sección 01001	9344.0	9081.0	19736.0	19618.0	
37010 Alberca, La	10059.0	9829.0	24209.0	23790.0	
3701001 Alberca, La distrito 01	10059.0	9829.0	24209.0	23790.0	
3701001001 Alberca, La sección 01001	10059.0	9829.0	24209.0	23790.0	
37011 Alberguería de Argañán, La	8545.0	8540.0	19147.0	18961.0	
3701101 Alberguería de Argañán, La distrito 01	8545.0	8540.0	19147.0	18961.0	
3701101001 Alberguería de Argañán, La sección 01001	8545.0	8540.0	19147.0	18961.0	
37012 Alconada	10608.0	10838.0	24803.0	26767.0	
3701201 Alconada distrito 01	10608.0	10838.0	24803.0	26767.0	
3701201001 Alconada sección 01001	10608.0	10838.0	24803.0	26767.0	
37015 Aldea del Obispo	6852.0	7155.0	14986.0	15019.0	
3701501 Aldea del Obispo distrito 01	6852.0	7155.0	14986.0	15019.0	
3701501001 Aldea del Obispo sección 01001	6852.0	7155.0	14986.0	15019.0	
37013 Aldeacipreste	7420.0	6941.0	16837.0	16151.0	
3701301 Aldeacipreste distrito 01	7420.0	6941.0	16837.0	16151.0	
3701301001 Aldeacipreste sección 01001	7420.0	6941.0	16837.0	16151.0	
37014 Aldeadávila de la Ribera	10787.0	10386.0	17733.0	22793.0	
3701401 Aldeadávila de la Ribera distrito 01	10787.0	10386.0	17733.0	22793.0	
3701401001 Aldeadávila de la Ribera sección 01001	10787.0	10386.0	17733.0	22793.0	
37016 Aldealengua	11399.0	11206.0	26310.0	26259.0	
3701601 Aldealengua distrito 01	11399.0	11206.0	26310.0	26259.0	
3701601001 Aldealengua sección 01001	11399.0	11206.0	26310.0	26259.0	
