Atlas de Distribución de Renta de los Hogares
Santa Cruz de Tenerife
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
38001 Adeje	8057.0	8053.0	22635.0	21911.0	
3800101 Adeje distrito 01	8057.0	8053.0	22635.0	21911.0	
3800101001 Adeje sección 01001	9005.0	8690.0	25489.0	24044.0	
3800101002 Adeje sección 01002	7245.0	7245.0	22837.0	22659.0	
3800101003 Adeje sección 01003	8184.0	8213.0	24208.0	23580.0	
3800101004 Adeje sección 01004	7687.0	7659.0	21889.0	21716.0	
3800101005 Adeje sección 01005	8429.0	8321.0	26356.0	25499.0	
3800101006 Adeje sección 01006	7940.0	7733.0	25098.0	24426.0	
3800101007 Adeje sección 01007	6758.0	6651.0	17045.0	16197.0	
3800101008 Adeje sección 01008	7489.0	7558.0	19141.0	18568.0	
3800101009 Adeje sección 01009	9664.0	9797.0	29420.0	28798.0	
3800101010 Adeje sección 01010	10439.0	10334.0	35754.0	35455.0	
3800101011 Adeje sección 01011	6865.0	6798.0	16497.0	15395.0	
3800101012 Adeje sección 01012	8260.0	7891.0	24126.0	22281.0	
3800101013 Adeje sección 01013	8790.0	10021.0	24362.0	26137.0	
3800101014 Adeje sección 01014	8634.0	8427.0	24434.0	23325.0	
3800101015 Adeje sección 01015	7609.0	7521.0	24936.0	23656.0	
3800101016 Adeje sección 01016	7719.0	7563.0	23690.0	23060.0	
3800101017 Adeje sección 01017	7572.0	7501.0	18143.0	17505.0	
3800101018 Adeje sección 01018	8828.0	8568.0	24063.0	21824.0	
38002 Agulo	9677.0	9739.0	23496.0	23668.0	
3800201 Agulo distrito 01	9677.0	9739.0	23496.0	23668.0	
3800201001 Agulo sección 01001	9677.0	9739.0	23496.0	23668.0	
38003 Alajeró	9538.0	9399.0	23027.0	22808.0	
3800301 Alajeró distrito 01	9538.0	9399.0	23027.0	22808.0	
3800301001 Alajeró sección 01001	9538.0	9399.0	23027.0	22808.0	
38004 Arafo	9471.0	9131.0	26899.0	25956.0	
3800401 Arafo distrito 01	9471.0	9131.0	26899.0	25956.0	
3800401001 Arafo sección 01001	9658.0	9272.0	27382.0	26493.0	
3800401002 Arafo sección 01002	8741.0	8548.0	25814.0	25245.0	
3800401003 Arafo sección 01003	9946.0	9538.0	27328.0	26024.0	
38005 Arico	8303.0	8508.0	20989.0	20854.0	
3800501 Arico distrito 01	8303.0	8508.0	20989.0	20854.0	
3800501001 Arico sección 01001	7624.0	7813.0	21103.0	21521.0	
3800501002 Arico sección 01002	8110.0	7714.0	24522.0	23143.0	
3800501003 Arico sección 01003	8310.0	8142.0	21844.0	21428.0	
3800501004 Arico sección 01004	8660.0	9180.0	20462.0	20301.0	
3800501005 Arico sección 01005	8101.0	8539.0	19154.0	19296.0	
3800501006 Arico sección 01006	8481.0	8393.0	23872.0	23841.0	
38006 Arona	7233.0	7294.0	20033.0	19413.0	
3800601 Arona distrito 01	7233.0	7294.0	20033.0	19413.0	
3800601001 Arona sección 01001	9163.0	8765.0	26495.0	25128.0	
3800601002 Arona sección 01002	7940.0	7990.0	23189.0	23302.0	
3800601003 Arona sección 01003	8143.0	7902.0	23886.0	22747.0	
3800601004 Arona sección 01004	7739.0	7541.0	23402.0	22604.0	
3800601005 Arona sección 01005	6895.0	6564.0	19180.0	17154.0	
3800601006 Arona sección 01006	7984.0	7885.0	19037.0	18305.0	
3800601007 Arona sección 01007	5777.0	5669.0	17687.0	16307.0	
3800601008 Arona sección 01008	7329.0	7331.0	19833.0	19449.0	
