Atlas de Distribución de Renta de los Hogares
Segovia
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
40001 Abades	9816.0	9904.0	25349.0	25110.0	
4000101 Abades distrito 01	9816.0	9904.0	25349.0	25110.0	
4000101001 Abades sección 01001	9816.0	9904.0	25349.0	25110.0	
40002 Adrada de Pirón	.	.	.	.	
4000201 Adrada de Pirón distrito 01	.	.	.	.	
4000201001 Adrada de Pirón sección 01001	.	.	.	.	
40003 Adrados	10663.0	9854.0	20290.0	19060.0	
4000301 Adrados distrito 01	10663.0	9854.0	20290.0	19060.0	
4000301001 Adrados sección 01001	10663.0	9854.0	20290.0	19060.0	
40004 Aguilafuente	9811.0	9942.0	22093.0	21699.0	
4000401 Aguilafuente distrito 01	9811.0	9942.0	22093.0	21699.0	
4000401001 Aguilafuente sección 01001	9811.0	9942.0	22093.0	21699.0	
40005 Alconada de Maderuelo	.	.	.	.	
4000501 Alconada de Maderuelo distrito 01	.	.	.	.	
4000501001 Alconada de Maderuelo sección 01001	.	.	.	.	
40012 Aldea Real	10290.0	9926.0	25234.0	24139.0	
4001201 Aldea Real distrito 01	10290.0	9926.0	25234.0	24139.0	
4001201001 Aldea Real sección 01001	10290.0	9926.0	25234.0	24139.0	
40006 Aldealcorvo	.	.	.	.	
4000601 Aldealcorvo distrito 01	.	.	.	.	
4000601001 Aldealcorvo sección 01001	.	.	.	.	
40007 Aldealengua de Pedraza	.	.	.	.	
4000701 Aldealengua de Pedraza distrito 01	.	.	.	.	
4000701001 Aldealengua de Pedraza sección 01001	.	.	.	.	
40008 Aldealengua de Santa María	.	.	.	.	
4000801 Aldealengua de Santa María distrito 01	.	.	.	.	
4000801001 Aldealengua de Santa María sección 01001	.	.	.	.	
40009 Aldeanueva de la Serrezuela	.	.	.	.	
4000901 Aldeanueva de la Serrezuela distrito 01	.	.	.	.	
4000901001 Aldeanueva de la Serrezuela sección 01001	.	.	.	.	
40010 Aldeanueva del Codonal	10772.0	9043.0	21372.0	18517.0	
4001001 Aldeanueva del Codonal distrito 01	10772.0	9043.0	21372.0	18517.0	
4001001001 Aldeanueva del Codonal sección 01001	10772.0	9043.0	21372.0	18517.0	
40013 Aldeasoña	.	.	.	.	
