Atlas de Distribución de Renta de los Hogares
Sevilla
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
41001 Aguadulce	7662.0	7857.0	18519.0	18870.0	
4100101 Aguadulce distrito 01	8550.0	8818.0	20557.0	20457.0	
4100101001 Aguadulce sección 01001	8550.0	8818.0	20557.0	20457.0	
4100102 Aguadulce distrito 02	6989.0	7142.0	16961.0	17614.0	
4100102001 Aguadulce sección 02001	6989.0	7142.0	16961.0	17614.0	
41002 Alanís	7002.0	6778.0	16972.0	16540.0	
4100201 Alanís distrito 01	7002.0	6778.0	16972.0	16540.0	
4100201001 Alanís sección 01001	7267.0	6982.0	17067.0	16127.0	
4100201002 Alanís sección 01002	6746.0	6581.0	16874.0	16985.0	
41003 Albaida del Aljarafe	6848.0	6701.0	20007.0	19583.0	
4100301 Albaida del Aljarafe distrito 01	6848.0	6701.0	20007.0	19583.0	
4100301001 Albaida del Aljarafe sección 01001	7344.0	7233.0	21576.0	21404.0	
4100301002 Albaida del Aljarafe sección 01002	6383.0	6197.0	18550.0	17899.0	
41004 Alcalá de Guadaíra	8547.0	8332.0	24481.0	23916.0	
4100401 Alcalá de Guadaíra distrito 01	10149.0	9902.0	28316.0	27562.0	
4100401002 Alcalá de Guadaíra sección 01002	9815.0	9544.0	28855.0	27949.0	
4100401003 Alcalá de Guadaíra sección 01003	10752.0	10529.0	27472.0	26971.0	
4100402 Alcalá de Guadaíra distrito 02	8349.0	8183.0	23813.0	23596.0	
4100402001 Alcalá de Guadaíra sección 02001	7764.0	7773.0	21663.0	21630.0	
4100402003 Alcalá de Guadaíra sección 02003	9303.0	9031.0	27072.0	26261.0	
4100402004 Alcalá de Guadaíra sección 02004	7533.0	7435.0	21235.0	21462.0	
4100402005 Alcalá de Guadaíra sección 02005	9343.0	9137.0	25415.0	25358.0	
4100402006 Alcalá de Guadaíra sección 02006	7989.0	7760.0	23855.0	23474.0	
4100403 Alcalá de Guadaíra distrito 03	8542.0	8381.0	23026.0	22634.0	
4100403001 Alcalá de Guadaíra sección 03001	10217.0	10014.0	27551.0	27011.0	
4100403002 Alcalá de Guadaíra sección 03002	9294.0	9169.0	23849.0	22828.0	
4100403003 Alcalá de Guadaíra sección 03003	9160.0	9127.0	24579.0	24226.0	
4100403004 Alcalá de Guadaíra sección 03004	8037.0	7939.0	21098.0	20701.0	
4100403005 Alcalá de Guadaíra sección 03005	8273.0	8402.0	22550.0	23105.0	
4100403006 Alcalá de Guadaíra sección 03006	8190.0	8177.0	20880.0	20831.0	
4100403007 Alcalá de Guadaíra sección 03007	7650.0	7423.0	20666.0	20205.0	
4100403008 Alcalá de Guadaíra sección 03008	8541.0	8588.0	24253.0	24610.0	
4100403009 Alcalá de Guadaíra sección 03009	7728.0	7425.0	19734.0	19365.0	
4100403010 Alcalá de Guadaíra sección 03010	8615.0	8227.0	23708.0	22493.0	
4100403011 Alcalá de Guadaíra sección 03011	7546.0	7077.0	21912.0	21028.0	
4100404 Alcalá de Guadaíra distrito 04	8464.0	8229.0	24748.0	24086.0	
4100404001 Alcalá de Guadaíra sección 04001	.	8184.0	.	21864.0	
4100404002 Alcalá de Guadaíra sección 04002	.	8354.0	.	23661.0	
