Atlas de Distribución de Renta de los Hogares
Soria
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
42001 Abejar	11783.0	11973.0	26680.0	26856.0	
4200101 Abejar distrito 01	11783.0	11973.0	26680.0	26856.0	
4200101001 Abejar sección 01001	11783.0	11973.0	26680.0	26856.0	
42003 Adradas	.	.	.	.	
4200301 Adradas distrito 01	.	.	.	.	
4200301001 Adradas sección 01001	.	.	.	.	
42004 Ágreda	11416.0	11125.0	28107.0	27247.0	
4200401 Ágreda distrito 01	11416.0	11125.0	28107.0	27247.0	
4200401001 Ágreda sección 01001	11212.0	10991.0	28073.0	27502.0	
4200401002 Ágreda sección 01002	11673.0	11292.0	28149.0	26944.0	
42006 Alconaba	13152.0	13408.0	31436.0	31885.0	
4200601 Alconaba distrito 01	13152.0	13408.0	31436.0	31885.0	
4200601001 Alconaba sección 01001	13152.0	13408.0	31436.0	31885.0	
42007 Alcubilla de Avellaneda	10145.0	9149.0	14888.0	13665.0	
4200701 Alcubilla de Avellaneda distrito 01	10145.0	9149.0	14888.0	13665.0	
4200701001 Alcubilla de Avellaneda sección 01001	10145.0	9149.0	14888.0	13665.0	
42008 Alcubilla de las Peñas	.	.	.	.	
4200801 Alcubilla de las Peñas distrito 01	.	.	.	.	
4200801001 Alcubilla de las Peñas sección 01001	.	.	.	.	
42009 Aldealafuente	.	.	.	.	
4200901 Aldealafuente distrito 01	.	.	.	.	
4200901001 Aldealafuente sección 01001	.	.	.	.	
42010 Aldealices	.	.	.	.	
4201001 Aldealices distrito 01	.	.	.	.	
4201001001 Aldealices sección 01001	.	.	.	.	
42011 Aldealpozo	.	.	.	.	
4201101 Aldealpozo distrito 01	.	.	.	.	
4201101001 Aldealpozo sección 01001	.	.	.	.	
42012 Aldealseñor	.	.	.	.	
4201201 Aldealseñor distrito 01	.	.	.	.	
4201201001 Aldealseñor sección 01001	.	.	.	.	
42013 Aldehuela de Periáñez	.	.	.	.	
4201301 Aldehuela de Periáñez distrito 01	.	.	.	.	
4201301001 Aldehuela de Periáñez sección 01001	.	.	.	.	
42014 Aldehuelas, Las	.	.	.	.	
4201401 Aldehuelas, Las distrito 01	.	.	.	.	
4201401001 Aldehuelas, Las sección 01001	.	.	.	.	
42015 Alentisque	.	.	.	.	
4201501 Alentisque distrito 01	.	.	.	.	
4201501001 Alentisque sección 01001	.	.	.	.	
42016 Aliud	.	.	.	.	
4201601 Aliud distrito 01	.	.	.	.	
4201601001 Aliud sección 01001	.	.	.	.	
42017 Almajano	10942.0	10656.0	26830.0	26944.0	
4201701 Almajano distrito 01	10942.0	10656.0	26830.0	26944.0	
4201701001 Almajano sección 01001	10942.0	10656.0	26830.0	26944.0	
42018 Almaluez	10359.0	10681.0	19931.0	20589.0	
4201801 Almaluez distrito 01	10359.0	10681.0	19931.0	20589.0	
4201801001 Almaluez sección 01001	10359.0	10681.0	19931.0	20589.0	
42019 Almarza	12791.0	12399.0	30709.0	29556.0	
4201901 Almarza distrito 01	12791.0	12399.0	30709.0	29556.0	
4201901001 Almarza sección 01001	12791.0	12399.0	30709.0	29556.0	
42020 Almazán	10871.0	10640.0	26478.0	26026.0	
4202001 Almazán distrito 01	10871.0	10640.0	26478.0	26026.0	
4202001001 Almazán sección 01001	11618.0	11428.0	28373.0	27643.0	
4202001002 Almazán sección 01002	11144.0	11012.0	27371.0	26970.0	
4202001003 Almazán sección 01003	9969.0	9636.0	24019.0	23755.0	
42021 Almazul	.	.	.	.	
4202101 Almazul distrito 01	.	.	.	.	
4202101001 Almazul sección 01001	.	.	.	.	
42022 Almenar de Soria	13285.0	15028.0	25905.0	28919.0	
4202201 Almenar de Soria distrito 01	13285.0	15028.0	25905.0	28919.0	
4202201001 Almenar de Soria sección 01001	13285.0	15028.0	25905.0	28919.0	
42023 Alpanseque	.	.	.	.	
4202301 Alpanseque distrito 01	.	.	.	.	
4202301001 Alpanseque sección 01001	.	.	.	.	
42024 Arancón	.	.	.	.	
4202401 Arancón distrito 01	.	.	.	.	
4202401001 Arancón sección 01001	.	.	.	.	
42025 Arcos de Jalón	10038.0	9920.0	22143.0	21835.0	
4202501 Arcos de Jalón distrito 01	10038.0	9920.0	22143.0	21835.0	
