Atlas de Distribución de Renta de los Hogares
Tarragona
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
43001 Aiguamúrcia	10343.0	10367.0	25557.0	26123.0	
4300101 Aiguamúrcia distrito 01	10343.0	10367.0	25557.0	26123.0	
4300101001 Aiguamúrcia sección 01001	10343.0	10367.0	25557.0	26123.0	
43002 Albinyana	9848.0	9729.0	26785.0	26371.0	
4300201 Albinyana distrito 01	9848.0	9729.0	26785.0	26371.0	
4300201001 Albinyana sección 01001	9848.0	9729.0	26785.0	26371.0	
43003 Albiol, L'	12878.0	12924.0	38015.0	35681.0	
4300301 Albiol, L' distrito 01	12878.0	12924.0	38015.0	35681.0	
4300301001 Albiol, L' sección 01001	12878.0	12924.0	38015.0	35681.0	
43004 Alcanar	8956.0	8671.0	23258.0	22457.0	
4300401 Alcanar distrito 01	9212.0	8889.0	23779.0	22780.0	
4300401001 Alcanar sección 01001	8198.0	7927.0	22448.0	21491.0	
4300401002 Alcanar sección 01002	8895.0	8692.0	24202.0	23720.0	
4300401003 Alcanar sección 01003	10481.0	9938.0	23408.0	22082.0	
4300401004 Alcanar sección 01004	8839.0	8656.0	25224.0	24226.0	
4300402 Alcanar distrito 02	7993.0	7872.0	21239.0	21216.0	
4300402001 Alcanar sección 02001	8136.0	7956.0	21800.0	21781.0	
4300402002 Alcanar sección 02002	7742.0	7719.0	20273.0	20227.0	
43005 Alcover	11583.0	11278.0	31482.0	30256.0	
4300501 Alcover distrito 01	11204.0	10666.0	30342.0	28544.0	
4300501001 Alcover sección 01001	11204.0	10666.0	30342.0	28544.0	
4300502 Alcover distrito 02	12002.0	11974.0	32751.0	32210.0	
4300502001 Alcover sección 02001	12002.0	11974.0	32751.0	32210.0	
43904 Aldea, L'	8979.0	8635.0	23116.0	22151.0	
4390401 Aldea, L' distrito 01	8979.0	8635.0	23116.0	22151.0	
4390401001 Aldea, L' sección 01001	8757.0	8380.0	22682.0	21700.0	
4390401002 Aldea, L' sección 01002	9289.0	9002.0	23715.0	22786.0	
43006 Aldover	10214.0	9818.0	27249.0	25979.0	
4300601 Aldover distrito 01	10214.0	9818.0	27249.0	25979.0	
4300601001 Aldover sección 01001	10214.0	9818.0	27249.0	25979.0	
43007 Aleixar, L'	10724.0	10434.0	28421.0	27117.0	
4300701 Aleixar, L' distrito 01	10724.0	10434.0	28421.0	27117.0	
4300701001 Aleixar, L' sección 01001	10724.0	10434.0	28421.0	27117.0	
43008 Alfara de Carles	9492.0	9657.0	22392.0	23227.0	
4300801 Alfara de Carles distrito 01	9492.0	9657.0	22392.0	23227.0	
4300801001 Alfara de Carles sección 01001	9492.0	9657.0	22392.0	23227.0	
43009 Alforja	10849.0	10710.0	27532.0	27497.0	
4300901 Alforja distrito 01	10849.0	10710.0	27532.0	27497.0	
4300901001 Alforja sección 01001	10849.0	10710.0	27532.0	27497.0	
43010 Alió	11022.0	11274.0	27588.0	28221.0	
4301001 Alió distrito 01	11022.0	11274.0	27588.0	28221.0	
4301001001 Alió sección 01001	11022.0	11274.0	27588.0	28221.0	
43011 Almoster	15600.0	14773.0	44760.0	43420.0	
4301101 Almoster distrito 01	15600.0	14773.0	44760.0	43420.0	
4301101001 Almoster sección 01001	15600.0	14773.0	44760.0	43420.0	
43012 Altafulla	14506.0	14004.0	37113.0	36101.0	
4301201 Altafulla distrito 01	14506.0	14004.0	37113.0	36101.0	
4301201001 Altafulla sección 01001	12512.0	11069.0	32350.0	28495.0	
4301201002 Altafulla sección 01002	14240.0	13635.0	29809.0	28759.0	
4301201003 Altafulla sección 01003	15745.0	15779.0	45508.0	46271.0	
