Atlas de Distribución de Renta de los Hogares
Teruel
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
44001 Ababuj	.	.	.	.	
4400101 Ababuj distrito 01	.	.	.	.	
4400101001 Ababuj sección 01001	.	.	.	.	
44002 Abejuela	.	.	.	.	
4400201 Abejuela distrito 01	.	.	.	.	
4400201001 Abejuela sección 01001	.	.	.	.	
44003 Aguatón	.	.	.	.	
4400301 Aguatón distrito 01	.	.	.	.	
4400301001 Aguatón sección 01001	.	.	.	.	
44004 Aguaviva	9343.0	9328.0	23402.0	22654.0	
4400401 Aguaviva distrito 01	9343.0	9328.0	23402.0	22654.0	
4400401001 Aguaviva sección 01001	9343.0	9328.0	23402.0	22654.0	
44005 Aguilar del Alfambra	.	.	.	.	
4400501 Aguilar del Alfambra distrito 01	.	.	.	.	
4400501001 Aguilar del Alfambra sección 01001	.	.	.	.	
44006 Alacón	9361.0	9239.0	19073.0	18957.0	
4400601 Alacón distrito 01	9361.0	9239.0	19073.0	18957.0	
4400601001 Alacón sección 01001	9361.0	9239.0	19073.0	18957.0	
44007 Alba	9972.0	9036.0	19837.0	18071.0	
4400701 Alba distrito 01	9972.0	9036.0	19837.0	18071.0	
4400701001 Alba sección 01001	9972.0	9036.0	19837.0	18071.0	
44008 Albalate del Arzobispo	10687.0	11097.0	26338.0	27581.0	
4400801 Albalate del Arzobispo distrito 01	10687.0	11097.0	26338.0	27581.0	
4400801001 Albalate del Arzobispo sección 01001	11139.0	10911.0	28880.0	27869.0	
4400801002 Albalate del Arzobispo sección 01002	11101.0	12112.0	25985.0	29088.0	
4400801003 Albalate del Arzobispo sección 01003	9787.0	10280.0	24074.0	25719.0	
44009 Albarracín	11335.0	11056.0	27738.0	27506.0	
4400901 Albarracín distrito 01	11335.0	11056.0	27738.0	27506.0	
4400901001 Albarracín sección 01001	11335.0	11056.0	27738.0	27506.0	
44010 Albentosa	10159.0	9517.0	25963.0	24934.0	
4401001 Albentosa distrito 01	10159.0	9517.0	25963.0	24934.0	
4401001001 Albentosa sección 01001	10159.0	9517.0	25963.0	24934.0	
44011 Alcaine	.	.	.	.	
4401101 Alcaine distrito 01	.	.	.	.	
4401101001 Alcaine sección 01001	.	.	.	.	
44012 Alcalá de la Selva	11341.0	11269.0	25517.0	25212.0	
4401201 Alcalá de la Selva distrito 01	11341.0	11269.0	25517.0	25212.0	
4401201001 Alcalá de la Selva sección 01001	11341.0	11269.0	25517.0	25212.0	
44013 Alcañiz	10589.0	10213.0	27978.0	27087.0	
4401301 Alcañiz distrito 01	9500.0	8854.0	24006.0	21876.0	
4401301001 Alcañiz sección 01001	9500.0	8854.0	24006.0	21876.0	
4401302 Alcañiz distrito 02	9281.0	8894.0	24819.0	23603.0	
