Atlas de Distribución de Renta de los Hogares
Toledo
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
45001 Ajofrín	8263.0	8048.0	22222.0	21407.0	
4500101 Ajofrín distrito 01	8263.0	8048.0	22222.0	21407.0	
4500101001 Ajofrín sección 01001	8120.0	7860.0	22659.0	21712.0	
4500101002 Ajofrín sección 01002	8500.0	8369.0	21560.0	20934.0	
45002 Alameda de la Sagra	7636.0	7332.0	21148.0	20595.0	
4500201 Alameda de la Sagra distrito 01	7636.0	7332.0	21148.0	20595.0	
4500201001 Alameda de la Sagra sección 01001	7958.0	7562.0	20624.0	20307.0	
4500201002 Alameda de la Sagra sección 01002	7371.0	7135.0	21639.0	20865.0	
45003 Albarreal de Tajo	9089.0	8768.0	22257.0	22273.0	
4500301 Albarreal de Tajo distrito 01	9089.0	8768.0	22257.0	22273.0	
4500301001 Albarreal de Tajo sección 01001	9089.0	8768.0	22257.0	22273.0	
45004 Alcabón	8176.0	7755.0	19317.0	18822.0	
4500401 Alcabón distrito 01	8176.0	7755.0	19317.0	18822.0	
4500401001 Alcabón sección 01001	8176.0	7755.0	19317.0	18822.0	
45005 Alcañizo	8920.0	8760.0	20121.0	19094.0	
4500501 Alcañizo distrito 01	8920.0	8760.0	20121.0	19094.0	
4500501001 Alcañizo sección 01001	8920.0	8760.0	20121.0	19094.0	
45006 Alcaudete de la Jara	6833.0	6803.0	16973.0	16566.0	
4500601 Alcaudete de la Jara distrito 01	6429.0	6339.0	16396.0	15830.0	
4500601001 Alcaudete de la Jara sección 01001	6429.0	6339.0	16396.0	15830.0	
4500602 Alcaudete de la Jara distrito 02	7266.0	7288.0	17558.0	17297.0	
4500602001 Alcaudete de la Jara sección 02001	7266.0	7288.0	17558.0	17297.0	
45007 Alcolea de Tajo	7754.0	7689.0	18919.0	19052.0	
4500701 Alcolea de Tajo distrito 01	7754.0	7689.0	18919.0	19052.0	
4500701001 Alcolea de Tajo sección 01001	7754.0	7689.0	18919.0	19052.0	
45008 Aldea en Cabo	8242.0	7480.0	17751.0	15884.0	
4500801 Aldea en Cabo distrito 01	8242.0	7480.0	17751.0	15884.0	
4500801001 Aldea en Cabo sección 01001	8242.0	7480.0	17751.0	15884.0	
45009 Aldeanueva de Barbarroya	8093.0	8148.0	16601.0	16877.0	
4500901 Aldeanueva de Barbarroya distrito 01	8093.0	8148.0	16601.0	16877.0	
4500901001 Aldeanueva de Barbarroya sección 01001	8093.0	8148.0	16601.0	16877.0	
45010 Aldeanueva de San Bartolomé	10875.0	10573.0	21319.0	20482.0	
4501001 Aldeanueva de San Bartolomé distrito 01	10875.0	10573.0	21319.0	20482.0	
4501001001 Aldeanueva de San Bartolomé sección 01001	10875.0	10573.0	21319.0	20482.0	
45011 Almendral de la Cañada	8941.0	8406.0	17385.0	16503.0	
