Atlas de Distribución de Renta de los Hogares
Valencia/València
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
46001 Ademuz	8470.0	8280.0	20748.0	20710.0	
4600101 Ademuz distrito 01	8470.0	8280.0	20748.0	20710.0	
4600101001 Ademuz sección 01001	8470.0	8280.0	20748.0	20710.0	
46002 Ador	9519.0	9345.0	22941.0	22491.0	
4600201 Ador distrito 01	9519.0	9345.0	22941.0	22491.0	
4600201001 Ador sección 01001	9519.0	9345.0	22941.0	22491.0	
46004 Agullent	9367.0	9045.0	24393.0	23738.0	
4600401 Agullent distrito 01	9367.0	9045.0	24393.0	23738.0	
4600401001 Agullent sección 01001	9367.0	9045.0	24393.0	23738.0	
46042 Aielo de Malferit	9417.0	9132.0	26313.0	25638.0	
4604201 Aielo de Malferit distrito 01	9417.0	9132.0	26313.0	25638.0	
4604201001 Aielo de Malferit sección 01001	9466.0	8928.0	25587.0	24286.0	
4604201002 Aielo de Malferit sección 01002	9378.0	9297.0	26934.0	26800.0	
46043 Aielo de Rugat	12761.0	12583.0	30025.0	30799.0	
4604301 Aielo de Rugat distrito 01	12761.0	12583.0	30025.0	30799.0	
4604301001 Aielo de Rugat sección 01001	12761.0	12583.0	30025.0	30799.0	
46005 Alaquàs	9179.0	8870.0	23652.0	23008.0	
4600501 Alaquàs distrito 01	9054.0	8736.0	22753.0	22263.0	
4600501001 Alaquàs sección 01001	9939.0	9667.0	24751.0	24456.0	
4600501002 Alaquàs sección 01002	11200.0	11481.0	28827.0	29742.0	
4600501003 Alaquàs sección 01003	8386.0	8074.0	20870.0	20721.0	
4600501004 Alaquàs sección 01004	9650.0	9399.0	25191.0	24373.0	
4600501005 Alaquàs sección 01005	9135.0	8863.0	21986.0	21251.0	
4600501006 Alaquàs sección 01006	8265.0	7667.0	20521.0	19861.0	
4600501007 Alaquàs sección 01007	8418.0	8039.0	18709.0	18284.0	
4600501008 Alaquàs sección 01008	7658.0	7241.0	17097.0	16307.0	
4600501010 Alaquàs sección 01010	8667.0	8225.0	24403.0	23339.0	
4600502 Alaquàs distrito 02	9508.0	9185.0	24912.0	24115.0	
4600502001 Alaquàs sección 02001	9097.0	8492.0	21053.0	19462.0	
4600502002 Alaquàs sección 02002	9550.0	9252.0	26286.0	25720.0	
4600502003 Alaquàs sección 02003	8580.0	8260.0	24501.0	24137.0	
4600502004 Alaquàs sección 02004	9164.0	8872.0	26463.0	25689.0	
4600502005 Alaquàs sección 02005	9746.0	9387.0	27181.0	26587.0	
4600502006 Alaquàs sección 02006	8316.0	8013.0	21484.0	20431.0	
4600502007 Alaquàs sección 02007	12589.0	12746.0	27665.0	27372.0	
4600503 Alaquàs distrito 03	8832.0	8565.0	22993.0	22367.0	
4600503001 Alaquàs sección 03001	9157.0	8669.0	23673.0	22649.0	
4600503002 Alaquàs sección 03002	8387.0	8237.0	20207.0	19763.0	
4600503003 Alaquàs sección 03003	8408.0	8209.0	22328.0	21940.0	
4600503004 Alaquàs sección 03004	9100.0	8994.0	23184.0	22813.0	
4600503005 Alaquàs sección 03005	8960.0	8558.0	24739.0	23811.0	
46006 Albaida	9628.0	9284.0	25143.0	24232.0	
4600601 Albaida distrito 01	9628.0	9284.0	25143.0	24232.0	
4600601001 Albaida sección 01001	7957.0	7962.0	20108.0	19935.0	
4600601002 Albaida sección 01002	10472.0	9703.0	26215.0	23624.0	
4600601003 Albaida sección 01003	11917.0	10723.0	30555.0	28486.0	
4600601004 Albaida sección 01004	7896.0	7539.0	20559.0	19890.0	
4600601005 Albaida sección 01005	9522.0	9090.0	23476.0	22166.0	
4600601006 Albaida sección 01006	8978.0	8706.0	24455.0	23612.0	
4600601007 Albaida sección 01007	10844.0	10983.0	30891.0	31315.0	
46007 Albal	9427.0	9047.0	25462.0	24434.0	
4600701 Albal distrito 01	8865.0	8517.0	23967.0	22920.0	
4600701001 Albal sección 01001	8489.0	8199.0	22739.0	21751.0	
4600701002 Albal sección 01002	8761.0	8220.0	23497.0	21402.0	
4600701003 Albal sección 01003	8437.0	8672.0	22539.0	23126.0	
4600701004 Albal sección 01004	10048.0	9530.0	26236.0	24480.0	
