Atlas de Distribución de Renta de los Hogares
Valladolid
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
47001 Adalia	.	.	.	.	
4700101 Adalia distrito 01	.	.	.	.	
4700101001 Adalia sección 01001	.	.	.	.	
47002 Aguasal	.	.	.	.	
4700201 Aguasal distrito 01	.	.	.	.	
4700201001 Aguasal sección 01001	.	.	.	.	
47003 Aguilar de Campos	9651.0	9189.0	23632.0	22255.0	
4700301 Aguilar de Campos distrito 01	9651.0	9189.0	23632.0	22255.0	
4700301001 Aguilar de Campos sección 01001	9651.0	9189.0	23632.0	22255.0	
47004 Alaejos	9306.0	8615.0	21477.0	19668.0	
4700401 Alaejos distrito 01	9306.0	8615.0	21477.0	19668.0	
4700401001 Alaejos sección 01001	9130.0	8894.0	21493.0	20645.0	
4700401002 Alaejos sección 01002	9490.0	8317.0	21461.0	18657.0	
47005 Alcazarén	9440.0	9095.0	23212.0	22422.0	
4700501 Alcazarén distrito 01	9440.0	9095.0	23212.0	22422.0	
4700501001 Alcazarén sección 01001	9440.0	9095.0	23212.0	22422.0	
47006 Aldea de San Miguel	9911.0	9536.0	23261.0	21961.0	
4700601 Aldea de San Miguel distrito 01	9911.0	9536.0	23261.0	21961.0	
4700601001 Aldea de San Miguel sección 01001	9911.0	9536.0	23261.0	21961.0	
47007 Aldeamayor de San Martín	11509.0	11530.0	29492.0	29106.0	
4700701 Aldeamayor de San Martín distrito 01	11509.0	11530.0	29492.0	29106.0	
4700701001 Aldeamayor de San Martín sección 01001	10452.0	10284.0	26896.0	26401.0	
4700701002 Aldeamayor de San Martín sección 01002	13286.0	13446.0	33942.0	34683.0	
4700701003 Aldeamayor de San Martín sección 01003	11529.0	11315.0	28133.0	27170.0	
4700701004 Aldeamayor de San Martín sección 01004	11459.0	11873.0	30938.0	30413.0	
47008 Almenara de Adaja	.	.	.	.	
4700801 Almenara de Adaja distrito 01	.	.	.	.	
4700801001 Almenara de Adaja sección 01001	.	.	.	.	
47009 Amusquillo	13592.0	12928.0	29631.0	27703.0	
4700901 Amusquillo distrito 01	13592.0	12928.0	29631.0	27703.0	
4700901001 Amusquillo sección 01001	13592.0	12928.0	29631.0	27703.0	
47010 Arroyo de la Encomienda	12849.0	12602.0	33615.0	32677.0	
4701001 Arroyo de la Encomienda distrito 01	12849.0	12602.0	33615.0	32677.0	
4701001001 Arroyo de la Encomienda sección 01001	13298.0	13098.0	34696.0	33373.0	
4701001002 Arroyo de la Encomienda sección 01002	10422.0	9892.0	27212.0	25582.0	
4701001003 Arroyo de la Encomienda sección 01003	12603.0	12547.0	33004.0	32319.0	
4701001004 Arroyo de la Encomienda sección 01004	11575.0	11206.0	31150.0	30039.0	
4701001005 Arroyo de la Encomienda sección 01005	14720.0	14405.0	44013.0	42971.0	
4701001006 Arroyo de la Encomienda sección 01006	12558.0	12554.0	34462.0	33726.0	
4701001007 Arroyo de la Encomienda sección 01007	14663.0	14071.0	45334.0	43839.0	
4701001008 Arroyo de la Encomienda sección 01008	12688.0	12464.0	28118.0	27311.0	
4701001009 Arroyo de la Encomienda sección 01009	13609.0	13691.0	41767.0	42110.0	
4701001010 Arroyo de la Encomienda sección 01010	12779.0	12454.0	25597.0	24526.0	
47011 Ataquines	9505.0	9297.0	24060.0	23281.0	
4701101 Ataquines distrito 01	9505.0	9297.0	24060.0	23281.0	
4701101001 Ataquines sección 01001	9505.0	9297.0	24060.0	23281.0	
47012 Bahabón	11681.0	11344.0	25274.0	22688.0	
4701201 Bahabón distrito 01	11681.0	11344.0	25274.0	22688.0	
4701201001 Bahabón sección 01001	11681.0	11344.0	25274.0	22688.0	
47013 Barcial de la Loma	.	13004.0	.	27599.0	
4701301 Barcial de la Loma distrito 01	.	13004.0	.	27599.0	
4701301001 Barcial de la Loma sección 01001	.	13004.0	.	27599.0	
47014 Barruelo del Valle	.	.	.	.	
4701401 Barruelo del Valle distrito 01	.	.	.	.	
4701401001 Barruelo del Valle sección 01001	.	.	.	.	
47015 Becilla de Valderaduey	9228.0	10730.0	20352.0	22836.0	
4701501 Becilla de Valderaduey distrito 01	9228.0	10730.0	20352.0	22836.0	
4701501001 Becilla de Valderaduey sección 01001	9228.0	10730.0	20352.0	22836.0	
47016 Benafarces	.	.	.	.	
4701601 Benafarces distrito 01	.	.	.	.	
4701601001 Benafarces sección 01001	.	.	.	.	
47017 Bercero	11121.0	10369.0	28615.0	25924.0	
4701701 Bercero distrito 01	11121.0	10369.0	28615.0	25924.0	
4701701001 Bercero sección 01001	11121.0	10369.0	28615.0	25924.0	
47018 Berceruelo	.	.	.	.	
4701801 Berceruelo distrito 01	.	.	.	.	
4701801001 Berceruelo sección 01001	.	.	.	.	
47019 Berrueces	.	.	.	.	
4701901 Berrueces distrito 01	.	.	.	.	
4701901001 Berrueces sección 01001	.	.	.	.	
47020 Bobadilla del Campo	10728.0	8964.0	25479.0	21388.0	
4702001 Bobadilla del Campo distrito 01	10728.0	8964.0	25479.0	21388.0	
4702001001 Bobadilla del Campo sección 01001	10728.0	8964.0	25479.0	21388.0	
47021 Bocigas	.	.	.	.	
4702101 Bocigas distrito 01	.	.	.	.	
