Atlas de Distribución de Renta de los Hogares
Zamora
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
49002 Abezames	.	.	.	.	
4900201 Abezames distrito 01	.	.	.	.	
4900201001 Abezames sección 01001	.	.	.	.	
49003 Alcañices	9524.0	9466.0	23241.0	22596.0	
4900301 Alcañices distrito 01	9524.0	9466.0	23241.0	22596.0	
4900301001 Alcañices sección 01001	9524.0	9466.0	23241.0	22596.0	
49004 Alcubilla de Nogales	7961.0	8315.0	17675.0	18265.0	
4900401 Alcubilla de Nogales distrito 01	7961.0	8315.0	17675.0	18265.0	
4900401001 Alcubilla de Nogales sección 01001	7961.0	8315.0	17675.0	18265.0	
49005 Alfaraz de Sayago	11038.0	10319.0	19210.0	18625.0	
4900501 Alfaraz de Sayago distrito 01	11038.0	10319.0	19210.0	18625.0	
4900501001 Alfaraz de Sayago sección 01001	11038.0	10319.0	19210.0	18625.0	
49006 Algodre	9119.0	8744.0	20383.0	20059.0	
4900601 Algodre distrito 01	9119.0	8744.0	20383.0	20059.0	
4900601001 Algodre sección 01001	9119.0	8744.0	20383.0	20059.0	
49007 Almaraz de Duero	9314.0	9312.0	20996.0	20951.0	
4900701 Almaraz de Duero distrito 01	9314.0	9312.0	20996.0	20951.0	
4900701001 Almaraz de Duero sección 01001	9314.0	9312.0	20996.0	20951.0	
49008 Almeida de Sayago	10657.0	10576.0	21630.0	21326.0	
4900801 Almeida de Sayago distrito 01	10657.0	10576.0	21630.0	21326.0	
4900801001 Almeida de Sayago sección 01001	10657.0	10576.0	21630.0	21326.0	
49009 Andavías	8558.0	8330.0	19266.0	18503.0	
4900901 Andavías distrito 01	8558.0	8330.0	19266.0	18503.0	
4900901001 Andavías sección 01001	8558.0	8330.0	19266.0	18503.0	
49010 Arcenillas	10409.0	10163.0	23751.0	22924.0	
4901001 Arcenillas distrito 01	10409.0	10163.0	23751.0	22924.0	
4901001001 Arcenillas sección 01001	10409.0	10163.0	23751.0	22924.0	
49011 Arcos de la Polvorosa	9153.0	8752.0	22005.0	21538.0	
4901101 Arcos de la Polvorosa distrito 01	9153.0	8752.0	22005.0	21538.0	
4901101001 Arcos de la Polvorosa sección 01001	9153.0	8752.0	22005.0	21538.0	
49012 Argañín	.	.	.	.	
4901201 Argañín distrito 01	.	.	.	.	
4901201001 Argañín sección 01001	.	.	.	.	
49013 Argujillo	9065.0	9163.0	19253.0	20353.0	
4901301 Argujillo distrito 01	9065.0	9163.0	19253.0	20353.0	
4901301001 Argujillo sección 01001	9065.0	9163.0	19253.0	20353.0	
49014 Arquillinos	10045.0	9943.0	19920.0	20585.0	
4901401 Arquillinos distrito 01	10045.0	9943.0	19920.0	20585.0	
4901401001 Arquillinos sección 01001	10045.0	9943.0	19920.0	20585.0	
49015 Arrabalde	9017.0	8623.0	17033.0	16318.0	
4901501 Arrabalde distrito 01	9017.0	8623.0	17033.0	16318.0	
4901501001 Arrabalde sección 01001	9017.0	8623.0	17033.0	16318.0	
49016 Aspariegos	7834.0	7055.0	17609.0	15889.0	
4901601 Aspariegos distrito 01	7834.0	7055.0	17609.0	15889.0	
4901601001 Aspariegos sección 01001	7834.0	7055.0	17609.0	15889.0	
49017 Asturianos	11101.0	11202.0	19370.0	19287.0	
4901701 Asturianos distrito 01	11101.0	11202.0	19370.0	19287.0	
4901701001 Asturianos sección 01001	11101.0	11202.0	19370.0	19287.0	
49018 Ayoó de Vidriales	9666.0	9542.0	19161.0	19253.0	
4901801 Ayoó de Vidriales distrito 01	9666.0	9542.0	19161.0	19253.0	
4901801001 Ayoó de Vidriales sección 01001	9666.0	9542.0	19161.0	19253.0	
49019 Barcial del Barco	8604.0	8442.0	17548.0	17616.0	
4901901 Barcial del Barco distrito 01	8604.0	8442.0	17548.0	17616.0	
4901901001 Barcial del Barco sección 01001	8604.0	8442.0	17548.0	17616.0	
49020 Belver de los Montes	9106.0	8631.0	20212.0	19629.0	
4902001 Belver de los Montes distrito 01	9106.0	8631.0	20212.0	19629.0	
4902001001 Belver de los Montes sección 01001	9106.0	8631.0	20212.0	19629.0	
49021 Benavente	9218.0	9200.0	22218.0	22340.0	
4902101 Benavente distrito 01	9076.0	8952.0	21743.0	21637.0	
4902101001 Benavente sección 01001	7559.0	7491.0	19113.0	19162.0	
4902101002 Benavente sección 01002	11203.0	11234.0	24605.0	24991.0	
4902101003 Benavente sección 01003	7997.0	7797.0	17430.0	17035.0	
4902101004 Benavente sección 01004	9721.0	9466.0	23163.0	22911.0	
4902101005 Benavente sección 01005	8887.0	8705.0	22109.0	21870.0	
4902101006 Benavente sección 01006	8632.0	8433.0	22411.0	21774.0	
4902101007 Benavente sección 01007	9518.0	9837.0	21348.0	22580.0	
4902102 Benavente distrito 02	9110.0	8854.0	22379.0	21915.0	
4902102001 Benavente sección 02001	11364.0	10842.0	27029.0	25470.0	
4902102002 Benavente sección 02002	8239.0	7880.0	19542.0	18867.0	
4902102003 Benavente sección 02003	9491.0	9066.0	22522.0	21901.0	
4902102004 Benavente sección 02004	7525.0	7561.0	19517.0	19476.0	
4902102005 Benavente sección 02005	9761.0	9647.0	26495.0	26352.0	
4902102006 Benavente sección 02006	8401.0	8342.0	19842.0	19972.0	
4902103 Benavente distrito 03	10212.0	11537.0	23460.0	26549.0	
4902103001 Benavente sección 03001	9891.0	12595.0	23548.0	30039.0	
4902103002 Benavente sección 03002	10580.0	10333.0	23365.0	22864.0	
49022 Benegiles	8592.0	8924.0	21449.0	21837.0	
4902201 Benegiles distrito 01	8592.0	8924.0	21449.0	21837.0	
4902201001 Benegiles sección 01001	8592.0	8924.0	21449.0	21837.0	
49023 Bermillo de Sayago	9824.0	9694.0	21413.0	21176.0	
4902301 Bermillo de Sayago distrito 01	9824.0	9694.0	21413.0	21176.0	
4902301001 Bermillo de Sayago sección 01001	9824.0	9694.0	21413.0	21176.0	
49024 Bóveda de Toro, La	8729.0	8345.0	19138.0	18310.0	
4902401 Bóveda de Toro, La distrito 01	8729.0	8345.0	19138.0	18310.0	
4902401001 Bóveda de Toro, La sección 01001	8729.0	8345.0	19138.0	18310.0	
49025 Bretó	10095.0	10510.0	19760.0	21019.0	
4902501 Bretó distrito 01	10095.0	10510.0	19760.0	21019.0	
4902501001 Bretó sección 01001	10095.0	10510.0	19760.0	21019.0	
49026 Bretocino	8679.0	8611.0	18140.0	18060.0	
4902601 Bretocino distrito 01	8679.0	8611.0	18140.0	18060.0	
4902601001 Bretocino sección 01001	8679.0	8611.0	18140.0	18060.0	
49027 Brime de Sog	9008.0	9289.0	16514.0	16513.0	
4902701 Brime de Sog distrito 01	9008.0	9289.0	16514.0	16513.0	
4902701001 Brime de Sog sección 01001	9008.0	9289.0	16514.0	16513.0	
49028 Brime de Urz	11016.0	10399.0	22612.0	21912.0	
4902801 Brime de Urz distrito 01	11016.0	10399.0	22612.0	21912.0	
4902801001 Brime de Urz sección 01001	11016.0	10399.0	22612.0	21912.0	
49029 Burganes de Valverde	8037.0	7779.0	19532.0	19180.0	
4902901 Burganes de Valverde distrito 01	8037.0	7779.0	19532.0	19180.0	
4902901001 Burganes de Valverde sección 01001	8037.0	7779.0	19532.0	19180.0	
49030 Bustillo del Oro	.	.	.	.	
4903001 Bustillo del Oro distrito 01	.	.	.	.	
4903001001 Bustillo del Oro sección 01001	.	.	.	.	
49031 Cabañas de Sayago	9699.0	10147.0	19518.0	20423.0	
4903101 Cabañas de Sayago distrito 01	9699.0	10147.0	19518.0	20423.0	
4903101001 Cabañas de Sayago sección 01001	9699.0	10147.0	19518.0	20423.0	
49032 Calzadilla de Tera	9288.0	8834.0	16968.0	16357.0	
4903201 Calzadilla de Tera distrito 01	9288.0	8834.0	16968.0	16357.0	
4903201001 Calzadilla de Tera sección 01001	9288.0	8834.0	16968.0	16357.0	
49033 Camarzana de Tera	8919.0	8693.0	21116.0	20999.0	
4903301 Camarzana de Tera distrito 01	8919.0	8693.0	21116.0	20999.0	
4903301001 Camarzana de Tera sección 01001	8919.0	8693.0	21116.0	20999.0	
49034 Cañizal	8261.0	7923.0	16779.0	16126.0	
4903401 Cañizal distrito 01	8261.0	7923.0	16779.0	16126.0	
4903401001 Cañizal sección 01001	8261.0	7923.0	16779.0	16126.0	
49035 Cañizo	9833.0	9968.0	22635.0	22757.0	
4903501 Cañizo distrito 01	9833.0	9968.0	22635.0	22757.0	
4903501001 Cañizo sección 01001	9833.0	9968.0	22635.0	22757.0	
49036 Carbajales de Alba	9901.0	9723.0	19049.0	18859.0	
4903601 Carbajales de Alba distrito 01	9901.0	9723.0	19049.0	18859.0	
4903601001 Carbajales de Alba sección 01001	9901.0	9723.0	19049.0	18859.0	
49037 Carbellino	8600.0	8057.0	19277.0	17884.0	
4903701 Carbellino distrito 01	8600.0	8057.0	19277.0	17884.0	
4903701001 Carbellino sección 01001	8600.0	8057.0	19277.0	17884.0	
49038 Casaseca de Campeán	8817.0	8555.0	15202.0	14646.0	
4903801 Casaseca de Campeán distrito 01	8817.0	8555.0	15202.0	14646.0	
4903801001 Casaseca de Campeán sección 01001	8817.0	8555.0	15202.0	14646.0	
49039 Casaseca de las Chanas	10209.0	9554.0	22344.0	20691.0	
4903901 Casaseca de las Chanas distrito 01	10209.0	9554.0	22344.0	20691.0	
4903901001 Casaseca de las Chanas sección 01001	10209.0	9554.0	22344.0	20691.0	
49040 Castrillo de la Guareña	9516.0	9688.0	18879.0	19375.0	
4904001 Castrillo de la Guareña distrito 01	9516.0	9688.0	18879.0	19375.0	
4904001001 Castrillo de la Guareña sección 01001	9516.0	9688.0	18879.0	19375.0	
49041 Castrogonzalo	8541.0	8526.0	20472.0	20520.0	
4904101 Castrogonzalo distrito 01	8541.0	8526.0	20472.0	20520.0	
4904101001 Castrogonzalo sección 01001	8541.0	8526.0	20472.0	20520.0	
49042 Castronuevo	8958.0	8748.0	19138.0	18966.0	
4904201 Castronuevo distrito 01	8958.0	8748.0	19138.0	18966.0	
4904201001 Castronuevo sección 01001	8958.0	8748.0	19138.0	18966.0	
49043 Castroverde de Campos	9981.0	9267.0	20973.0	19556.0	
4904301 Castroverde de Campos distrito 01	9981.0	9267.0	20973.0	19556.0	
4904301001 Castroverde de Campos sección 01001	9981.0	9267.0	20973.0	19556.0	
49044 Cazurra	.	.	.	.	
4904401 Cazurra distrito 01	.	.	.	.	
4904401001 Cazurra sección 01001	.	.	.	.	
49046 Cerecinos de Campos	9497.0	9759.0	21492.0	21558.0	
4904601 Cerecinos de Campos distrito 01	9497.0	9759.0	21492.0	21558.0	
4904601001 Cerecinos de Campos sección 01001	9497.0	9759.0	21492.0	21558.0	
49047 Cerecinos del Carrizal	8283.0	8453.0	18436.0	18132.0	
