Atlas de Distribución de Renta de los Hogares
Zaragoza
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
50001 Abanto	.	11184.0	.	21149.0	
5000101 Abanto distrito 01	.	11184.0	.	21149.0	
5000101001 Abanto sección 01001	.	11184.0	.	21149.0	
50002 Acered	8513.0	9665.0	19958.0	20525.0	
5000201 Acered distrito 01	8513.0	9665.0	19958.0	20525.0	
5000201001 Acered sección 01001	8513.0	9665.0	19958.0	20525.0	
50003 Agón	12821.0	12334.0	27527.0	27753.0	
5000301 Agón distrito 01	12821.0	12334.0	27527.0	27753.0	
5000301001 Agón sección 01001	12821.0	12334.0	27527.0	27753.0	
50004 Aguarón	10009.0	10229.0	25244.0	23879.0	
5000401 Aguarón distrito 01	10009.0	10229.0	25244.0	23879.0	
5000401001 Aguarón sección 01001	10009.0	10229.0	25244.0	23879.0	
50005 Aguilón	13862.0	13341.0	30549.0	29687.0	
5000501 Aguilón distrito 01	13862.0	13341.0	30549.0	29687.0	
5000501001 Aguilón sección 01001	13862.0	13341.0	30549.0	29687.0	
50006 Ainzón	10838.0	10713.0	26289.0	26359.0	
5000601 Ainzón distrito 01	10838.0	10713.0	26289.0	26359.0	
5000601001 Ainzón sección 01001	10838.0	10713.0	26289.0	26359.0	
50007 Aladrén	.	.	.	.	
5000701 Aladrén distrito 01	.	.	.	.	
5000701001 Aladrén sección 01001	.	.	.	.	
50008 Alagón	10970.0	10820.0	28698.0	28288.0	
5000801 Alagón distrito 01	10970.0	10820.0	28698.0	28288.0	
5000801001 Alagón sección 01001	11438.0	11251.0	30351.0	29924.0	
5000801002 Alagón sección 01002	10463.0	10578.0	26600.0	26651.0	
5000801003 Alagón sección 01003	10525.0	10149.0	26736.0	25554.0	
5000801004 Alagón sección 01004	11805.0	11672.0	32884.0	33041.0	
50009 Alarba	7907.0	9091.0	22080.0	23377.0	
5000901 Alarba distrito 01	7907.0	9091.0	22080.0	23377.0	
5000901001 Alarba sección 01001	7907.0	9091.0	22080.0	23377.0	
50010 Alberite de San Juan	.	.	.	.	
5001001 Alberite de San Juan distrito 01	.	.	.	.	
5001001001 Alberite de San Juan sección 01001	.	.	.	.	
50011 Albeta	11396.0	10936.0	25035.0	24919.0	
5001101 Albeta distrito 01	11396.0	10936.0	25035.0	24919.0	
5001101001 Albeta sección 01001	11396.0	10936.0	25035.0	24919.0	
50012 Alborge	12015.0	12021.0	26587.0	26985.0	
5001201 Alborge distrito 01	12015.0	12021.0	26587.0	26985.0	
5001201001 Alborge sección 01001	12015.0	12021.0	26587.0	26985.0	
50013 Alcalá de Ebro	10140.0	9456.0	24797.0	22641.0	
5001301 Alcalá de Ebro distrito 01	10140.0	9456.0	24797.0	22641.0	
5001301001 Alcalá de Ebro sección 01001	10140.0	9456.0	24797.0	22641.0	
50014 Alcalá de Moncayo	10795.0	10516.0	22174.0	22057.0	
5001401 Alcalá de Moncayo distrito 01	10795.0	10516.0	22174.0	22057.0	
5001401001 Alcalá de Moncayo sección 01001	10795.0	10516.0	22174.0	22057.0	
50015 Alconchel de Ariza	.	.	.	.	
5001501 Alconchel de Ariza distrito 01	.	.	.	.	
5001501001 Alconchel de Ariza sección 01001	.	.	.	.	
50016 Aldehuela de Liestos	.	.	.	.	
5001601 Aldehuela de Liestos distrito 01	.	.	.	.	
5001601001 Aldehuela de Liestos sección 01001	.	.	.	.	
50017 Alfajarín	12065.0	11685.0	31561.0	30545.0	
5001701 Alfajarín distrito 01	12065.0	11685.0	31561.0	30545.0	
5001701001 Alfajarín sección 01001	12065.0	11685.0	31561.0	30545.0	
50018 Alfamén	8433.0	8690.0	26040.0	25505.0	
5001801 Alfamén distrito 01	8433.0	8690.0	26040.0	25505.0	
5001801001 Alfamén sección 01001	8433.0	8690.0	26040.0	25505.0	
50019 Alforque	.	.	.	.	
5001901 Alforque distrito 01	.	.	.	.	
5001901001 Alforque sección 01001	.	.	.	.	
50020 Alhama de Aragón	9468.0	9993.0	22257.0	23031.0	
5002001 Alhama de Aragón distrito 01	9468.0	9993.0	22257.0	23031.0	
5002001001 Alhama de Aragón sección 01001	9468.0	9993.0	22257.0	23031.0	
50021 Almochuel	.	.	.	.	
5002101 Almochuel distrito 01	.	.	.	.	
5002101001 Almochuel sección 01001	.	.	.	.	
50022 Almolda, La	11962.0	11529.0	29615.0	28822.0	
5002201 Almolda, La distrito 01	11962.0	11529.0	29615.0	28822.0	
5002201001 Almolda, La sección 01001	11962.0	11529.0	29615.0	28822.0	
50023 Almonacid de la Cuba	9864.0	8597.0	23494.0	20370.0	
5002301 Almonacid de la Cuba distrito 01	9864.0	8597.0	23494.0	20370.0	
5002301001 Almonacid de la Cuba sección 01001	9864.0	8597.0	23494.0	20370.0	
50024 Almonacid de la Sierra	10808.0	10753.0	23930.0	23129.0	
5002401 Almonacid de la Sierra distrito 01	10808.0	10753.0	23930.0	23129.0	
5002401001 Almonacid de la Sierra sección 01001	10808.0	10753.0	23930.0	23129.0	
50025 Almunia de Doña Godina, La	9719.0	9470.0	27854.0	27075.0	
5002501 Almunia de Doña Godina, La distrito 01	9892.0	9700.0	28132.0	27502.0	
5002501001 Almunia de Doña Godina, La sección 01001	10118.0	9839.0	28847.0	28103.0	
5002501002 Almunia de Doña Godina, La sección 01002	9704.0	9585.0	27539.0	27008.0	
5002502 Almunia de Doña Godina, La distrito 02	9217.0	8827.0	27026.0	25846.0	
5002502001 Almunia de Doña Godina, La sección 02001	9217.0	8827.0	27026.0	25846.0	
50026 Alpartir	9521.0	9108.0	23976.0	22853.0	
5002601 Alpartir distrito 01	9521.0	9108.0	23976.0	22853.0	
5002601001 Alpartir sección 01001	9521.0	9108.0	23976.0	22853.0	
50027 Ambel	10190.0	10135.0	25780.0	25238.0	
5002701 Ambel distrito 01	10190.0	10135.0	25780.0	25238.0	
5002701001 Ambel sección 01001	10190.0	10135.0	25780.0	25238.0	
50028 Anento	.	13237.0	.	31093.0	
5002801 Anento distrito 01	.	13237.0	.	31093.0	
5002801001 Anento sección 01001	.	13237.0	.	31093.0	
50029 Aniñón	9610.0	9402.0	22560.0	22521.0	
5002901 Aniñón distrito 01	9610.0	9402.0	22560.0	22521.0	
5002901001 Aniñón sección 01001	9610.0	9402.0	22560.0	22521.0	
50030 Añón de Moncayo	10897.0	11674.0	20457.0	21987.0	
5003001 Añón de Moncayo distrito 01	10897.0	11674.0	20457.0	21987.0	
5003001001 Añón de Moncayo sección 01001	10897.0	11674.0	20457.0	21987.0	
50031 Aranda de Moncayo	11293.0	10792.0	21264.0	21016.0	
5003101 Aranda de Moncayo distrito 01	11293.0	10792.0	21264.0	21016.0	
5003101001 Aranda de Moncayo sección 01001	11293.0	10792.0	21264.0	21016.0	
50032 Arándiga	9777.0	9496.0	19884.0	19489.0	
5003201 Arándiga distrito 01	9777.0	9496.0	19884.0	19489.0	
5003201001 Arándiga sección 01001	9777.0	9496.0	19884.0	19489.0	
50033 Ardisa	.	.	.	.	
5003301 Ardisa distrito 01	.	.	.	.	
5003301001 Ardisa sección 01001	.	.	.	.	
50034 Ariza	9376.0	9120.0	23493.0	22273.0	
5003401 Ariza distrito 01	9376.0	9120.0	23493.0	22273.0	
5003401001 Ariza sección 01001	9376.0	9120.0	23493.0	22273.0	
50035 Artieda	.	.	.	.	
5003501 Artieda distrito 01	.	.	.	.	
5003501001 Artieda sección 01001	.	.	.	.	
50036 Asín	17830.0	17200.0	44358.0	41045.0	
5003601 Asín distrito 01	17830.0	17200.0	44358.0	41045.0	
5003601001 Asín sección 01001	17830.0	17200.0	44358.0	41045.0	
50037 Atea	10077.0	9706.0	18139.0	16947.0	
5003701 Atea distrito 01	10077.0	9706.0	18139.0	16947.0	
5003701001 Atea sección 01001	10077.0	9706.0	18139.0	16947.0	
50038 Ateca	10212.0	10502.0	24992.0	25650.0	
