Atlas de Distribución de Renta de los Hogares
Ceuta
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
51001 Ceuta	10696.0	10721.0	35381.0	35574.0	
5100101 Ceuta distrito 01	18587.0	18198.0	55158.0	54614.0	
5100101001 Ceuta sección 01001	24218.0	24144.0	71194.0	72346.0	
5100101002 Ceuta sección 01002	21330.0	20849.0	63172.0	64639.0	
5100101003 Ceuta sección 01003	20391.0	19919.0	65140.0	64904.0	
5100101004 Ceuta sección 01004	20639.0	20097.0	61762.0	60200.0	
5100101005 Ceuta sección 01005	17123.0	17569.0	47890.0	49718.0	
5100101006 Ceuta sección 01006	17351.0	16384.0	50620.0	47850.0	
5100101007 Ceuta sección 01007	14977.0	14782.0	41890.0	41791.0	
5100101008 Ceuta sección 01008	18008.0	17180.0	55528.0	53838.0	
5100101009 Ceuta sección 01009	14989.0	14740.0	45777.0	45431.0	
5100101010 Ceuta sección 01010	16060.0	15498.0	48101.0	46189.0	
5100102 Ceuta distrito 02	12360.0	12174.0	39944.0	39438.0	
5100102001 Ceuta sección 02001	18858.0	18136.0	56106.0	54746.0	
5100102002 Ceuta sección 02002	12635.0	12647.0	41727.0	41167.0	
5100102003 Ceuta sección 02003	6830.0	7021.0	23833.0	24427.0	
5100102004 Ceuta sección 02004	11993.0	11365.0	38294.0	37474.0	
5100102005 Ceuta sección 02005	14121.0	13772.0	40291.0	39332.0	
5100102006 Ceuta sección 02006	10258.0	10073.0	36346.0	36139.0	
5100102007 Ceuta sección 02007	9810.0	10040.0	34713.0	35013.0	
5100103 Ceuta distrito 03	12291.0	12279.0	37613.0	38142.0	
5100103001 Ceuta sección 03001	15881.0	15902.0	45734.0	46258.0	
5100103002 Ceuta sección 03002	14184.0	13447.0	44787.0	43142.0	
5100103003 Ceuta sección 03003	13739.0	13948.0	35531.0	36897.0	
5100103004 Ceuta sección 03004	12384.0	12335.0	39121.0	38841.0	
5100103005 Ceuta sección 03005	10892.0	10668.0	36324.0	37149.0	
5100103006 Ceuta sección 03006	13873.0	13784.0	45024.0	45015.0	
5100103007 Ceuta sección 03007	10063.0	10100.0	27944.0	28090.0	
5100103008 Ceuta sección 03008	12398.0	11879.0	40503.0	39824.0	
5100103009 Ceuta sección 03009	14999.0	17436.0	51426.0	60080.0	
5100103010 Ceuta sección 03010	10062.0	9603.0	33327.0	32599.0	
5100103011 Ceuta sección 03011	8185.0	8226.0	21199.0	21341.0	
5100103012 Ceuta sección 03012	15686.0	15088.0	39481.0	38986.0	
5100103013 Ceuta sección 03013	13961.0	13845.0	46035.0	46643.0	
5100103014 Ceuta sección 03014	8257.0	7905.0	30980.0	31001.0	
5100104 Ceuta distrito 04	8340.0	8337.0	28425.0	28471.0	
5100104001 Ceuta sección 04001	15351.0	15021.0	42699.0	41644.0	
5100104002 Ceuta sección 04002	10097.0	10025.0	33936.0	33595.0	
5100104003 Ceuta sección 04003	9278.0	9318.0	25838.0	26084.0	
5100104004 Ceuta sección 04004	11698.0	11690.0	30800.0	31505.0	
5100104005 Ceuta sección 04005	8187.0	8284.0	27819.0	28167.0	
5100104006 Ceuta sección 04006	5966.0	5785.0	23842.0	23140.0	
5100104007 Ceuta sección 04007	5189.0	5370.0	21717.0	22313.0	
5100104008 Ceuta sección 04008	8195.0	8014.0	28382.0	28431.0	
5100104009 Ceuta sección 04009	9809.0	9402.0	30320.0	29455.0	
5100104010 Ceuta sección 04010	4085.0	4241.0	20065.0	20233.0	
5100104011 Ceuta sección 04011	4672.0	4745.0	16679.0	17320.0	
5100105 Ceuta distrito 05	7283.0	7306.0	24230.0	24394.0	
5100105001 Ceuta sección 05001	9082.0	9082.0	28651.0	28369.0	
5100105002 Ceuta sección 05002	7717.0	7812.0	25524.0	25703.0	
5100105003 Ceuta sección 05003	5898.0	5957.0	22402.0	22662.0	
5100105004 Ceuta sección 05004	5842.0	5798.0	20928.0	20922.0	
5100105005 Ceuta sección 05005	7647.0	7469.0	20991.0	21196.0	
5100105006 Ceuta sección 05006	13058.0	13414.0	32546.0	33419.0	
5100105007 Ceuta sección 05007	4370.0	4290.0	18022.0	17789.0	
5100106 Ceuta distrito 06	4707.0	4891.0	19635.0	20336.0	
5100106001 Ceuta sección 06001	8005.0	8404.0	34704.0	35904.0	
5100106002 Ceuta sección 06002	3440.0	3346.0	14695.0	14834.0	
5100106003 Ceuta sección 06003	3746.0	3651.0	16971.0	16512.0	
5100106004 Ceuta sección 06004	3226.0	3328.0	15315.0	15658.0	
5100106005 Ceuta sección 06005	12561.0	13539.0	26115.0	26326.0	
Notas:
Estadística experimental
Fuente: Instituto Nacional de Estadística
