Atlas de Distribución de Renta de los Hogares
Melilla
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
	2016	2015	2016	2015	
52001 Melilla	10176.0	9985.0	35748.0	35175.0	
5200101 Melilla distrito 01	12377.0	12186.0	42205.0	42273.0	
5200101001 Melilla sección 01001	16805.0	16237.0	52484.0	52972.0	
5200101002 Melilla sección 01002	10024.0	9879.0	35935.0	35552.0	
5200102 Melilla distrito 02	13138.0	13113.0	42342.0	42765.0	
5200102001 Melilla sección 02001	15226.0	14722.0	43757.0	43458.0	
5200102002 Melilla sección 02002	13928.0	13829.0	45422.0	46142.0	
5200102003 Melilla sección 02003	11294.0	11592.0	38872.0	39660.0	
5200103 Melilla distrito 03	7057.0	7131.0	24742.0	24277.0	
5200103001 Melilla sección 03001	7573.0	7385.0	26975.0	25247.0	
5200103002 Melilla sección 03002	6575.0	6904.0	22719.0	23420.0	
5200104 Melilla distrito 04	4820.0	4690.0	19235.0	18616.0	
5200104001 Melilla sección 04001	4776.0	4754.0	17920.0	18545.0	
5200104002 Melilla sección 04002	4495.0	4295.0	18553.0	17463.0	
5200104003 Melilla sección 04003	4610.0	4487.0	18868.0	17976.0	
5200104004 Melilla sección 04004	5348.0	5206.0	20890.0	20243.0	
5200105 Melilla distrito 05	4593.0	4432.0	18821.0	18448.0	
5200105001 Melilla sección 05001	5378.0	4987.0	20140.0	19550.0	
5200105002 Melilla sección 05002	4618.0	4362.0	17931.0	16931.0	
5200105003 Melilla sección 05003	3585.0	3498.0	15826.0	15394.0	
5200105004 Melilla sección 05004	6314.0	6036.0	24028.0	23961.0	
5200105005 Melilla sección 05005	4411.0	4152.0	18183.0	17994.0	
5200105006 Melilla sección 05006	3121.0	3061.0	13735.0	13205.0	
5200105007 Melilla sección 05007	5823.0	5679.0	23135.0	23162.0	
5200105008 Melilla sección 05008	4559.0	4658.0	19247.0	19572.0	
5200106 Melilla distrito 06	14102.0	13723.0	44422.0	43900.0	
5200106001 Melilla sección 06001	14834.0	13692.0	46428.0	42365.0	
5200106002 Melilla sección 06002	17897.0	18129.0	55247.0	56789.0	
5200106003 Melilla sección 06003	10666.0	10333.0	34280.0	34270.0	
5200107 Melilla distrito 07	11409.0	11215.0	38958.0	38338.0	
5200107001 Melilla sección 07001	10087.0	9950.0	34190.0	34691.0	
5200107002 Melilla sección 07002	11348.0	11228.0	37639.0	37065.0	
5200107003 Melilla sección 07003	9475.0	9453.0	32726.0	32998.0	
5200107004 Melilla sección 07004	11784.0	11579.0	39946.0	39208.0	
5200107005 Melilla sección 07005	11620.0	11456.0	38207.0	38244.0	
5200107006 Melilla sección 07006	13870.0	13529.0	49837.0	47121.0	
5200107007 Melilla sección 07007	11231.0	11126.0	38204.0	37847.0	
5200108 Melilla distrito 08	12959.0	12688.0	43053.0	42065.0	
5200108001 Melilla sección 08001	9202.0	9482.0	32569.0	33528.0	
5200108002 Melilla sección 08002	8546.0	8252.0	31813.0	30882.0	
5200108003 Melilla sección 08003	14481.0	14450.0	54229.0	47408.0	
5200108004 Melilla sección 08004	11043.0	11004.0	36241.0	35332.0	
5200108005 Melilla sección 08005	12714.0	12222.0	37385.0	36274.0	
5200108006 Melilla sección 08006	11965.0	11703.0	40038.0	39671.0	
5200108007 Melilla sección 08007	17903.0	17910.0	56911.0	56984.0	
5200108008 Melilla sección 08008	12784.0	12404.0	42544.0	41937.0	
5200108009 Melilla sección 08009	11807.0	11474.0	38534.0	37842.0	
5200108010 Melilla sección 08010	14280.0	14155.0	47097.0	46108.0	
5200108011 Melilla sección 08011	16373.0	15926.0	64892.0	62635.0	
5200108012 Melilla sección 08012	17185.0	16792.0	50458.0	50839.0	
5200108013 Melilla sección 08013	12705.0	11823.0	38720.0	36729.0	
5200108014 Melilla sección 08014	8872.0	8937.0	30421.0	31384.0	
5200108015 Melilla sección 08015	12296.0	11813.0	40073.0	38863.0	
Notas:
Estadística experimental
Fuente: Instituto Nacional de Estadística
